Source_Result_Files	Model	Criterion_Type	Criterion_Value	Mean_Accuracy (10 runs)	StdDev_Accuracy (10 runs)	Mean_Unparsable_Percent	Mean_Model_Error_Percent	Sum_Total_Time_s	Sum_Total_Price
results/aggregate-mistral/50/normal/jobid_6387308.rs42.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs43.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs44.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs45.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs46.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs47.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs48.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs49.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs50.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs51.rep1.res.tsv	aggregate-mistral	OVERALL	ALL	32.24	2.0133	4.261	0.249	71796.42	12.1429
results/aggregate-mistral/50/normal/jobid_6387308.rs42.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs43.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs44.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs45.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs46.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs47.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs48.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs49.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs50.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs51.rep1.res.tsv	aggregate-mistral	submodality	audio.mastermix.wav	27.8	2.4166	0.384	0.703	21026.44	10.617
results/aggregate-mistral/50/normal/jobid_6387308.rs42.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs43.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs44.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs45.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs46.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs47.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs48.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs49.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs50.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs51.rep1.res.tsv	aggregate-mistral	submodality	symbolic.abc.txt	42.04	2.7354	0.0	0.0	17566.24	0.6207
results/aggregate-mistral/50/normal/jobid_6387308.rs42.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs43.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs44.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs45.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs46.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs47.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs48.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs49.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs50.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs51.rep1.res.tsv	aggregate-mistral	submodality	visual.short.png	26.88	1.9848	11.402	0.0	33203.77	0.9051
results/aggregate-mistral/50/normal/jobid_6387308.rs42.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs43.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs44.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs45.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs46.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs47.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs48.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs49.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs50.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs51.rep1.res.tsv	aggregate-mistral	piece_id	Anonymous_AusMeinesHerzensGrunde	29.621	6.5499	3.701	0.641	10828.15	1.8296
results/aggregate-mistral/50/normal/jobid_6387308.rs42.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs43.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs44.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs45.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs46.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs47.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs48.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs49.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs50.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs51.rep1.res.tsv	aggregate-mistral	piece_id	Bach_IchStehAnDeinerKrippe	30.864	3.8864	4.457	0.0	6480.47	1.2851
results/aggregate-mistral/50/normal/jobid_6387308.rs42.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs43.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs44.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs45.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs46.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs47.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs48.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs49.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs50.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs51.rep1.res.tsv	aggregate-mistral	piece_id	Crueger_AufAufMeinHerzMitFreuden	30.23	4.8566	3.051	0.156	7890.77	1.6139
results/aggregate-mistral/50/normal/jobid_6387308.rs42.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs43.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs44.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs45.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs46.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs47.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs48.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs49.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs50.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs51.rep1.res.tsv	aggregate-mistral	piece_id	Drese_JesuGehVoran	31.878	5.7638	4.178	0.0	4354.71	0.797
results/aggregate-mistral/50/normal/jobid_6387308.rs42.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs43.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs44.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs45.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs46.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs47.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs48.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs49.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs50.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs51.rep1.res.tsv	aggregate-mistral	piece_id	Gesius_BefiehlDuDeineWege	31.969	5.6841	4.188	0.0	7642.86	1.4046
results/aggregate-mistral/50/normal/jobid_6387308.rs42.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs43.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs44.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs45.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs46.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs47.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs48.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs49.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs50.rep1.res.tsv;results/aggregate-mistral/50/normal/jobid_6387308.rs51.rep1.res.tsv	aggregate-mistral	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	29.775	6.1876	5.312	0.363	7276.96	0.9885
