Source_Result_Files	Model	Criterion_Type	Criterion_Value	Mean_Accuracy (10 runs)	StdDev_Accuracy (10 runs)	Mean_Unparsable_Percent	Mean_Model_Error_Percent	Sum_Total_Time_s	Sum_Total_Price
results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs42.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs43.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs44.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs45.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs46.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs47.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs48.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs49.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs50.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs51.rep1.res.tsv	google/gemini-2.5-flash-lite	OVERALL	ALL	38.001	16.0391	0.0	0.0	1786.51	0.2402
results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs42.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs43.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs44.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs45.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs46.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs47.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs48.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs49.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs50.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs51.rep1.res.tsv	google/gemini-2.5-flash-lite	submodality	audio.mastermix.wav	34.0	26.7499	0.0	0.0	355.23	0.0407
results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs42.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs43.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs44.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs45.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs46.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs47.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs48.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs49.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs50.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs51.rep1.res.tsv	google/gemini-2.5-flash-lite	submodality	symbolic.abc.txt	56.0	24.5855	0.0	0.0	780.88	0.1159
results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs42.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs43.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs44.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs45.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs46.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs47.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs48.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs49.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs50.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs51.rep1.res.tsv	google/gemini-2.5-flash-lite	submodality	visual.short.png	24.0	12.6491	0.0	0.0	650.4	0.0836
results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs42.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs43.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs44.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs45.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs46.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs47.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs48.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs49.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs50.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs51.rep1.res.tsv	google/gemini-2.5-flash-lite	is_nota_correct	0	43.333	16.1029	0.0	0.0	1318.42	0.1745
results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs42.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs43.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs44.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs45.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs46.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs47.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs48.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs49.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs50.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs51.rep1.res.tsv	google/gemini-2.5-flash-lite	is_nota_correct	1	16.666	23.5702	0.0	0.0	468.09	0.0657
results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs42.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs43.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs44.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs45.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs46.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs47.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs48.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs49.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs50.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs51.rep1.res.tsv	google/gemini-2.5-flash-lite	meta-question_id	1	26.666	34.4267	0.0	0.0	301.22	0.0372
results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs42.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs43.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs44.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs45.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs46.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs47.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs48.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs49.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs50.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs51.rep1.res.tsv	google/gemini-2.5-flash-lite	meta-question_id	3	26.666	26.2944	0.0	0.0	575.53	0.0833
results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs42.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs43.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs44.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs45.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs46.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs47.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs48.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs49.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs50.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs51.rep1.res.tsv	google/gemini-2.5-flash-lite	meta-question_id	5	46.667	23.3093	0.0	0.0	279.65	0.038
results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs42.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs43.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs44.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs45.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs46.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs47.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs48.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs49.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs50.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs51.rep1.res.tsv	google/gemini-2.5-flash-lite	meta-question_id	7	36.667	29.1882	0.0	0.0	417.7	0.0577
results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs42.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs43.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs44.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs45.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs46.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs47.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs48.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs49.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs50.rep1.res.tsv;results/google_gemini-2.5-flash-lite/1/normal/jobid_6387275.rs51.rep1.res.tsv	google/gemini-2.5-flash-lite	meta-question_id	9	53.333	39.1271	0.0	0.0	212.38	0.0241
