Criterion_Type	Criterion_Value	Total_Items	google_gemini-2.0-flash-lite-001_normal	google_gemini-2.0-flash-lite-001_to	aggregate-gpt-4o_normal	aggregate-gpt-4o_to	google_gemini-2.5-flash-lite_normal	google_gemini-2.5-flash-lite_to	aggregate-mistral_normal	aggregate-mistral_to	aggregate-gpt-5_normal	aggregate-gpt-5_to	xiaomi_mimo-v2-omni_to	google_gemini-3.1-flash-lite-preview_normal	google_gemini-3.1-flash-lite-preview_to
OVERALL	ALL	447	33.78	27.74	32.66	9.62	29.98	26.62	33.56	30.87	32.89	8.5	24.83	38.26	26.85
submodality	audio.mastermix.wav	149	29.53	27.52	26.85	0.0	24.16	20.13	30.87	28.86	18.12	0.0	24.16	34.9	24.83
submodality	symbolic.musicxml	151	33.77	28.48	39.07	25.83	39.07	26.49	35.1	33.11	51.66	15.23	26.49	46.36	33.11
submodality	visual.short.png	147	38.1	27.21	31.97	2.72	26.53	33.33	34.69	30.61	28.57	10.2	23.81	33.33	22.45
piece_id	Anonymous_AusMeinesHerzensGrunde	43	30.23	25.58	37.21	11.63	32.56	16.28	32.56	23.26	32.56	6.98	13.95	44.19	23.26
piece_id	Bach_IchStehAnDeinerKrippe	57	31.58	26.32	35.09	5.26	29.82	29.82	31.58	43.86	28.07	8.77	19.3	33.33	33.33
piece_id	Crueger_AufAufMeinHerzMitFreuden	38	42.11	21.05	23.68	2.63	18.42	7.89	28.95	26.32	39.47	2.63	31.58	42.11	26.32
piece_id	Drese_JesuGehVoran	29	37.93	31.03	48.28	13.79	48.28	24.14	51.72	44.83	48.28	10.34	20.69	55.17	41.38
piece_id	Gesius_BefiehlDuDeineWege	47	40.43	29.79	31.91	6.38	36.17	17.02	34.04	23.4	34.04	8.51	17.02	38.3	31.91
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	43	39.53	37.21	32.56	13.95	25.58	34.88	39.53	37.21	34.88	4.65	32.56	32.56	27.91
piece_id	Jan_DuGrosserSchmerzensmann	43	25.58	20.93	23.26	4.65	25.58	27.91	20.93	23.26	25.58	2.33	23.26	23.26	16.28
piece_id	Telemann_DerLiebenSonneLichtUndPracht	49	38.78	36.73	40.82	18.37	30.61	30.61	44.9	46.94	34.69	20.41	46.94	48.98	28.57
piece_id	Vulpius_ChristusDerIstMeinLeben	63	31.75	26.98	30.16	11.11	33.33	41.27	28.57	22.22	28.57	9.52	22.22	33.33	20.63
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	35	20.0	20.0	25.71	8.57	20.0	25.71	28.57	17.14	31.43	8.57	20.0	40.0	22.86
is_nota_correct	0	360	36.39	24.44	33.61	7.5	31.67	21.94	33.89	29.44	30.83	7.78	9.17	37.22	28.61
is_nota_correct	1	87	22.99	41.38	28.74	18.39	22.99	45.98	32.18	36.78	41.38	11.49	89.66	42.53	19.54
meta-question_id	0	38	26.32	28.95	26.32	5.26	28.95	13.16	31.58	23.68	23.68	5.26	18.42	34.21	23.68
meta-question_id	1	36	38.89	33.33	55.56	11.11	50.0	13.89	36.11	16.67	58.33	16.67	25.0	55.56	41.67
meta-question_id	2	40	20.0	7.5	15.0	7.5	17.5	22.5	25.0	25.0	20.0	10.0	30.0	15.0	7.5
meta-question_id	3	36	58.33	44.44	72.22	13.89	47.22	25.0	55.56	50.0	50.0	16.67	44.44	83.33	55.56
meta-question_id	4	72	22.22	30.56	18.06	5.56	20.83	25.0	33.33	37.5	26.39	8.33	19.44	18.06	25.0
meta-question_id	5	37	59.46	43.24	59.46	16.22	62.16	40.54	59.46	37.84	51.35	8.11	27.03	59.46	40.54
meta-question_id	6	37	13.51	8.11	8.11	8.11	5.41	18.92	8.11	8.11	10.81	5.41	24.32	2.7	2.7
meta-question_id	7	37	51.35	40.54	37.84	5.41	32.43	43.24	24.32	29.73	35.14	8.11	24.32	51.35	29.73
meta-question_id	8	78	42.31	30.77	34.62	12.82	32.05	34.62	39.74	42.31	32.05	5.13	21.79	53.85	24.36
meta-question_id	9	36	8.33	5.56	13.89	11.11	11.11	22.22	16.67	19.44	30.56	5.56	22.22	13.89	25.0
category	harmony	151	36.42	27.15	30.46	10.6	27.15	33.77	30.46	33.77	32.45	5.96	22.52	43.71	25.83
category	pitch	150	35.33	28.0	41.33	9.33	35.33	18.67	36.67	28.67	37.33	12.0	29.33	46.0	31.33
category	rhythm	146	29.45	28.08	26.03	8.9	27.4	27.4	33.56	30.14	28.77	7.53	22.6	24.66	23.29
subcategory	harmony-absolute	78	42.31	30.77	34.62	12.82	32.05	34.62	39.74	42.31	32.05	5.13	21.79	53.85	24.36
subcategory	harmony-relative	73	30.14	23.29	26.03	8.22	21.92	32.88	20.55	24.66	32.88	6.85	23.29	32.88	27.4
subcategory	pitch-absolute	74	32.43	31.08	40.54	8.11	39.19	13.51	33.78	20.27	40.54	10.81	21.62	44.59	32.43
subcategory	pitch-relative	76	38.16	25.0	42.11	10.53	31.58	23.68	39.47	36.84	34.21	13.16	36.84	47.37	30.26
subcategory	rhythm-absolute	72	22.22	30.56	18.06	5.56	20.83	25.0	33.33	37.5	26.39	8.33	19.44	18.06	25.0
subcategory	rhythm-relative	74	36.49	25.68	33.78	12.16	33.78	29.73	33.78	22.97	31.08	6.76	25.68	31.08	21.62
skill	cadence recognition	36	8.33	5.56	13.89	11.11	11.11	22.22	16.67	19.44	30.56	5.56	22.22	13.89	25.0
skill	chord recognition	78	42.31	30.77	34.62	12.82	32.05	34.62	39.74	42.31	32.05	5.13	21.79	53.85	24.36
skill	interval recognition	40	20.0	7.5	15.0	7.5	17.5	22.5	25.0	25.0	20.0	10.0	30.0	15.0	7.5
skill	interval statistics	36	58.33	44.44	72.22	13.89	47.22	25.0	55.56	50.0	50.0	16.67	44.44	83.33	55.56
skill	note length	72	22.22	30.56	18.06	5.56	20.83	25.0	33.33	37.5	26.39	8.33	19.44	18.06	25.0
skill	pitch recognition	38	26.32	28.95	26.32	5.26	28.95	13.16	31.58	23.68	23.68	5.26	18.42	34.21	23.68
skill	pitch statistics	36	38.89	33.33	55.56	11.11	50.0	13.89	36.11	16.67	58.33	16.67	25.0	55.56	41.67
skill	rhythm pattern	37	13.51	8.11	8.11	8.11	5.41	18.92	8.11	8.11	10.81	5.41	24.32	2.7	2.7
skill	time signature	37	59.46	43.24	59.46	16.22	62.16	40.54	59.46	37.84	51.35	8.11	27.03	59.46	40.54
skill	tonality recognition	37	51.35	40.54	37.84	5.41	32.43	43.24	24.32	29.73	35.14	8.11	24.32	51.35	29.73
rel/abs	absolute	224	32.59	30.8	31.25	8.93	30.8	24.55	35.71	33.48	33.04	8.04	20.98	39.29	27.23
rel/abs	relative	223	34.98	24.66	34.08	10.31	29.15	28.7	31.39	28.25	32.74	8.97	28.7	37.22	26.46
