Criterion_Type	Criterion_Value	google_gemini-2.0-flash-lite-001_Mean_Accuracy_(10_runs)	google_gemini-2.0-flash-lite-001_Mean_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Mean_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Sum_Total_Time_s	google_gemini-2.0-flash-lite-001_Sum_Total_Price	google_gemini-3.1-flash-lite-preview_Mean_Accuracy_(10_runs)	google_gemini-3.1-flash-lite-preview_Mean_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Mean_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Sum_Total_Time_s	google_gemini-3.1-flash-lite-preview_Sum_Total_Price
OVERALL	ALL	19.333	0.0	0.0	423.0	0.0445	20.666	0.0	0.0	592.16	0.1936
submodality	audio.mastermix.wav	22.0	0.0	0.0	191.48	0.0068	22.0	0.0	0.0	181.32	0.0456
submodality	symbolic.abc.txt	18.0	0.0	0.0	125.7	0.0318	22.0	0.0	0.0	246.68	0.1265
submodality	visual.short.png	18.0	0.0	0.0	105.82	0.006	18.0	0.0	0.0	164.17	0.0216
is_nota_correct	0	11.665	0.0	0.0	333.47	0.0352	17.501	0.0	0.0	467.83	0.1526
is_nota_correct	1	50.0	0.0	0.0	89.53	0.0094	33.332	0.0	0.0	124.3	0.041
meta-question_id	1	29.999	0.0	0.0	92.44	0.009	26.665	0.0	0.0	81.33	0.0385
meta-question_id	3	16.666	0.0	0.0	93.42	0.0091	9.999	0.0	0.0	156.76	0.0393
meta-question_id	5	13.333	0.0	0.0	79.77	0.0088	26.666	0.0	0.0	131.7	0.0407
meta-question_id	7	23.333	0.0	0.0	80.17	0.0089	20.0	0.0	0.0	128.66	0.0393
meta-question_id	9	13.332	0.0	0.0	77.19	0.0086	19.998	0.0	0.0	93.72	0.0359
category	harmony	13.332	0.0	0.0	77.19	0.0086	19.998	0.0	0.0	93.72	0.0359
category	pitch	23.334	0.0	0.0	185.87	0.0182	18.336	0.0	0.0	238.11	0.0778
category	rhythm	18.334	0.0	0.0	159.96	0.0177	23.334	0.0	0.0	260.34	0.08
subcategory	harmonic-recognition	13.332	0.0	0.0	77.19	0.0086	19.998	0.0	0.0	93.72	0.0359
subcategory	interval-recognition	16.666	0.0	0.0	93.42	0.0091	9.999	0.0	0.0	156.76	0.0393
subcategory	pitch-recognition	29.999	0.0	0.0	92.44	0.009	26.665	0.0	0.0	81.33	0.0385
subcategory	proportion-recognition	23.333	0.0	0.0	80.17	0.0089	20.0	0.0	0.0	128.66	0.0393
subcategory	rhythmic-recognition	13.333	0.0	0.0	79.77	0.0088	26.666	0.0	0.0	131.7	0.0407
skill	interval recognition	16.666	0.0	0.0	93.42	0.0091	9.999	0.0	0.0	156.76	0.0393
skill	note length	13.333	0.0	0.0	79.77	0.0088	26.666	0.0	0.0	131.7	0.0407
skill	pitch recognition	29.999	0.0	0.0	92.44	0.009	26.665	0.0	0.0	81.33	0.0385
skill	rhythm pattern	23.333	0.0	0.0	80.17	0.0089	20.0	0.0	0.0	128.66	0.0393
skill	tonality recognition	13.332	0.0	0.0	77.19	0.0086	19.998	0.0	0.0	93.72	0.0359
rel/abs	absolute	21.667	0.0	0.0	172.22	0.0179	26.667	0.0	0.0	213.01	0.0792
rel/abs	relative	17.776	0.0	0.0	250.77	0.0267	16.665	0.0	0.0	379.15	0.1144
specification	harmony-relative	13.332	0.0	0.0	77.19	0.0086	19.998	0.0	0.0	93.72	0.0359
specification	pitch-absolute	29.999	0.0	0.0	92.44	0.009	26.665	0.0	0.0	81.33	0.0385
specification	pitch-relative	16.666	0.0	0.0	93.42	0.0091	9.999	0.0	0.0	156.76	0.0393
specification	rhythm-absolute	13.333	0.0	0.0	79.77	0.0088	26.666	0.0	0.0	131.7	0.0407
specification	rhythm-relative	23.333	0.0	0.0	80.17	0.0089	20.0	0.0	0.0	128.66	0.0393
