Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price	Qwen_Qwen3-Omni-30B-A3B-Thinking_Accuracy_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Unparsable_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Model_Error_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Time_s	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price	google_gemini-2.5-flash-lite_Accuracy_Percent	google_gemini-2.5-flash-lite_Unparsable_Percent	google_gemini-2.5-flash-lite_Model_Error_Percent	google_gemini-2.5-flash-lite_Total_Time_s	google_gemini-2.5-flash-lite_Total_Price	aggregate-gpt-4o_Accuracy_Percent	aggregate-gpt-4o_Unparsable_Percent	aggregate-gpt-4o_Model_Error_Percent	aggregate-gpt-4o_Total_Time_s	aggregate-gpt-4o_Total_Price
OVERALL	ALL	15	46.67	0.0	0.0	60.96	0.013429	13.33	0.0	0.0	204.95	0.020091	40.0	0.0	0.0	206.56	0.0	26.67	0.0	0.0	44.62	0.001793	26.67	0.0	0.0	169.26	0.0231	33.33	0.0	0.0	53.33	0.104217
submodality	audio.mastermix.wav	5	40.0	0.0	0.0	16.4	0.003236	20.0	0.0	0.0	43.05	0.015746	40.0	0.0	0.0	37.02	0.0	20.0	0.0	0.0	19.3	0.000426	20.0	0.0	0.0	21.63	0.001776	40.0	0.0	0.0	21.62	0.06987
submodality	symbolic.abc.txt	5	60.0	0.0	0.0	23.75	0.005247	0.0	0.0	0.0	45.32	0.00138	60.0	0.0	0.0	122.7	0.0	20.0	0.0	0.0	15.05	0.000786	20.0	0.0	0.0	78.15	0.011971	0.0	0.0	0.0	15.85	0.02357
submodality	visual.short.png	5	40.0	0.0	0.0	20.81	0.004946	20.0	0.0	0.0	116.58	0.002965	20.0	0.0	0.0	46.84	0.0	40.0	0.0	0.0	10.26	0.000581	40.0	0.0	0.0	69.48	0.009354	60.0	0.0	0.0	15.85	0.010777
piece_id	Bach_IchStehAnDeinerKrippe	3	33.33	0.0	0.0	16.53	0.003621	0.0	0.0	0.0	114.67	0.007074	33.33	0.0	0.0	37.57	0.0	33.33	0.0	0.0	15.19	0.000681	0.0	0.0	0.0	78.46	0.012064	0.0	0.0	0.0	13.7	0.027542
piece_id	Drese_JesuGehVoran	6	50.0	0.0	0.0	24.25	0.004948	16.67	0.0	0.0	62.6	0.008066	50.0	0.0	0.0	69.55	0.0	33.33	0.0	0.0	15.5	0.00062	50.0	0.0	0.0	42.65	0.004792	50.0	0.0	0.0	17.61	0.040438
piece_id	Vulpius_ChristusDerIstMeinLeben	3	100.0	0.0	0.0	11.87	0.002913	33.33	0.0	0.0	16.41	0.003055	33.33	0.0	0.0	51.61	0.0	33.33	0.0	0.0	6.54	0.00024	33.33	0.0	0.0	16.38	0.002032	33.33	0.0	0.0	11.99	0.01839
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	3	0.0	0.0	0.0	8.32	0.001947	0.0	0.0	0.0	11.26	0.001896	33.33	0.0	0.0	47.82	0.0	0.0	0.0	0.0	7.38	0.000251	0.0	0.0	0.0	31.76	0.004212	33.33	0.0	0.0	10.03	0.017847
is_nota_correct	0	12	41.67	0.0	0.0	42.97	0.010026	16.67	0.0	0.0	152.59	0.018532	25.0	0.0	0.0	132.51	0.0	25.0	0.0	0.0	33.85	0.001241	33.33	0.0	0.0	122.91	0.015632	33.33	0.0	0.0	45.65	0.093055
is_nota_correct	1	3	66.67	0.0	0.0	17.99	0.003403	0.0	0.0	0.0	52.36	0.001559	100.0	0.0	0.0	74.05	0.0	33.33	0.0	0.0	10.77	0.000552	0.0	0.0	0.0	46.34	0.007468	33.33	0.0	0.0	7.68	0.011162
meta-question_id	1	3	0.0	0.0	0.0	11.79	0.002989	0.0	0.0	0.0	50.74	0.004442	66.67	0.0	0.0	57.16	0.0	0.0	0.0	0.0	8.76	0.000366	0.0	0.0	0.0	17.49	0.001961	33.33	0.0	0.0	8.7	0.021003
meta-question_id	3	3	33.33	0.0	0.0	16.53	0.003621	0.0	0.0	0.0	114.67	0.007074	33.33	0.0	0.0	37.57	0.0	33.33	0.0	0.0	15.19	0.000681	0.0	0.0	0.0	78.46	0.012064	0.0	0.0	0.0	13.7	0.027542
meta-question_id	5	3	100.0	0.0	0.0	11.87	0.002913	33.33	0.0	0.0	16.41	0.003055	33.33	0.0	0.0	51.61	0.0	33.33	0.0	0.0	6.54	0.00024	33.33	0.0	0.0	16.38	0.002032	33.33	0.0	0.0	11.99	0.01839
meta-question_id	7	3	0.0	0.0	0.0	8.32	0.001947	0.0	0.0	0.0	11.26	0.001896	33.33	0.0	0.0	47.82	0.0	0.0	0.0	0.0	7.38	0.000251	0.0	0.0	0.0	31.76	0.004212	33.33	0.0	0.0	10.03	0.017847
meta-question_id	9	3	100.0	0.0	0.0	12.46	0.001959	33.33	0.0	0.0	11.87	0.003625	33.33	0.0	0.0	12.39	0.0	66.67	0.0	0.0	6.74	0.000254	100.0	0.0	0.0	25.16	0.002832	66.67	0.0	0.0	8.91	0.019435
category	harmony	3	100.0	0.0	0.0	12.46	0.001959	33.33	0.0	0.0	11.87	0.003625	33.33	0.0	0.0	12.39	0.0	66.67	0.0	0.0	6.74	0.000254	100.0	0.0	0.0	25.16	0.002832	66.67	0.0	0.0	8.91	0.019435
category	pitch	6	16.67	0.0	0.0	28.32	0.00661	0.0	0.0	0.0	165.41	0.011516	50.0	0.0	0.0	94.73	0.0	16.67	0.0	0.0	23.95	0.001047	0.0	0.0	0.0	95.95	0.014025	16.67	0.0	0.0	22.39	0.048545
category	rhythm	6	50.0	0.0	0.0	20.19	0.00486	16.67	0.0	0.0	27.67	0.004951	33.33	0.0	0.0	99.44	0.0	16.67	0.0	0.0	13.92	0.000491	16.67	0.0	0.0	48.14	0.006244	33.33	0.0	0.0	22.02	0.036237
subcategory	harmonic-recognition	3	100.0	0.0	0.0	12.46	0.001959	33.33	0.0	0.0	11.87	0.003625	33.33	0.0	0.0	12.39	0.0	66.67	0.0	0.0	6.74	0.000254	100.0	0.0	0.0	25.16	0.002832	66.67	0.0	0.0	8.91	0.019435
