Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_normal	google_gemini-3.1-flash-lite-preview_text-only	google_gemini-3.1-flash-lite-preview_white-noise	aggregate-mistral_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_text-only	google_gemini-2.0-flash-lite-001_normal	google_gemini-2.0-flash-lite-001_text-only	google_gemini-2.0-flash-lite-001_white-noise	google_gemini-2.5-flash-lite_normal	aggregate-gpt-4o_normal
OVERALL	ALL	15	66.67	33.33	6.67	46.67	40.0	20.0	33.33	53.33	20.0	40.0	53.33
submodality	audio.mastermix.wav	5	40.0	20.0	20.0	40.0	40.0	0.0	40.0	40.0	20.0	40.0	20.0
submodality	symbolic.abc.txt	5	100.0	20.0	0.0	60.0	60.0	40.0	60.0	60.0	40.0	40.0	80.0
submodality	visual.short.png	5	60.0	60.0	0.0	40.0	20.0	20.0	0.0	60.0	0.0	40.0	60.0
piece_id	Anonymous_AusMeinesHerzensGrunde	3	33.33	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0
piece_id	Drese_JesuGehVoran	3	66.67	66.67	33.33	66.67	66.67	66.67	33.33	100.0	33.33	33.33	66.67
piece_id	Gesius_BefiehlDuDeineWege	3	100.0	33.33	0.0	33.33	33.33	33.33	33.33	0.0	33.33	66.67	66.67
piece_id	Jan_DuGrosserSchmerzensmann	3	66.67	33.33	0.0	66.67	0.0	0.0	66.67	66.67	33.33	66.67	66.67
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	3	66.67	33.33	0.0	66.67	100.0	0.0	33.33	66.67	0.0	33.33	66.67
is_nota_correct	0	12	66.67	41.67	8.33	41.67	33.33	8.33	33.33	50.0	16.67	50.0	50.0
is_nota_correct	1	3	66.67	0.0	0.0	66.67	66.67	66.67	33.33	66.67	33.33	0.0	66.67
meta-question_id	1	3	66.67	66.67	33.33	66.67	66.67	66.67	33.33	100.0	33.33	33.33	66.67
meta-question_id	3	3	100.0	33.33	0.0	33.33	33.33	33.33	33.33	0.0	33.33	66.67	66.67
meta-question_id	5	3	33.33	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0
meta-question_id	7	3	66.67	33.33	0.0	66.67	0.0	0.0	66.67	66.67	33.33	66.67	66.67
meta-question_id	9	3	66.67	33.33	0.0	66.67	100.0	0.0	33.33	66.67	0.0	33.33	66.67
category	harmony	3	66.67	33.33	0.0	66.67	100.0	0.0	33.33	66.67	0.0	33.33	66.67
category	pitch	6	83.33	50.0	16.67	50.0	50.0	50.0	33.33	50.0	33.33	50.0	66.67
category	rhythm	6	50.0	16.67	0.0	33.33	0.0	0.0	33.33	50.0	16.67	33.33	33.33
subcategory	harmonic-recognition	3	66.67	33.33	0.0	66.67	100.0	0.0	33.33	66.67	0.0	33.33	66.67
subcategory	interval-recognition	3	100.0	33.33	0.0	33.33	33.33	33.33	33.33	0.0	33.33	66.67	66.67
subcategory	pitch-recognition	3	66.67	66.67	33.33	66.67	66.67	66.67	33.33	100.0	33.33	33.33	66.67
subcategory	proportion-recognition	3	66.67	33.33	0.0	66.67	0.0	0.0	66.67	66.67	33.33	66.67	66.67
subcategory	rhythmic-recognition	3	33.33	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0
skill	interval recognition	3	100.0	33.33	0.0	33.33	33.33	33.33	33.33	0.0	33.33	66.67	66.67
skill	note length	3	33.33	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0
skill	pitch recognition	3	66.67	66.67	33.33	66.67	66.67	66.67	33.33	100.0	33.33	33.33	66.67
skill	rhythm pattern	3	66.67	33.33	0.0	66.67	0.0	0.0	66.67	66.67	33.33	66.67	66.67
skill	tonality recognition	3	66.67	33.33	0.0	66.67	100.0	0.0	33.33	66.67	0.0	33.33	66.67
rel/abs	absolute	6	50.0	33.33	16.67	33.33	33.33	33.33	16.67	66.67	16.67	16.67	33.33
rel/abs	relative	9	77.78	33.33	0.0	55.56	44.44	11.11	44.44	44.44	22.22	55.56	66.67
specification	harmony-relative	3	66.67	33.33	0.0	66.67	100.0	0.0	33.33	66.67	0.0	33.33	66.67
specification	pitch-absolute	3	66.67	66.67	33.33	66.67	66.67	66.67	33.33	100.0	33.33	33.33	66.67
specification	pitch-relative	3	100.0	33.33	0.0	33.33	33.33	33.33	33.33	0.0	33.33	66.67	66.67
specification	rhythm-absolute	3	33.33	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0
specification	rhythm-relative	3	66.67	33.33	0.0	66.67	0.0	0.0	66.67	66.67	33.33	66.67	66.67
