Criterion_Type	Criterion_Value	google_gemini-2.0-flash-lite-001_normal	google_gemini-2.0-flash-lite-001_text-only	google_gemini-2.0-flash-lite-001_white-noise	google_gemini-3.1-flash-lite-preview_normal	google_gemini-3.1-flash-lite-preview_text-only	google_gemini-3.1-flash-lite-preview_white-noise	aggregate-mistral_normal	google_gemini-2.5-flash-lite_normal	aggregate-gpt-4o_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_text-only
OVERALL	ALL	34.132	23.067	24.667	45.0	30.334	27.133	32.134	38.535	36.134	39.4	23.066
submodality	audio.mastermix.wav	27.6	22.4	22.2	33.8	26.8	32.6	24.4	27.4	32.2	32.6	25.4
submodality	symbolic.abc.txt	42.6	22.6	27.0	57.8	34.4	24.8	40.8	54.6	45.2	56.4	22.4
submodality	visual.short.png	32.2	24.2	24.8	43.4	29.8	24.0	31.2	33.6	31.0	29.2	21.4
piece_id	Anonymous_AusMeinesHerzensGrunde	33.91	19.017	24.464	44.505	30.653	23.225	33.188	35.253	31.076	44.479	27.483
piece_id	Bach_IchStehAnDeinerKrippe	32.391	22.196	19.984	39.24	35.853	25.47	32.792	41.503	37.123	41.193	20.612
piece_id	Crueger_AufAufMeinHerzMitFreuden	26.661	20.985	23.956	43.758	27.119	27.537	28.765	37.741	37.57	42.991	27.093
piece_id	Gesius_BefiehlDuDeineWege	40.0	21.834	32.722	45.723	26.166	25.832	33.694	44.388	30.805	39.694	16.638
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	40.89	22.888	24.832	51.057	23.778	23.611	37.056	39.778	39.11	46.333	28.833
piece_id	Jan_DuGrosserSchmerzensmann	23.33	22.318	20.278	41.753	23.604	26.6	23.77	28.793	25.543	25.516	15.401
piece_id	Telemann_DerLiebenSonneLichtUndPracht	43.16	26.158	24.415	56.984	35.206	32.921	41.595	39.595	36.874	41.825	19.412
piece_id	Vulpius_ChristusDerIstMeinLeben	38.556	25.229	21.183	46.659	38.524	31.119	36.22	39.278	44.786	40.437	23.872
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	33.334	22.897	20.476	45.554	26.944	20.358	25.634	40.039	41.349	41.15	19.882
is_nota_correct	0	36.583	19.415	17.082	44.499	33.751	23.666	30.833	42.418	38.416	38.333	19.999
is_nota_correct	1	24.333	37.666	55.0	47.0	16.667	41.001	37.332	23.0	27.0	43.667	35.335
meta-question_id	1	29.332	23.333	15.333	32.666	20.0	16.0	26.666	26.665	25.332	39.999	20.0
meta-question_id	10	41.11	28.888	21.109	43.333	42.221	34.443	26.664	36.664	40.0	31.11	22.221
meta-question_id	11	25.553	17.776	16.665	29.998	26.665	24.443	21.109	32.22	22.22	18.887	9.999
meta-question_id	2	38.0	19.334	32.0	50.667	22.0	31.333	28.665	44.665	45.333	45.333	24.666
meta-question_id	3	24.0	16.001	14.668	42.666	21.999	20.667	24.667	33.334	25.333	23.333	25.334
meta-question_id	4	33.998	28.668	28.001	54.666	40.665	38.667	24.667	40.664	46.667	40.001	21.334
meta-question_id	5	29.998	26.667	26.0	51.999	40.0	29.333	43.334	50.001	44.667	49.334	19.334
meta-question_id	6	53.998	36.666	42.667	49.333	34.001	35.334	40.0	40.0	39.999	50.667	33.334
meta-question_id	7	42.001	23.333	30.666	50.667	37.334	30.667	46.668	42.667	36.667	49.334	25.334
meta-question_id	8	17.334	11.334	18.668	24.666	20.001	18.001	22.001	29.999	19.999	23.334	14.666
meta-question_id	9	40.833	21.666	19.999	60.833	32.501	19.999	45.001	45.001	49.999	53.334	34.165
category	harmony	36.334	22.666	19.333	46.333	33.666	25.666	32.332	38.666	38.666	36.333	23.333
category	pitch	31.333	21.834	22.499	45.167	26.167	26.665	26.165	36.333	35.667	37.169	22.833
category	rhythm	35.833	24.5	29.499	44.167	32.832	28.335	38.0	40.667	35.332	43.166	23.167
subcategory	harmonic-recognition	36.334	22.666	19.333	46.333	33.666	25.666	32.332	38.666	38.666	36.333	23.333
subcategory	interval-recognition	29.001	22.333	21.334	48.666	31.334	29.666	24.668	37.0	35.999	31.668	23.335
subcategory	pitch-recognition	33.667	21.333	23.666	41.667	20.998	23.668	27.667	35.666	35.334	42.667	22.333
subcategory	proportion-recognition	29.666	17.334	24.666	37.667	28.665	24.333	34.333	36.333	28.332	36.334	20.0
subcategory	rhythmic-recognition	42.0	31.667	34.333	50.667	37.001	32.334	41.668	45.001	42.334	49.999	26.334
skill	cadence recognition	25.553	17.776	16.665	29.998	26.665	24.443	21.109	32.22	22.22	18.887	9.999
skill	chord recognition	41.11	28.888	21.109	43.333	42.221	34.443	26.664	36.664	40.0	31.11	22.221
skill	interval recognition	24.0	16.001	14.668	42.666	21.999	20.667	24.667	33.334	25.333	23.333	25.334
skill	interval statistics	33.998	28.668	28.001	54.666	40.665	38.667	24.667	40.664	46.667	40.001	21.334
skill	note length	29.998	26.667	26.0	51.999	40.0	29.333	43.334	50.001	44.667	49.334	19.334
skill	note length statistics	53.998	36.666	42.667	49.333	34.001	35.334	40.0	40.0	39.999	50.667	33.334
skill	pitch recognition	29.332	23.333	15.333	32.666	20.0	16.0	26.666	26.665	25.332	39.999	20.0
skill	pitch statistics	38.0	19.334	32.0	50.667	22.0	31.333	28.665	44.665	45.333	45.333	24.666
skill	rhythm pattern	42.001	23.333	30.666	50.667	37.334	30.667	46.668	42.667	36.667	49.334	25.334
skill	rhythm pattern statistics	17.334	11.334	18.668	24.666	20.001	18.001	22.001	29.999	19.999	23.334	14.666
skill	tonality recognition	40.833	21.666	19.999	60.833	32.501	19.999	45.001	45.001	49.999	53.334	34.165
rel/abs	absolute	38.26	26.813	27.97	45.798	30.726	28.841	33.623	39.855	38.985	44.348	24.058
rel/abs	relative	30.617	19.876	21.853	44.32	30.0	25.678	30.863	37.407	33.705	35.185	22.222
specification	harmony-absolute	41.11	28.888	21.109	43.333	42.221	34.443	26.664	36.664	40.0	31.11	22.221
specification	harmony-relative	34.286	20.001	18.574	47.619	30.0	21.906	34.763	39.525	38.095	38.573	23.81
specification	pitch-absolute	33.667	21.333	23.666	41.667	20.998	23.668	27.667	35.666	35.334	42.667	22.333
specification	pitch-relative	29.001	22.333	21.334	48.666	31.334	29.666	24.668	37.0	35.999	31.668	23.335
specification	rhythm-absolute	42.0	31.667	34.333	50.667	37.001	32.334	41.668	45.001	42.334	49.999	26.334
specification	rhythm-relative	29.666	17.334	24.666	37.667	28.665	24.333	34.333	36.333	28.332	36.334	20.0
