Criterion_Type	Criterion_Value	google_gemini-2.0-flash-lite-001_Mean_Accuracy_(10_runs)	google_gemini-2.0-flash-lite-001_Mean_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Mean_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Sum_Total_Time_s	google_gemini-2.0-flash-lite-001_Sum_Total_Price	google_gemini-3.1-flash-lite-preview_Mean_Accuracy_(10_runs)	google_gemini-3.1-flash-lite-preview_Mean_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Mean_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Sum_Total_Time_s	google_gemini-3.1-flash-lite-preview_Sum_Total_Price
OVERALL	ALL	22.633	13.42	0.0	41011.96	1.3928	31.906	0.332	0.04	46159.01	8.0794
submodality	audio.mastermix.wav	23.14	4.318	0.0	12332.07	0.4002	29.16	0.281	0.0	13997.56	2.0847
submodality	symbolic.abc.txt	22.22	23.851	0.0	15986.75	0.5695	33.28	0.599	0.086	16272.94	2.9206
submodality	visual.short.png	22.54	11.96	0.0	12693.14	0.4231	33.28	0.124	0.029	15888.52	3.0742
piece_id	Anonymous_AusMeinesHerzensGrunde	20.989	15.116	0.0	4209.85	0.1448	29.355	0.348	0.085	4755.9	0.8635
piece_id	Bach_IchStehAnDeinerKrippe	22.226	13.934	0.0	4714.0	0.1603	32.569	0.361	0.075	5119.39	0.895
piece_id	Crueger_AufAufMeinHerzMitFreuden	22.275	11.729	0.0	4602.89	0.1543	27.466	0.16	0.0	5131.68	0.9148
piece_id	Drese_JesuGehVoran	22.492	12.392	0.0	4080.97	0.1393	31.516	0.393	0.0	4476.6	0.7781
piece_id	Gesius_BefiehlDuDeineWege	22.199	12.755	0.0	3950.68	0.1348	33.708	0.226	0.0	4464.76	0.7784
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	21.27	12.792	0.0	3712.3	0.1264	29.206	0.506	0.137	4241.89	0.7386
piece_id	Jan_DuGrosserSchmerzensmann	22.13	12.061	0.0	4360.25	0.146	31.049	0.359	0.0	4828.39	0.8553
piece_id	Telemann_DerLiebenSonneLichtUndPracht	24.623	16.131	0.0	3946.64	0.1349	37.644	0.309	0.0	4582.6	0.7971
piece_id	Vulpius_ChristusDerIstMeinLeben	24.993	15.177	0.0	3702.69	0.1256	35.442	0.429	0.0	4096.2	0.7142
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	23.223	13.192	0.0	3731.74	0.1264	31.622	0.392	0.083	4461.62	0.7444
is_nota_correct	0	18.675	12.764	0.0	32774.73	1.1134	35.634	0.348	0.038	36766.65	6.4434
is_nota_correct	1	38.466	16.856	0.0	8237.22	0.2794	17.001	0.283	0.04	9392.35	1.636
meta-question_id	1	23.2	0.165	0.0	4071.48	0.1313	22.468	0.0	0.0	4515.81	0.8031
meta-question_id	10	23.667	31.823	0.0	3348.45	0.1148	42.834	0.708	0.0	3731.7	0.6213
meta-question_id	11	15.916	31.025	0.0	2903.28	0.0982	23.835	0.657	0.112	3845.7	0.6332
meta-question_id	2	21.533	4.204	0.0	3643.15	0.1165	24.199	0.693	0.0	4334.25	0.765
meta-question_id	3	16.665	25.604	0.0	3924.11	0.1331	28.2	0.371	0.0	4640.07	0.904
meta-question_id	4	26.2	6.115	0.0	4044.9	0.133	42.264	0.213	0.0	4863.33	0.7857
meta-question_id	5	20.867	26.051	0.0	3727.81	0.1225	39.401	0.204	0.22	4573.48	0.8062
meta-question_id	6	35.799	5.725	0.0	4270.32	0.1467	39.8	0.0	0.0	5024.09	0.8259
meta-question_id	7	25.201	12.125	0.0	4961.72	0.1844	39.533	0.659	0.0	4339.12	0.88
meta-question_id	8	12.468	0.75	0.0	4336.93	0.1502	14.801	0.08	0.079	4607.94	0.785
