Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price
OVERALL	ALL	1500	44.2	0.0	0.0	5031.67	1.502451	34.47	0.0	0.0	5450.71	0.214896	30.73	4.91	0.0	19115.52	2.596704
submodality	audio.mastermix.wav	500	33.8	0.0	0.0	1586.36	0.366331	29.4	0.0	0.0	2131.76	0.052324	27.0	0.0	0.0	1826.22	2.130009
submodality	symbolic.abc.txt	500	55.4	0.0	0.0	1715.92	0.592827	40.4	0.0	0.0	1913.7	0.094244	40.0	0.33	0.0	5206.64	0.167784
submodality	visual.short.png	500	43.4	0.0	0.0	1729.4	0.543292	33.6	0.0	0.0	1405.24	0.068328	25.2	13.37	0.0	12082.66	0.29891
piece_id	Anonymous_AusMeinesHerzensGrunde	153	35.95	0.0	0.0	553.31	0.171365	24.84	0.0	0.0	665.36	0.025071	20.92	5.79	0.0	2635.35	0.368309
piece_id	Bach_IchStehAnDeinerKrippe	201	45.77	0.0	0.0	670.54	0.202543	38.81	0.0	0.0	682.18	0.029064	35.82	3.88	0.0	2260.54	0.364389
piece_id	Crueger_AufAufMeinHerzMitFreuden	174	45.98	0.0	0.0	604.59	0.185672	31.03	0.0	0.0	670.47	0.028694	25.29	5.38	0.0	2061.17	0.342403
piece_id	Drese_JesuGehVoran	123	44.72	0.0	0.0	395.29	0.114021	37.4	0.0	0.0	434.96	0.015482	30.08	8.14	0.0	2397.31	0.1922
piece_id	Gesius_BefiehlDuDeineWege	144	44.44	0.0	0.0	477.45	0.145828	39.58	0.0	0.0	551.15	0.01984	38.89	2.27	0.0	1687.52	0.269511
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	141	39.01	0.0	0.0	450.29	0.132737	29.79	0.0	0.0	480.65	0.019471	21.99	5.45	0.0	1807.17	0.214193
piece_id	Jan_DuGrosserSchmerzensmann	153	40.52	0.0	0.0	519.71	0.159136	27.45	0.0	0.0	559.98	0.025544	26.8	5.36	0.0	1759.63	0.253963
piece_id	Telemann_DerLiebenSonneLichtUndPracht	135	53.33	0.0	0.0	464.37	0.145053	42.22	0.0	0.0	468.81	0.020158	36.3	3.49	0.0	1773.54	0.319789
piece_id	Vulpius_ChristusDerIstMeinLeben	159	52.2	0.0	0.0	521.31	0.142374	38.99	0.0	0.0	549.85	0.018119	37.11	6.0	0.0	1834.72	0.186185
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	117	38.46	0.0	0.0	374.83	0.103723	35.04	0.0	0.0	387.31	0.013454	34.19	2.6	0.0	898.56	0.085761
is_nota_correct	0	1200	44.17	0.0	0.0	4012.9	1.194025	36.83	0.0	0.0	4392.07	0.172193	30.0	5.0	0.0	15947.72	2.083654
is_nota_correct	1	300	44.33	0.0	0.0	1018.77	0.308426	25.0	0.0	0.0	1058.63	0.042703	33.67	4.52	0.0	3167.8	0.513049
meta-question_id	1	150	32.67	0.0	0.0	526.59	0.145986	23.33	0.0	0.0	485.94	0.019374	18.0	0.0	0.0	2813.07	0.292381
meta-question_id	10	120	48.33	0.0	0.0	386.91	0.110776	40.83	0.0	0.0	567.83	0.015366	31.67	1.22	0.0	567.15	0.185195
meta-question_id	11	120	27.5	0.0	0.0	421.52	0.11573	27.5	0.0	0.0	505.03	0.015998	24.17	2.2	0.0	1003.89	0.190883
meta-question_id	2	150	51.33	0.0	0.0	510.09	0.150452	29.33	0.0	0.0	603.57	0.019818	29.33	3.77	0.0	1266.2	0.238967
meta-question_id	3	150	39.33	0.0	0.0	515.05	0.167848	25.33	0.0	0.0	531.03	0.024903	19.33	6.61	0.0	2388.93	0.281539
meta-question_id	4	150	58.0	0.0	0.0	532.86	0.16894	38.0	0.0	0.0	554.26	0.023633	38.0	9.68	0.0	2839.59	0.266559
meta-question_id	5	150	54.67	0.0	0.0	480.36	0.145743	40.67	0.0	0.0	454.04	0.018461	46.67	12.5	0.0	2647.76	0.273814
meta-question_id	6	150	46.67	0.0	0.0	511.96	0.154535	48.0	0.0	0.0	627.47	0.027754	38.0	7.53	0.0	1966.95	0.265179
meta-question_id	7	150	48.0	0.0	0.0	497.4	0.1602	39.33	0.0	0.0	499.53	0.022421	36.67	7.37	0.0	1856.35	0.263643
meta-question_id	8	150	23.33	0.0	0.0	498.6	0.143906	23.33	0.0	0.0	475.77	0.021328	20.67	2.52	0.0	1438.7	0.247827
meta-question_id	9	60	68.33	0.0	0.0	150.34	0.038335	56.67	0.0	0.0	146.24	0.00584	40.0	0.0	0.0	326.92	0.090716
category	harmony	300	44.0	0.0	0.0	958.76	0.264841	38.67	0.0	0.0	1219.09	0.037204	30.33	1.44	0.0	1897.96	0.466794
category	pitch	600	45.33	0.0	0.0	2084.6	0.633226	29.0	0.0	0.0	2174.81	0.087729	26.17	4.74	0.0	9307.79	1.079447
category	rhythm	600	43.17	0.0	0.0	1988.32	0.604385	37.83	0.0	0.0	2056.81	0.089963	35.5	6.98	0.0	7909.77	1.050463
subcategory	harmonic-recognition	300	44.0	0.0	0.0	958.76	0.264841	38.67	0.0	0.0	1219.09	0.037204	30.33	1.44	0.0	1897.96	0.466794
subcategory	interval-recognition	300	48.67	0.0	0.0	1047.91	0.336788	31.67	0.0	0.0	1085.29	0.048537	28.67	7.94	0.0	5228.52	0.548098
subcategory	pitch-recognition	300	42.0	0.0	0.0	1036.68	0.296438	26.33	0.0	0.0	1089.52	0.039192	23.67	1.75	0.0	4079.27	0.531348
subcategory	proportion-recognition	300	35.67	0.0	0.0	996.0	0.304107	31.33	0.0	0.0	975.3	0.043748	28.67	4.67	0.0	3295.06	0.51147
subcategory	rhythmic-recognition	300	50.67	0.0	0.0	992.32	0.300278	44.33	0.0	0.0	1081.51	0.046215	42.33	9.83	0.0	4614.71	0.538993
skill	cadence recognition	120	27.5	0.0	0.0	421.52	0.11573	27.5	0.0	0.0	505.03	0.015998	24.17	2.2	0.0	1003.89	0.190883
skill	chord recognition	120	48.33	0.0	0.0	386.91	0.110776	40.83	0.0	0.0	567.83	0.015366	31.67	1.22	0.0	567.15	0.185195
