Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price
OVERALL	ALL	1500	44.07	0.36	1.79	8519.36	1.486407	36.47	0.1	0.0	5559.04	0.210167
submodality	audio.mastermix.wav	500	33.6	0.3	0.0	2528.41	0.362837	31.8	0.0	0.0	2036.94	0.05135
submodality	symbolic.abc.txt	500	56.2	0.46	0.91	3016.04	0.588962	44.2	0.0	0.0	2038.69	0.091449
submodality	visual.short.png	500	42.4	0.35	4.51	2974.91	0.534609	33.4	0.3	0.0	1483.41	0.067368
piece_id	Anonymous_AusMeinesHerzensGrunde	150	34.67	0.0	1.02	861.45	0.166841	31.33	0.97	0.0	640.38	0.024296
piece_id	Bach_IchStehAnDeinerKrippe	183	40.44	0.0	1.83	1037.23	0.183984	33.88	0.0	0.0	668.52	0.025186
piece_id	Crueger_AufAufMeinHerzMitFreuden	156	42.95	0.0	0.0	778.65	0.160668	32.05	0.0	0.0	600.05	0.023244
piece_id	Drese_JesuGehVoran	156	53.85	0.0	5.56	1020.97	0.143071	38.46	0.0	0.0	576.55	0.021661
piece_id	Gesius_BefiehlDuDeineWege	138	44.93	1.32	1.32	777.97	0.137134	42.03	0.0	0.0	461.68	0.018619
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	141	40.43	0.0	1.19	818.94	0.139443	34.04	0.0	0.0	514.6	0.020251
piece_id	Jan_DuGrosserSchmerzensmann	153	40.52	0.0	2.2	790.79	0.158038	37.25	0.0	0.0	570.62	0.023263
piece_id	Telemann_DerLiebenSonneLichtUndPracht	138	47.83	0.0	2.78	824.71	0.149616	42.75	0.0	0.0	510.29	0.020881
piece_id	Vulpius_ChristusDerIstMeinLeben	129	49.61	1.54	3.08	726.85	0.106566	34.88	0.0	0.0	456.42	0.015004
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	156	46.79	1.2	0.0	881.79	0.141045	39.1	0.0	0.0	559.94	0.017762
is_nota_correct	0	1200	43.33	0.29	1.76	6858.32	1.179801	37.92	0.13	0.0	4472.03	0.165803
is_nota_correct	1	300	47.0	0.63	1.89	1661.03	0.306606	30.67	0.0	0.0	1087.01	0.044364
meta-question_id	1	150	38.67	0.0	0.0	719.76	0.152521	28.67	0.0	0.0	485.74	0.020142
meta-question_id	10	120	43.33	0.0	1.47	609.81	0.112122	43.33	0.0	0.0	354.26	0.016247
meta-question_id	11	120	24.17	0.0	0.0	570.56	0.115603	30.0	0.0	0.0	353.48	0.016213
meta-question_id	2	150	52.0	0.0	9.72	1049.84	0.146336	34.0	0.0	0.0	441.55	0.018639
meta-question_id	3	150	31.33	0.97	0.0	1049.25	0.164032	26.67	0.91	0.0	640.52	0.022864
meta-question_id	4	150	48.67	1.3	1.3	953.76	0.175114	43.33	0.0	0.0	673.77	0.024693
meta-question_id	5	150	54.67	0.0	2.94	646.55	0.14336	34.67	0.0	0.0	757.99	0.018845
meta-question_id	6	150	60.0	0.0	1.67	969.87	0.1459	59.33	0.0	0.0	477.09	0.022921
meta-question_id	7	150	51.33	1.37	2.74	757.66	0.15226	39.33	0.0	0.0	504.24	0.022842
meta-question_id	8	150	26.67	0.0	0.91	763.38	0.140396	22.67	0.0	0.0	745.34	0.020859
meta-question_id	9	60	58.33	0.0	0.0	428.92	0.038765	43.33	0.0	0.0	125.07	0.005902
category	harmony	300	38.67	0.0	0.54	1609.29	0.26649	38.0	0.0	0.0	832.81	0.038362
category	pitch	600	42.67	0.58	2.33	3772.61	0.638002	33.17	0.25	0.0	2241.58	0.086339
category	rhythm	600	48.17	0.32	1.93	3137.46	0.581915	39.0	0.0	0.0	2484.66	0.085466
subcategory	harmonic-recognition	300	38.67	0.0	0.54	1609.29	0.26649	38.0	0.0	0.0	832.81	0.038362
subcategory	interval-recognition	300	40.0	1.11	0.56	2003.01	0.339145	35.0	0.51	0.0	1314.29	0.047558
subcategory	pitch-recognition	300	45.33	0.0	4.27	1769.6	0.298857	31.33	0.0	0.0	927.29	0.038781
subcategory	proportion-recognition	300	39.0	0.55	1.64	1521.04	0.292656	31.0	0.0	0.0	1249.58	0.043701
subcategory	rhythmic-recognition	300	57.33	0.0	2.34	1616.42	0.289259	47.0	0.0	0.0	1235.07	0.041765
skill	cadence recognition	120	24.17	0.0	0.0	570.56	0.115603	30.0	0.0	0.0	353.48	0.016213
skill	chord recognition	120	43.33	0.0	1.47	609.81	0.112122	43.33	0.0	0.0	354.26	0.016247
skill	interval recognition	150	31.33	0.97	0.0	1049.25	0.164032	26.67	0.91	0.0	640.52	0.022864
skill	interval statistics	150	48.67	1.3	1.3	953.76	0.175114	43.33	0.0	0.0	673.77	0.024693
skill	note length	150	54.67	0.0	2.94	646.55	0.14336	34.67	0.0	0.0	757.99	0.018845
skill	note length statistics	150	60.0	0.0	1.67	969.87	0.1459	59.33	0.0	0.0	477.09	0.022921
skill	pitch recognition	150	38.67	0.0	0.0	719.76	0.152521	28.67	0.0	0.0	485.74	0.020142
skill	pitch statistics	150	52.0	0.0	9.72	1049.84	0.146336	34.0	0.0	0.0	441.55	0.018639
skill	rhythm pattern	150	51.33	1.37	2.74	757.66	0.15226	39.33	0.0	0.0	504.24	0.022842
skill	rhythm pattern statistics	150	26.67	0.0	0.91	763.38	0.140396	22.67	0.0	0.0	745.34	0.020859
skill	tonality recognition	60	58.33	0.0	0.0	428.92	0.038765	43.33	0.0	0.0	125.07	0.005902
rel/abs	absolute	720	50.0	0.0	3.06	3995.83	0.700238	39.86	0.0	0.0	2516.62	0.096793
rel/abs	relative	780	38.59	0.63	0.84	4523.53	0.786169	33.33	0.19	0.0	3042.42	0.113374
specification	harmony-absolute	120	43.33	0.0	1.47	609.81	0.112122	43.33	0.0	0.0	354.26	0.016247
specification	harmony-relative	180	35.56	0.0	0.0	999.48	0.154368	34.44	0.0	0.0	478.55	0.022115
specification	pitch-absolute	300	45.33	0.0	4.27	1769.6	0.298857	31.33	0.0	0.0	927.29	0.038781
