Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	google_gemini-2.0-flash-lite-001
OVERALL	ALL	1500	42.87	33.8
submodality	audio.mastermix.wav	500	32.4	27.8
submodality	symbolic.abc.txt	500	56.4	40.8
submodality	visual.short.png	500	39.8	32.8
piece_id	Anonymous_AusMeinesHerzensGrunde	180	35.56	28.89
piece_id	Bach_IchStehAnDeinerKrippe	168	42.26	33.93
piece_id	Crueger_AufAufMeinHerzMitFreuden	159	38.36	28.3
piece_id	Drese_JesuGehVoran	156	35.9	28.21
piece_id	Gesius_BefiehlDuDeineWege	156	47.44	34.62
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	108	50.93	42.59
piece_id	Jan_DuGrosserSchmerzensmann	141	48.23	36.88
piece_id	Telemann_DerLiebenSonneLichtUndPracht	144	40.97	32.64
piece_id	Vulpius_ChristusDerIstMeinLeben	123	51.22	42.28
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	165	43.64	35.15
is_nota_correct	0	1200	41.67	34.58
is_nota_correct	1	300	47.67	30.67
meta-question_id	1	150	31.33	19.33
meta-question_id	10	120	44.17	41.67
meta-question_id	11	120	25.83	20.83
meta-question_id	2	150	55.33	42.67
meta-question_id	3	150	38.67	26.67
meta-question_id	4	150	47.33	38.0
meta-question_id	5	150	58.0	30.0
meta-question_id	6	150	48.0	54.0
meta-question_id	7	150	49.33	42.0
meta-question_id	8	150	19.33	14.67
meta-question_id	9	60	63.33	51.67
category	harmony	300	40.67	35.33
category	pitch	600	43.17	31.67
category	rhythm	600	43.67	35.17
subcategory	harmonic-recognition	300	40.67	35.33
subcategory	interval-recognition	300	43.0	32.33
subcategory	pitch-recognition	300	43.33	31.0
subcategory	proportion-recognition	300	34.33	28.33
subcategory	rhythmic-recognition	300	53.0	42.0
skill	cadence recognition	120	25.83	20.83
skill	chord recognition	120	44.17	41.67
skill	interval recognition	150	38.67	26.67
skill	interval statistics	150	47.33	38.0
skill	note length	150	58.0	30.0
skill	note length statistics	150	48.0	54.0
skill	pitch recognition	150	31.33	19.33
skill	pitch statistics	150	55.33	42.67
skill	rhythm pattern	150	49.33	42.0
skill	rhythm pattern statistics	150	19.33	14.67
skill	tonality recognition	60	63.33	51.67
rel/abs	absolute	720	47.5	37.36
rel/abs	relative	780	38.59	30.51
specification	harmony-absolute	120	44.17	41.67
specification	harmony-relative	180	38.33	31.11
specification	pitch-absolute	300	43.33	31.0
specification	pitch-relative	300	43.0	32.33
specification	rhythm-absolute	300	53.0	42.0
specification	rhythm-relative	300	34.33	28.33
