Criterion_Type	Criterion_Value	google_gemini-2.0-flash-lite-001_Mean_Accuracy_(10_runs)	google_gemini-2.0-flash-lite-001_Mean_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Mean_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Sum_Total_Time_s	google_gemini-2.0-flash-lite-001_Sum_Total_Price	google_gemini-3.1-flash-lite-preview_Mean_Accuracy_(10_runs)	google_gemini-3.1-flash-lite-preview_Mean_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Mean_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Sum_Total_Time_s	google_gemini-3.1-flash-lite-preview_Sum_Total_Price	aggregate-mistral_Mean_Accuracy_(10_runs)	aggregate-mistral_Mean_Unparsable_Percent	aggregate-mistral_Mean_Model_Error_Percent	aggregate-mistral_Sum_Total_Time_s	aggregate-mistral_Sum_Total_Price	google_gemini-2.5-flash-lite_Mean_Accuracy_(10_runs)	google_gemini-2.5-flash-lite_Mean_Unparsable_Percent	google_gemini-2.5-flash-lite_Mean_Model_Error_Percent	google_gemini-2.5-flash-lite_Sum_Total_Time_s	google_gemini-2.5-flash-lite_Sum_Total_Price	aggregate-gpt-4o_Mean_Accuracy_(10_runs)	aggregate-gpt-4o_Mean_Unparsable_Percent	aggregate-gpt-4o_Mean_Model_Error_Percent	aggregate-gpt-4o_Sum_Total_Time_s	aggregate-gpt-4o_Sum_Total_Price	Qwen_Qwen3-Omni-30B-A3B-Thinking_Mean_Accuracy_(10_runs)	Qwen_Qwen3-Omni-30B-A3B-Thinking_Mean_Unparsable_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Mean_Model_Error_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Sum_Total_Time_s	Qwen_Qwen3-Omni-30B-A3B-Thinking_Sum_Total_Price
OVERALL	ALL	35.531	0.05	0.0	10203.43	0.4134	45.499	0.0	0.0	10136.6	2.9493	33.833	3.172	0.515	35581.06	4.8503	38.734	0.0	0.0	43093.62	5.8961	37.766	1.447	0.0	11212.96	26.1186	40.233	0.109	0.0	61860.2	0.0
submodality	audio.mastermix.wav	32.0	0.0	0.0	4293.46	0.1031	33.2	0.0	0.0	3157.77	0.7132	30.4	0.301	1.536	9922.92	4.1865	31.4	0.0	0.0	8327.34	0.9357	34.3	0.0	0.0	4831.87	18.0178	33.1	0.149	0.0	13085.17	0.0
submodality	symbolic.abc.txt	41.5	0.167	0.0	3394.74	0.1764	59.1	0.0	0.0	3479.89	1.1514	42.8	0.196	0.0	8863.05	0.2887	50.6	0.0	0.0	18048.35	2.6657	43.5	0.0	0.0	3842.38	5.9312	56.9	0.0	0.0	33823.8	0.0
submodality	visual.short.png	33.1	0.0	0.0	2515.2	0.1339	44.2	0.0	0.0	3498.92	1.0846	28.3	8.229	0.0	16795.07	0.3751	34.2	0.0	0.0	16717.92	2.2946	35.5	4.154	0.0	2538.68	2.1696	30.7	0.139	0.0	14951.24	0.0
piece_id	Anonymous_AusMeinesHerzensGrunde	30.232	0.0	0.0	1217.06	0.0528	36.051	0.0	0.0	1208.12	0.3621	29.715	3.156	1.067	5875.16	0.7924	33.846	0.0	0.0	5270.39	0.7456	34.344	1.294	0.0	1407.23	3.7114	33.842	0.0	0.0	7151.45	0.0
piece_id	Bach_IchStehAnDeinerKrippe	35.235	0.0	0.0	971.28	0.04	44.241	0.0	0.0	983.0	0.2847	35.187	1.742	0.37	2706.07	0.491	33.941	0.0	0.0	4251.93	0.5816	35.173	0.556	0.0	1109.64	2.714	36.178	0.0	0.0	6495.32	0.0
piece_id	Crueger_AufAufMeinHerzMitFreuden	38.411	0.0	0.0	1122.33	0.0499	48.299	0.0	0.0	1105.36	0.3357	37.249	3.012	0.294	3557.38	0.5861	39.123	0.0	0.0	5024.28	0.6938	34.425	4.863	0.0	1277.15	3.1577	44.98	0.0	0.0	7428.68	0.0
piece_id	Drese_JesuGehVoran	32.143	0.0	0.0	956.22	0.0342	46.286	0.0	0.0	903.84	0.2519	33.998	3.197	0.0	2768.39	0.3488	35.402	0.0	0.0	3703.67	0.501	40.929	0.0	0.0	942.17	2.0308	38.076	0.526	0.0	5596.95	0.0
piece_id	Gesius_BefiehlDuDeineWege	32.197	0.0	0.0	1020.08	0.0406	41.954	0.0	0.0	1034.43	0.3073	32.139	2.846	0.357	3362.53	0.5182	35.593	0.0	0.0	3880.07	0.5432	35.388	1.118	0.0	1145.35	2.8005	39.391	0.0	0.0	5607.11	0.0
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	42.927	0.0	0.0	820.02	0.032	47.517	0.0	0.0	817.58	0.2356	35.187	3.426	0.0	2738.46	0.3562	41.192	0.0	0.0	3416.79	0.4549	39.637	1.389	0.0	899.94	1.9956	40.326	0.0	0.0	5491.37	0.0
piece_id	Jan_DuGrosserSchmerzensmann	26.951	0.0	0.0	1197.93	0.0538	41.762	0.0	0.0	1170.66	0.3426	30.229	2.136	0.0	3783.22	0.5448	36.006	0.0	0.0	5563.02	0.7598	29.179	1.52	0.0	1339.45	3.0466	34.881	0.0	0.0	8053.49	0.0
piece_id	Telemann_DerLiebenSonneLichtUndPracht	42.245	0.0	0.0	1084.14	0.0442	46.094	0.0	0.0	1018.34	0.3145	32.646	5.392	0.861	4555.02	0.6667	45.894	0.0	0.0	4400.69	0.6007	38.55	1.917	0.0	1221.98	3.2816	39.554	0.0	0.0	5634.29	0.0
piece_id	Vulpius_ChristusDerIstMeinLeben	37.873	0.0	0.0	854.5	0.0307	56.948	0.0	0.0	867.74	0.2338	36.181	4.216	1.705	2987.84	0.3022	46.243	0.0	0.0	3623.05	0.4748	49.509	0.0	0.0	887.66	1.7409	51.558	0.0	0.0	5067.2	0.0
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	36.63	0.455	0.0	959.91	0.0353	46.021	0.0	0.0	1027.52	0.2811	35.554	3.464	0.0	3246.99	0.2439	38.776	0.0	0.0	3959.74	0.5405	41.494	1.467	0.0	982.34	1.6394	45.585	0.909	0.0	5334.34	0.0
is_nota_correct	0	37.666	0.065	0.0	8088.99	0.3288	45.084	0.0	0.0	8057.5	2.3425	33.584	2.873	0.379	27623.78	3.8877	42.542	0.0	0.0	33403.01	4.5669	40.125	1.599	0.0	8953.38	20.9403	39.375	0.131	0.0	48739.03	0.0
is_nota_correct	1	27.001	0.0	0.0	2114.44	0.0846	47.167	0.0	0.0	2079.1	0.6068	34.833	4.38	1.078	7957.28	0.9626	23.501	0.0	0.0	9690.61	1.3292	28.334	0.923	0.0	2259.59	5.1783	43.666	0.0	0.0	13121.19	0.0
meta-question_id	1	28.334	0.0	0.0	1007.79	0.0397	33.332	0.0	0.0	1038.34	0.3065	24.667	0.872	1.333	4068.17	0.508	34.668	0.0	0.0	3353.72	0.4701	32.0	0.455	0.0	1007.71	2.5111	34.333	0.0	0.0	5765.73	0.0
meta-question_id	10	40.954	0.0	0.0	712.29	0.0271	42.382	0.0	0.0	701.54	0.1967	33.811	4.5	0.0	2352.47	0.3423	35.238	0.0	0.0	3092.48	0.4059	32.381	4.174	0.0	749.67	1.8249	30.952	0.667	0.0	5495.01	0.0
meta-question_id	11	28.333	0.0	0.0	638.97	0.0243	30.555	0.0	0.0	630.29	0.1748	28.335	4.105	0.0	1831.68	0.2783	30.555	0.0	0.0	2985.11	0.3886	25.555	6.042	0.0	743.21	1.5698	31.667	0.0	0.0	3059.86	0.0
meta-question_id	2	36.334	0.0	0.0	949.7	0.0392	51.666	0.0	0.0	1001.91	0.2946	31.001	1.309	0.476	3969.23	0.4986	42.666	0.0	0.0	2928.96	0.391	41.334	0.0	0.0	959.6	2.3206	37.667	0.0	0.0	3862.7	0.0
meta-question_id	3	23.333	0.0	0.0	1041.06	0.0452	34.667	0.0	0.0	1041.39	0.3186	22.334	2.457	0.417	2662.27	0.4736	31.333	0.0	0.0	5339.6	0.7949	24.001	1.932	0.0	1149.45	2.6922	29.667	0.0	0.0	7675.79	0.0
meta-question_id	4	44.666	0.0	0.0	1067.41	0.0448	51.666	0.0	0.0	1136.29	0.3371	35.667	2.578	1.067	4474.94	0.4738	41.332	0.0	0.0	7164.38	1.0166	49.666	0.0	0.0	1169.45	2.6122	43.667	0.0	0.0	9808.66	0.0
meta-question_id	5	32.333	0.0	0.0	942.24	0.0394	57.667	0.0	0.0	992.4	0.309	45.001	4.801	0.0	3625.75	0.5016	46.333	0.0	0.0	3431.64	0.46	43.668	3.374	0.0	1181.52	2.6821	46.667	0.667	0.0	5552.14	0.0
meta-question_id	6	60.334	0.0	0.0	1088.91	0.0472	59.334	0.0	0.0	1007.61	0.3021	55.334	3.959	0.0	3516.63	0.5071	50.668	0.0	0.0	4600.29	0.6289	56.333	0.714	0.0	1342.35	2.9861	61.999	0.0	0.0	5645.89	0.0
meta-question_id	7	37.001	0.526	0.0	1067.73	0.0433	47.333	0.0	0.0	972.96	0.2897	41.668	8.468	0.0	3369.44	0.4655	38.666	0.0	0.0	3863.01	0.5276	42.0	0.5	0.0	1149.64	2.6745	46.999	0.0	0.0	6030.73	0.0
meta-question_id	8	16.333	0.0	0.0	1096.04	0.0429	27.667	0.0	0.0	1037.63	0.2807	16.0	1.867	0.476	3580.34	0.4851	28.666	0.0	0.0	4944.88	0.6528	16.666	0.0	0.0	1143.78	2.6436	23.334	0.0	0.0	7731.1	0.0
meta-question_id	9	44.285	0.0	0.0	591.33	0.0204	62.38	0.0	0.0	576.27	0.1394	37.144	2.252	1.623	2130.14	0.3163	42.857	0.0	0.0	1389.57	0.1597	48.573	0.0	0.0	616.56	1.6015	53.334	0.0	0.0	1232.57	0.0
category	harmony	38.333	0.0	0.0	1942.55	0.0717	45.833	0.0	0.0	1908.1	0.5109	33.333	3.838	0.513	6314.26	0.9369	36.501	0.0	0.0	7467.16	0.9542	35.998	3.639	0.0	2109.43	4.9962	38.999	0.233	0.0	9787.45	0.0
category	pitch	33.167	0.0	0.0	4065.96	0.1689	42.834	0.0	0.0	4217.91	1.2568	28.417	1.885	0.801	15174.63	1.9541	37.501	0.0	0.0	18786.64	2.6725	36.75	0.68	0.0	4286.22	10.1361	36.333	0.0	0.0	27112.91	0.0
