Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	aggregate-mistral	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001	google_gemini-2.5-flash-lite	aggregate-gpt-4o
OVERALL	ALL	300	45.0	37.33	36.67	35.33	39.33	40.67
submodality	audio.mastermix.wav	100	30.0	26.0	34.0	32.0	31.0	39.0
submodality	symbolic.abc.txt	100	64.0	49.0	54.0	43.0	56.0	48.0
submodality	visual.short.png	100	41.0	37.0	22.0	31.0	31.0	35.0
piece_id	Anonymous_AusMeinesHerzensGrunde	30	13.33	16.67	16.67	3.33	23.33	23.33
piece_id	Bach_IchStehAnDeinerKrippe	21	38.1	47.62	33.33	52.38	28.57	33.33
piece_id	Crueger_AufAufMeinHerzMitFreuden	39	51.28	23.08	38.46	38.46	46.15	30.77
piece_id	Drese_JesuGehVoran	33	63.64	39.39	42.42	36.36	39.39	42.42
piece_id	Gesius_BefiehlDuDeineWege	21	28.57	28.57	33.33	23.81	38.1	33.33
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	18	44.44	44.44	55.56	44.44	27.78	38.89
piece_id	Jan_DuGrosserSchmerzensmann	30	33.33	36.67	23.33	20.0	40.0	36.67
piece_id	Telemann_DerLiebenSonneLichtUndPracht	30	50.0	46.67	40.0	43.33	40.0	50.0
piece_id	Vulpius_ChristusDerIstMeinLeben	39	48.72	48.72	38.46	48.72	46.15	48.72
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	39	61.54	43.59	46.15	41.03	48.72	58.97
is_nota_correct	0	240	43.75	38.75	37.08	36.67	42.92	42.92
is_nota_correct	1	60	50.0	31.67	35.0	30.0	25.0	31.67
meta-question_id	1	30	23.33	20.0	36.67	10.0	30.0	40.0
meta-question_id	10	21	52.38	42.86	42.86	66.67	52.38	33.33
meta-question_id	11	18	27.78	27.78	27.78	22.22	33.33	38.89
meta-question_id	2	30	53.33	40.0	20.0	40.0	43.33	53.33
meta-question_id	3	30	20.0	26.67	33.33	23.33	43.33	23.33
meta-question_id	4	30	63.33	40.0	53.33	53.33	53.33	60.0
meta-question_id	5	30	56.67	46.67	40.0	43.33	53.33	40.0
meta-question_id	6	30	40.0	46.67	50.0	36.67	40.0	50.0
meta-question_id	7	30	50.0	66.67	33.33	46.67	30.0	43.33
meta-question_id	8	30	40.0	26.67	23.33	13.33	20.0	20.0
meta-question_id	9	21	71.43	19.05	42.86	38.1	33.33	42.86
category	harmony	60	51.67	30.0	38.33	43.33	40.0	38.33
category	pitch	120	40.0	31.67	35.83	31.67	42.5	44.17
category	rhythm	120	46.67	46.67	36.67	35.0	35.83	38.33
subcategory	harmonic-recognition	60	51.67	30.0	38.33	43.33	40.0	38.33
subcategory	interval-recognition	60	41.67	33.33	43.33	38.33	48.33	41.67
subcategory	pitch-recognition	60	38.33	30.0	28.33	25.0	36.67	46.67
subcategory	proportion-recognition	60	45.0	46.67	28.33	30.0	25.0	31.67
subcategory	rhythmic-recognition	60	48.33	46.67	45.0	40.0	46.67	45.0
skill	cadence recognition	18	27.78	27.78	27.78	22.22	33.33	38.89
skill	chord recognition	21	52.38	42.86	42.86	66.67	52.38	33.33
skill	interval recognition	30	20.0	26.67	33.33	23.33	43.33	23.33
skill	interval statistics	30	63.33	40.0	53.33	53.33	53.33	60.0
skill	note length	30	56.67	46.67	40.0	43.33	53.33	40.0
skill	note length statistics	30	40.0	46.67	50.0	36.67	40.0	50.0
skill	pitch recognition	30	23.33	20.0	36.67	10.0	30.0	40.0
skill	pitch statistics	30	53.33	40.0	20.0	40.0	43.33	53.33
skill	rhythm pattern	30	50.0	66.67	33.33	46.67	30.0	43.33
skill	rhythm pattern statistics	30	40.0	26.67	23.33	13.33	20.0	20.0
skill	tonality recognition	21	71.43	19.05	42.86	38.1	33.33	42.86
rel/abs	absolute	141	44.68	39.01	37.59	37.59	43.26	43.97
rel/abs	relative	159	45.28	35.85	35.85	33.33	35.85	37.74
specification	harmony-absolute	21	52.38	42.86	42.86	66.67	52.38	33.33
specification	harmony-relative	39	51.28	23.08	35.9	30.77	33.33	41.03
specification	pitch-absolute	60	38.33	30.0	28.33	25.0	36.67	46.67
specification	pitch-relative	60	41.67	33.33	43.33	38.33	48.33	41.67
specification	rhythm-absolute	60	48.33	46.67	45.0	40.0	46.67	45.0
specification	rhythm-relative	60	45.0	46.67	28.33	30.0	25.0	31.67
