Criterion_Type	Criterion_Value	Total_Items	google_gemma-3-27b-it_text-only	google_gemini-3.1-flash-lite-preview_normal	google_gemini-3.1-flash-lite-preview_text-only	google_gemini-3.1-flash-lite-preview_white-noise	aggregate-mistral_normal	aggregate-mistral_text-only	aggregate-mistral_white-noise	Qwen_Qwen3-Omni-30B-A3B-Thinking_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_text-only	Qwen_Qwen3-Omni-30B-A3B-Thinking_white-noise	aggregate-gpt-5_normal	aggregate-gpt-5_text-only	aggregate-gpt-5_white-noise	deepseek_deepseek-v3.2_text-only	google_gemini-3.1-pro-preview_normal	google_gemini-2.0-flash-lite-001_normal	google_gemini-2.0-flash-lite-001_text-only	google_gemini-2.0-flash-lite-001_white-noise	meta-llama_llama-4-scout_text-only	google_gemini-2.5-flash-lite_normal	google_gemini-2.5-flash-lite_text-only	google_gemini-2.5-flash-lite_white-noise	aggregate-gpt-4o_normal	aggregate-gpt-4o_text-only	aggregate-gpt-4o_white-noise	aggregate-gpt-5-full_normal
OVERALL	ALL	300	20.67	45.67	34.67	28.67	39.33	35.33	30.33	46.33	24.0	25.67	42.0	8.33	22.67	24.33	59.0	40.33	25.67	30.67	30.67	41.0	29.0	25.33	41.0	8.67	21.67	37.0
submodality	audio.mastermix.wav	100	19.0	33.0	33.0	30.0	36.0	32.0	35.0	33.0	24.0	24.0	12.0	0.0	11.0	16.0	46.0	33.0	25.0	29.0	31.0	31.0	20.0	23.0	34.0	0.0	36.0	13.0
submodality	symbolic.abc.txt	100	19.0	63.0	31.0	29.0	43.0	41.0	28.0	66.0	21.0	29.0	75.0	14.0	34.0	34.0	86.0	47.0	21.0	37.0	27.0	57.0	28.0	30.0	49.0	22.0	29.0	52.0
submodality	visual.short.png	100	24.0	41.0	40.0	27.0	39.0	33.0	28.0	40.0	27.0	24.0	39.0	11.0	23.0	23.0	45.0	41.0	31.0	26.0	34.0	35.0	39.0	23.0	40.0	4.0	0.0	46.0
piece_id	Anonymous_AusMeinesHerzensGrunde	18	27.78	16.67	11.11	5.56	27.78	11.11	11.11	16.67	0.0	16.67	22.22	0.0	5.56	11.11	27.78	16.67	27.78	5.56	5.56	27.78	22.22	11.11	11.11	5.56	11.11	16.67
piece_id	Bach_IchStehAnDeinerKrippe	33	21.21	30.3	42.42	21.21	45.45	30.3	21.21	33.33	9.09	12.12	42.42	0.0	9.09	12.12	51.52	36.36	15.15	15.15	33.33	39.39	30.3	24.24	30.3	3.03	15.15	30.3
piece_id	Crueger_AufAufMeinHerzMitFreuden	30	10.0	46.67	33.33	23.33	43.33	33.33	20.0	40.0	20.0	16.67	46.67	10.0	13.33	10.0	63.33	36.67	20.0	23.33	20.0	36.67	36.67	23.33	33.33	10.0	13.33	46.67
piece_id	Drese_JesuGehVoran	39	25.64	51.28	46.15	35.9	46.15	43.59	35.9	51.28	43.59	43.59	51.28	15.38	30.77	33.33	61.54	53.85	33.33	41.03	46.15	38.46	30.77	30.77	51.28	10.26	28.21	33.33
piece_id	Gesius_BefiehlDuDeineWege	24	8.33	41.67	41.67	16.67	29.17	33.33	20.83	41.67	16.67	29.17	37.5	0.0	20.83	25.0	58.33	20.83	20.83	33.33	25.0	20.83	25.0	20.83	20.83	8.33	12.5	25.0
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	42	16.67	35.71	21.43	33.33	28.57	28.57	21.43	52.38	19.05	21.43	40.48	4.76	21.43	26.19	52.38	35.71	23.81	26.19	28.57	47.62	21.43	23.81	42.86	9.52	21.43	38.1
piece_id	Jan_DuGrosserSchmerzensmann	42	16.67	54.76	28.57	30.95	26.19	42.86	42.86	52.38	35.71	28.57	42.86	9.52	35.71	38.1	64.29	54.76	26.19	38.1	33.33	59.52	33.33	26.19	42.86	11.9	28.57	38.1
piece_id	Telemann_DerLiebenSonneLichtUndPracht	27	33.33	74.07	48.15	40.74	66.67	48.15	37.04	51.85	18.52	14.81	55.56	11.11	25.93	37.04	74.07	51.85	29.63	44.44	48.15	55.56	37.04	33.33	48.15	3.7	22.22	51.85
piece_id	Vulpius_ChristusDerIstMeinLeben	21	23.81	47.62	33.33	38.1	38.1	33.33	47.62	52.38	33.33	38.1	33.33	19.05	28.57	23.81	66.67	47.62	19.05	38.1	14.29	38.1	19.05	28.57	57.14	14.29	19.05	42.86
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	24	29.17	50.0	37.5	29.17	45.83	37.5	41.67	58.33	29.17	33.33	33.33	12.5	25.0	12.5	62.5	29.17	41.67	33.33	33.33	25.0	29.17	25.0	62.5	8.33	37.5	41.67
is_nota_correct	0	240	23.75	41.67	39.17	25.83	38.33	30.0	23.75	42.92	20.0	11.25	41.25	7.5	11.67	12.5	58.33	38.75	22.08	21.25	30.42	44.58	27.5	19.17	40.83	6.67	16.67	36.25
is_nota_correct	1	60	8.33	61.67	16.67	40.0	43.33	56.67	56.67	60.0	40.0	83.33	45.0	11.67	66.67	71.67	61.67	46.67	40.0	68.33	31.67	26.67	35.0	50.0	41.67	16.67	41.67	40.0
meta-question_id	1	30	23.33	30.0	30.0	30.0	16.67	36.67	20.0	46.67	20.0	26.67	43.33	3.33	20.0	26.67	50.0	20.0	26.67	26.67	23.33	33.33	16.67	33.33	36.67	10.0	16.67	23.33
meta-question_id	10	21	19.05	28.57	33.33	23.81	57.14	28.57	28.57	33.33	4.76	19.05	14.29	4.76	14.29	23.81	33.33	42.86	14.29	19.05	23.81	38.1	14.29	23.81	23.81	9.52	9.52	9.52
meta-question_id	11	18	11.11	27.78	33.33	22.22	22.22	33.33	27.78	22.22	33.33	11.11	16.67	5.56	16.67	16.67	33.33	27.78	5.56	27.78	38.89	27.78	33.33	16.67	33.33	11.11	27.78	22.22
meta-question_id	2	30	13.33	56.67	33.33	40.0	40.0	46.67	40.0	60.0	33.33	40.0	46.67	10.0	30.0	23.33	70.0	36.67	40.0	43.33	30.0	53.33	43.33	26.67	60.0	10.0	23.33	46.67
