Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price	Qwen_Qwen3-Omni-30B-A3B-Thinking_Accuracy_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Unparsable_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Model_Error_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Time_s	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Price	aggregate-gpt-5_Accuracy_Percent	aggregate-gpt-5_Unparsable_Percent	aggregate-gpt-5_Model_Error_Percent	aggregate-gpt-5_Total_Time_s	aggregate-gpt-5_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price	google_gemini-2.5-flash-lite_Accuracy_Percent	google_gemini-2.5-flash-lite_Unparsable_Percent	google_gemini-2.5-flash-lite_Model_Error_Percent	google_gemini-2.5-flash-lite_Total_Time_s	google_gemini-2.5-flash-lite_Total_Price	aggregate-gpt-4o_Accuracy_Percent	aggregate-gpt-4o_Unparsable_Percent	aggregate-gpt-4o_Model_Error_Percent	aggregate-gpt-4o_Total_Time_s	aggregate-gpt-4o_Total_Price	aggregate-gpt-5-full_Accuracy_Percent	aggregate-gpt-5-full_Unparsable_Percent	aggregate-gpt-5-full_Model_Error_Percent	aggregate-gpt-5-full_Total_Time_s	aggregate-gpt-5-full_Total_Price
OVERALL	ALL	300	45.67	0.0	0.0	1070.3	0.295271	39.33	7.14	0.0	5360.15	0.544178	46.33	0.0	0.0	6197.8	0.0	42.0	13.79	0.0	5486.49	1.268735	40.33	0.0	0.0	933.01	0.041733	41.0	0.0	0.0	5412.66	0.612087	41.0	2.26	0.0	1259.86	2.568208	37.0	20.11	0.0	992.71	1.944835
submodality	audio.mastermix.wav	100	33.0	0.0	0.0	344.76	0.070804	36.0	0.0	0.0	263.66	0.410794	33.0	0.0	0.0	1475.18	0.0	12.0	27.27	0.0	494.29	0.066367	33.0	0.0	0.0	389.26	0.010217	31.0	0.0	0.0	1169.91	0.128391	34.0	0.0	0.0	549.56	1.766018	13.0	43.68	0.0	479.74	1.442727
submodality	symbolic.abc.txt	100	63.0	0.0	0.0	354.48	0.115204	43.0	0.0	0.0	607.11	0.02082	66.0	0.0	0.0	3580.7	0.0	75.0	0.0	0.0	3366.51	0.840488	47.0	0.0	0.0	316.44	0.018307	57.0	0.0	0.0	2234.79	0.263379	49.0	0.0	0.0	449.75	0.590087	52.0	0.0	0.0	259.22	0.346007
submodality	visual.short.png	100	41.0	0.0	0.0	371.06	0.109263	39.0	21.31	0.0	4489.39	0.112564	40.0	0.0	0.0	1141.93	0.0	39.0	0.0	0.0	1625.69	0.361881	41.0	0.0	0.0	227.32	0.013209	35.0	0.0	0.0	2007.95	0.220316	40.0	6.67	0.0	260.56	0.212102	46.0	0.0	0.0	253.74	0.1561
piece_id	Anonymous_AusMeinesHerzensGrunde	18	16.67	0.0	0.0	75.5	0.020253	27.78	7.69	0.0	254.76	0.041	16.67	0.0	0.0	565.46	0.0	22.22	14.29	0.0	508.21	0.097335	16.67	0.0	0.0	65.55	0.003058	27.78	0.0	0.0	414.97	0.050856	11.11	6.25	0.0	81.92	0.200652	16.67	20.0	0.0	58.17	0.147566
piece_id	Bach_IchStehAnDeinerKrippe	33	30.3	0.0	0.0	128.01	0.03261	45.45	5.56	0.0	615.34	0.065359	33.33	0.0	0.0	664.79	0.0	42.42	10.53	0.0	595.44	0.139579	36.36	0.0	0.0	111.21	0.0048	39.39	0.0	0.0	556.87	0.064978	30.3	0.0	0.0	148.48	0.30501	30.3	13.04	0.0	115.63	0.235553
piece_id	Crueger_AufAufMeinHerzMitFreuden	30	46.67	0.0	0.0	102.84	0.032038	43.33	0.0	0.0	366.03	0.059089	40.0	0.0	0.0	690.37	0.0	46.67	6.25	0.0	574.08	0.13206	36.67	0.0	0.0	112.04	0.005404	36.67	0.0	0.0	595.02	0.063776	33.33	5.0	0.0	136.38	0.30006	46.67	0.0	0.0	132.9	0.253837
piece_id	Drese_JesuGehVoran	39	51.28	0.0	0.0	131.26	0.038141	46.15	4.76	0.0	710.94	0.061982	51.28	0.0	0.0	1139.04	0.0	51.28	21.05	0.0	637.17	0.149107	53.85	0.0	0.0	107.96	0.004402	38.46	0.0	0.0	645.58	0.070711	51.28	0.0	0.0	154.14	0.290275	33.33	23.08	0.0	113.82	0.210265
piece_id	Gesius_BefiehlDuDeineWege	24	41.67	0.0	0.0	86.25	0.021788	29.17	5.88	0.0	140.97	0.040387	41.67	0.0	0.0	322.44	0.0	37.5	13.33	0.0	401.78	0.093987	20.83	0.0	0.0	66.54	0.00301	20.83	0.0	0.0	407.43	0.043702	20.83	5.26	0.0	98.23	0.219225	25.0	33.33	0.0	81.42	0.162849
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	42	35.71	0.0	0.0	131.09	0.038296	28.57	13.33	0.0	1012.92	0.074701	52.38	0.0	0.0	921.82	0.0	40.48	8.0	0.0	783.99	0.161962	35.71	0.0	0.0	117.66	0.005268	47.62	0.0	0.0	674.15	0.076999	42.86	0.0	0.0	167.7	0.328195	38.1	26.92	0.0	137.21	0.249099
