Criterion_Type	Criterion_Value	Total_Items	google_gemma-3-27b-it	google_gemini-3.1-flash-lite-preview	aggregate-mistral	Qwen_Qwen3-Omni-30B-A3B-Thinking	aggregate-gpt-5	deepseek_deepseek-v3.2	google_gemini-2.0-flash-lite-001	meta-llama_llama-4-scout	google_gemini-2.5-flash-lite	aggregate-gpt-4o
OVERALL	ALL	300	20.67	34.67	35.33	24.0	8.33	24.33	25.67	30.67	29.0	8.67
submodality	audio.mastermix.wav	100	19.0	33.0	32.0	24.0	0.0	16.0	25.0	31.0	20.0	0.0
submodality	symbolic.abc.txt	100	19.0	31.0	41.0	21.0	14.0	34.0	21.0	27.0	28.0	22.0
submodality	visual.short.png	100	24.0	40.0	33.0	27.0	11.0	23.0	31.0	34.0	39.0	4.0
piece_id	Anonymous_AusMeinesHerzensGrunde	18	27.78	11.11	11.11	0.0	0.0	11.11	27.78	5.56	22.22	5.56
piece_id	Bach_IchStehAnDeinerKrippe	33	21.21	42.42	30.3	9.09	0.0	12.12	15.15	33.33	30.3	3.03
piece_id	Crueger_AufAufMeinHerzMitFreuden	30	10.0	33.33	33.33	20.0	10.0	10.0	20.0	20.0	36.67	10.0
piece_id	Drese_JesuGehVoran	39	25.64	46.15	43.59	43.59	15.38	33.33	33.33	46.15	30.77	10.26
piece_id	Gesius_BefiehlDuDeineWege	24	8.33	41.67	33.33	16.67	0.0	25.0	20.83	25.0	25.0	8.33
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	42	16.67	21.43	28.57	19.05	4.76	26.19	23.81	28.57	21.43	9.52
piece_id	Jan_DuGrosserSchmerzensmann	42	16.67	28.57	42.86	35.71	9.52	38.1	26.19	33.33	33.33	11.9
piece_id	Telemann_DerLiebenSonneLichtUndPracht	27	33.33	48.15	48.15	18.52	11.11	37.04	29.63	48.15	37.04	3.7
piece_id	Vulpius_ChristusDerIstMeinLeben	21	23.81	33.33	33.33	33.33	19.05	23.81	19.05	14.29	19.05	14.29
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	24	29.17	37.5	37.5	29.17	12.5	12.5	41.67	33.33	29.17	8.33
is_nota_correct	0	240	23.75	39.17	30.0	20.0	7.5	12.5	22.08	30.42	27.5	6.67
is_nota_correct	1	60	8.33	16.67	56.67	40.0	11.67	71.67	40.0	31.67	35.0	16.67
meta-question_id	1	30	23.33	30.0	36.67	20.0	3.33	26.67	26.67	23.33	16.67	10.0
meta-question_id	10	21	19.05	33.33	28.57	4.76	4.76	23.81	14.29	23.81	14.29	9.52
meta-question_id	11	18	11.11	33.33	33.33	33.33	5.56	16.67	5.56	38.89	33.33	11.11
meta-question_id	2	30	13.33	33.33	46.67	33.33	10.0	23.33	40.0	30.0	43.33	10.0
meta-question_id	3	30	13.33	23.33	26.67	10.0	3.33	20.0	20.0	16.67	16.67	6.67
meta-question_id	4	30	20.0	40.0	30.0	36.67	20.0	30.0	30.0	46.67	23.33	6.67
meta-question_id	5	30	36.67	33.33	46.67	16.67	6.67	30.0	16.67	50.0	40.0	6.67
meta-question_id	6	30	13.33	50.0	46.67	53.33	20.0	40.0	43.33	40.0	43.33	20.0
meta-question_id	7	30	33.33	53.33	36.67	10.0	0.0	13.33	20.0	30.0	33.33	0.0
meta-question_id	8	30	16.67	13.33	10.0	10.0	6.67	13.33	16.67	3.33	16.67	6.67
meta-question_id	9	21	23.81	38.1	47.62	38.1	9.52	28.57	42.86	38.1	38.1	9.52
category	harmony	60	18.33	35.0	36.67	25.0	6.67	23.33	21.67	33.33	28.33	10.0
category	pitch	120	17.5	31.67	35.0	25.0	9.17	25.0	29.17	29.17	25.0	8.33
category	rhythm	120	25.0	37.5	35.0	22.5	8.33	24.17	24.17	30.83	33.33	8.33
subcategory	harmonic-recognition	60	18.33	35.0	36.67	25.0	6.67	23.33	21.67	33.33	28.33	10.0
subcategory	interval-recognition	60	16.67	31.67	28.33	23.33	11.67	25.0	25.0	31.67	20.0	6.67
subcategory	pitch-recognition	60	18.33	31.67	41.67	26.67	6.67	25.0	33.33	26.67	30.0	10.0
subcategory	proportion-recognition	60	25.0	33.33	23.33	10.0	3.33	13.33	18.33	16.67	25.0	3.33
subcategory	rhythmic-recognition	60	25.0	41.67	46.67	35.0	13.33	35.0	30.0	45.0	41.67	13.33
skill	cadence recognition	18	11.11	33.33	33.33	33.33	5.56	16.67	5.56	38.89	33.33	11.11
skill	chord recognition	21	19.05	33.33	28.57	4.76	4.76	23.81	14.29	23.81	14.29	9.52
skill	interval recognition	30	13.33	23.33	26.67	10.0	3.33	20.0	20.0	16.67	16.67	6.67
skill	interval statistics	30	20.0	40.0	30.0	36.67	20.0	30.0	30.0	46.67	23.33	6.67
skill	note length	30	36.67	33.33	46.67	16.67	6.67	30.0	16.67	50.0	40.0	6.67
skill	note length statistics	30	13.33	50.0	46.67	53.33	20.0	40.0	43.33	40.0	43.33	20.0
skill	pitch recognition	30	23.33	30.0	36.67	20.0	3.33	26.67	26.67	23.33	16.67	10.0
