Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	Qwen_Qwen3-Omni-30B-A3B-Thinking_Accuracy_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Unparsable_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Model_Error_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Time_s	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price
OVERALL	ALL	300	28.67	0.0	0.0	858.7	0.3845	25.67	0.0	0.0	4079.95	0.0	30.67	0.96	0.0	794.87	0.090316
submodality	audio.mastermix.wav	100	30.0	0.0	0.0	283.49	0.088382	24.0	0.0	0.0	133.73	0.0	29.0	1.41	0.0	346.16	0.013481
submodality	symbolic.abc.txt	100	29.0	0.0	0.0	332.63	0.251259	29.0	0.0	0.0	3891.69	0.0	37.0	0.0	0.0	238.39	0.06486
submodality	visual.short.png	100	27.0	0.0	0.0	242.58	0.044858	24.0	0.0	0.0	54.53	0.0	26.0	1.35	0.0	210.32	0.011975
piece_id	Anonymous_AusMeinesHerzensGrunde	18	5.56	0.0	0.0	49.34	0.023367	16.67	0.0	0.0	482.32	0.0	5.56	0.0	0.0	44.49	0.005274
piece_id	Bach_IchStehAnDeinerKrippe	33	21.21	0.0	0.0	97.72	0.043474	12.12	0.0	0.0	435.25	0.0	15.15	0.0	0.0	80.84	0.009676
piece_id	Crueger_AufAufMeinHerzMitFreuden	30	23.33	0.0	0.0	86.83	0.038324	16.67	0.0	0.0	177.34	0.0	23.33	0.0	0.0	77.6	0.008892
piece_id	Drese_JesuGehVoran	39	35.9	0.0	0.0	113.31	0.050975	43.59	0.0	0.0	783.14	0.0	41.03	0.0	0.0	101.28	0.011515
piece_id	Gesius_BefiehlDuDeineWege	24	16.67	0.0	0.0	64.13	0.03041	29.17	0.0	0.0	109.54	0.0	33.33	0.0	0.0	59.46	0.007021
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	42	33.33	0.0	0.0	130.09	0.052068	21.43	0.0	0.0	465.23	0.0	26.19	3.23	0.0	105.61	0.012276
piece_id	Jan_DuGrosserSchmerzensmann	42	30.95	0.0	0.0	113.34	0.053554	28.57	0.0	0.0	345.66	0.0	38.1	3.85	0.0	104.78	0.012278
piece_id	Telemann_DerLiebenSonneLichtUndPracht	27	40.74	0.0	0.0	80.01	0.034715	14.81	0.0	0.0	592.26	0.0	44.44	0.0	0.0	106.16	0.010251
piece_id	Vulpius_ChristusDerIstMeinLeben	21	38.1	0.0	0.0	56.89	0.026955	38.1	0.0	0.0	445.19	0.0	38.1	0.0	0.0	56.82	0.006163
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	24	29.17	0.0	0.0	67.03	0.030659	33.33	0.0	0.0	244.01	0.0	33.33	0.0	0.0	57.82	0.006968
is_nota_correct	0	240	25.83	0.0	0.0	678.47	0.299732	11.25	0.0	0.0	3065.52	0.0	21.25	1.06	0.0	645.25	0.070034
is_nota_correct	1	60	40.0	0.0	0.0	180.23	0.084768	83.33	0.0	0.0	1014.43	0.0	68.33	0.0	0.0	149.62	0.020282
meta-question_id	1	30	30.0	0.0	0.0	80.24	0.039149	26.67	0.0	0.0	462.39	0.0	26.67	0.0	0.0	81.11	0.009043
meta-question_id	10	21	23.81	0.0	0.0	61.1	0.026554	19.05	0.0	0.0	230.08	0.0	19.05	5.88	0.0	55.19	0.006184
meta-question_id	11	18	22.22	0.0	0.0	51.88	0.022092	11.11	0.0	0.0	226.31	0.0	27.78	0.0	0.0	45.43	0.00525
meta-question_id	2	30	40.0	0.0	0.0	88.11	0.038577	40.0	0.0	0.0	640.55	0.0	43.33	5.88	0.0	70.96	0.008723
meta-question_id	3	30	16.67	0.0	0.0	87.8	0.038722	23.33	0.0	0.0	77.47	0.0	20.0	0.0	0.0	73.46	0.008802
meta-question_id	4	30	23.33	0.0	0.0	83.61	0.038171	33.33	0.0	0.0	583.12	0.0	33.33	0.0	0.0	108.42	0.010926
meta-question_id	5	30	36.67	0.0	0.0	94.64	0.040152	13.33	0.0	0.0	559.81	0.0	26.67	0.0	0.0	77.89	0.008737
meta-question_id	6	30	53.33	0.0	0.0	82.86	0.037634	63.33	0.0	0.0	318.56	0.0	60.0	0.0	0.0	82.84	0.008966
meta-question_id	7	30	33.33	0.0	0.0	86.86	0.039746	10.0	0.0	0.0	381.36	0.0	36.67	0.0	0.0	77.88	0.008913
meta-question_id	8	30	10.0	0.0	0.0	86.8	0.037983	13.33	0.0	0.0	494.76	0.0	10.0	0.0	0.0	73.57	0.008787
meta-question_id	9	21	19.05	0.0	0.0	54.8	0.025721	19.05	0.0	0.0	105.53	0.0	28.57	0.0	0.0	48.13	0.005985
category	harmony	60	21.67	0.0	0.0	167.79	0.074367	16.67	0.0	0.0	561.91	0.0	25.0	2.22	0.0	148.74	0.017419
category	pitch	120	27.5	0.0	0.0	339.76	0.154618	30.83	0.0	0.0	1763.54	0.0	30.83	1.2	0.0	333.95	0.037494
