Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	google_gemini-2.0-flash-lite-001
OVERALL	ALL	75	30.67	32.0
submodality	audio.mastermix.wav	25	32.0	44.0
submodality	symbolic.abc.txt	25	32.0	24.0
submodality	visual.short.png	25	28.0	28.0
piece_id	Anonymous_AusMeinesHerzensGrunde	9	11.11	33.33
piece_id	Bach_IchStehAnDeinerKrippe	6	33.33	33.33
piece_id	Crueger_AufAufMeinHerzMitFreuden	18	22.22	22.22
piece_id	Drese_JesuGehVoran	9	11.11	22.22
piece_id	Gesius_BefiehlDuDeineWege	3	33.33	33.33
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	9	66.67	66.67
piece_id	Jan_DuGrosserSchmerzensmann	3	33.33	33.33
piece_id	Telemann_DerLiebenSonneLichtUndPracht	9	66.67	44.44
piece_id	Vulpius_ChristusDerIstMeinLeben	6	0.0	0.0
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	3	33.33	33.33
is_nota_correct	0	60	25.0	23.33
is_nota_correct	1	15	53.33	66.67
meta-question_id	1	9	22.22	22.22
meta-question_id	10	6	0.0	33.33
meta-question_id	11	3	33.33	0.0
meta-question_id	2	6	16.67	16.67
meta-question_id	3	9	33.33	22.22
meta-question_id	4	6	66.67	66.67
meta-question_id	5	9	11.11	11.11
meta-question_id	6	6	66.67	66.67
meta-question_id	7	9	44.44	33.33
meta-question_id	8	6	33.33	50.0
meta-question_id	9	6	16.67	33.33
category	harmony	15	13.33	26.67
category	pitch	30	33.33	30.0
category	rhythm	30	36.67	36.67
subcategory	harmonic-recognition	15	13.33	26.67
subcategory	interval-recognition	15	46.67	40.0
subcategory	pitch-recognition	15	20.0	20.0
subcategory	proportion-recognition	15	40.0	40.0
subcategory	rhythmic-recognition	15	33.33	33.33
skill	cadence recognition	3	33.33	0.0
skill	chord recognition	6	0.0	33.33
skill	interval recognition	9	33.33	22.22
skill	interval statistics	6	66.67	66.67
skill	note length	9	11.11	11.11
skill	note length statistics	6	66.67	66.67
skill	pitch recognition	9	22.22	22.22
skill	pitch statistics	6	16.67	16.67
skill	rhythm pattern	9	44.44	33.33
skill	rhythm pattern statistics	6	33.33	50.0
skill	tonality recognition	6	16.67	33.33
rel/abs	absolute	36	22.22	27.78
rel/abs	relative	39	38.46	35.9
specification	harmony-absolute	6	0.0	33.33
specification	harmony-relative	9	22.22	22.22
specification	pitch-absolute	15	20.0	20.0
specification	pitch-relative	15	46.67	40.0
specification	rhythm-absolute	15	33.33	33.33
specification	rhythm-relative	15	40.0	40.0
