Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	Qwen_Qwen3-Omni-30B-A3B-Thinking_Accuracy_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Unparsable_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Model_Error_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Time_s	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price
OVERALL	ALL	75	40.0	0.0	0.0	220.81	0.039756	24.0	0.0	0.0	995.53	0.0	21.33	6.78	0.0	230.54	0.007811
submodality	audio.mastermix.wav	25	36.0	0.0	0.0	59.25	0.01079	36.0	0.0	0.0	185.93	0.0	16.0	4.76	0.0	72.26	0.002404
submodality	symbolic.abc.txt	25	40.0	0.0	0.0	93.31	0.013933	20.0	0.0	0.0	339.36	0.0	36.0	6.25	0.0	89.45	0.003117
submodality	visual.short.png	25	44.0	0.0	0.0	68.25	0.015033	16.0	0.0	0.0	470.24	0.0	12.0	9.09	0.0	68.82	0.00229
piece_id	Anonymous_AusMeinesHerzensGrunde	6	0.0	0.0	0.0	16.34	0.002688	0.0	0.0	0.0	196.64	0.0	16.67	0.0	0.0	15.26	0.000486
piece_id	Bach_IchStehAnDeinerKrippe	3	100.0	0.0	0.0	7.51	0.001388	33.33	0.0	0.0	22.79	0.0	66.67	0.0	0.0	8.64	0.000308
piece_id	Crueger_AufAufMeinHerzMitFreuden	18	33.33	0.0	0.0	55.46	0.009407	22.22	0.0	0.0	257.04	0.0	27.78	7.69	0.0	56.87	0.001896
piece_id	Drese_JesuGehVoran	6	16.67	0.0	0.0	15.13	0.003371	16.67	0.0	0.0	61.06	0.0	16.67	0.0	0.0	23.91	0.000847
piece_id	Gesius_BefiehlDuDeineWege	9	33.33	0.0	0.0	23.81	0.004892	33.33	0.0	0.0	64.42	0.0	22.22	14.29	0.0	25.57	0.000852
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	15	66.67	0.0	0.0	51.93	0.008358	53.33	0.0	0.0	185.54	0.0	20.0	16.67	0.0	41.08	0.001336
piece_id	Jan_DuGrosserSchmerzensmann	9	22.22	0.0	0.0	27.75	0.004933	11.11	0.0	0.0	117.52	0.0	11.11	0.0	0.0	33.27	0.00119
piece_id	Vulpius_ChristusDerIstMeinLeben	3	100.0	0.0	0.0	7.37	0.001553	0.0	0.0	0.0	29.93	0.0	33.33	0.0	0.0	5.43	0.000149
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	6	33.33	0.0	0.0	15.52	0.003166	0.0	0.0	0.0	60.6	0.0	0.0	0.0	0.0	20.51	0.000747
is_nota_correct	0	60	45.0	0.0	0.0	179.4	0.03152	18.33	0.0	0.0	681.76	0.0	18.33	8.16	0.0	185.19	0.006306
is_nota_correct	1	15	20.0	0.0	0.0	41.4	0.008236	46.67	0.0	0.0	313.77	0.0	33.33	0.0	0.0	45.35	0.001505
meta-question_id	1	9	33.33	0.0	0.0	21.9	0.004952	22.22	0.0	0.0	81.03	0.0	33.33	0.0	0.0	27.83	0.000924
meta-question_id	10	6	50.0	0.0	0.0	16.58	0.003331	33.33	0.0	0.0	52.01	0.0	33.33	25.0	0.0	19.28	0.000671
meta-question_id	11	3	0.0	0.0	0.0	17.11	0.001449	0.0	0.0	0.0	23.21	0.0	0.0	33.33	0.0	7.35	0.000237
meta-question_id	2	6	50.0	0.0	0.0	16.49	0.002681	50.0	0.0	0.0	218.39	0.0	50.0	0.0	0.0	15.52	0.00044
meta-question_id	3	9	22.22	0.0	0.0	24.01	0.005195	22.22	0.0	0.0	64.32	0.0	0.0	22.22	0.0	24.48	0.00079
meta-question_id	4	6	100.0	0.0	0.0	27.26	0.002818	83.33	0.0	0.0	112.78	0.0	50.0	0.0	0.0	14.0	0.000442
meta-question_id	5	9	55.56	0.0	0.0	23.11	0.004791	0.0	0.0	0.0	103.84	0.0	0.0	0.0	0.0	30.62	0.001058
meta-question_id	6	6	33.33	0.0	0.0	14.77	0.003206	33.33	0.0	0.0	42.3	0.0	0.0	0.0	0.0	16.81	0.000559
meta-question_id	7	9	33.33	0.0	0.0	27.07	0.005588	0.0	0.0	0.0	143.4	0.0	22.22	0.0	0.0	30.79	0.00115
meta-question_id	8	6	0.0	0.0	0.0	18.08	0.003214	0.0	0.0	0.0	99.28	0.0	16.67	0.0	0.0	24.39	0.000844
meta-question_id	9	6	50.0	0.0	0.0	14.43	0.002531	33.33	0.0	0.0	54.96	0.0	33.33	0.0	0.0	19.46	0.000697
category	harmony	15	40.0	0.0	0.0	48.12	0.00731	26.67	0.0	0.0	130.19	0.0	26.67	18.18	0.0	46.09	0.001605
category	pitch	30	46.67	0.0	0.0	89.65	0.015646	40.0	0.0	0.0	476.53	0.0	30.0	9.52	0.0	81.82	0.002596
category	rhythm	30	33.33	0.0	0.0	83.03	0.0168	6.67	0.0	0.0	388.82	0.0	10.0	0.0	0.0	102.62	0.00361
subcategory	harmonic-recognition	15	40.0	0.0	0.0	48.12	0.00731	26.67	0.0	0.0	130.19	0.0	26.67	18.18	0.0	46.09	0.001605
subcategory	interval-recognition	15	53.33	0.0	0.0	51.27	0.008013	46.67	0.0	0.0	177.1	0.0	20.0	16.67	0.0	38.48	0.001232
subcategory	pitch-recognition	15	40.0	0.0	0.0	38.38	0.007633	33.33	0.0	0.0	299.42	0.0	40.0	0.0	0.0	43.35	0.001364
subcategory	proportion-recognition	15	20.0	0.0	0.0	45.15	0.008802	0.0	0.0	0.0	242.68	0.0	20.0	0.0	0.0	55.18	0.001994
subcategory	rhythmic-recognition	15	46.67	0.0	0.0	37.88	0.007997	13.33	0.0	0.0	146.14	0.0	0.0	0.0	0.0	47.44	0.001616
skill	cadence recognition	3	0.0	0.0	0.0	17.11	0.001449	0.0	0.0	0.0	23.21	0.0	0.0	33.33	0.0	7.35	0.000237
