Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price
OVERALL	ALL	75	26.67	0.0	0.0	214.23	0.042308	22.67	10.34	0.0	224.16	0.007406
submodality	audio.mastermix.wav	25	24.0	0.0	0.0	70.98	0.010387	24.0	5.26	0.0	67.56	0.002206
submodality	symbolic.abc.txt	25	20.0	0.0	0.0	70.34	0.015618	32.0	29.41	0.0	75.75	0.002563
submodality	visual.short.png	25	36.0	0.0	0.0	72.9	0.016304	12.0	0.0	0.0	80.84	0.002637
piece_id	Anonymous_AusMeinesHerzensGrunde	6	0.0	0.0	0.0	19.4	0.003799	0.0	33.33	0.0	17.97	0.000654
piece_id	Bach_IchStehAnDeinerKrippe	24	33.33	0.0	0.0	60.38	0.012661	29.17	11.76	0.0	71.31	0.002467
piece_id	Crueger_AufAufMeinHerzMitFreuden	9	44.44	0.0	0.0	25.95	0.004779	22.22	0.0	0.0	27.44	0.000872
piece_id	Drese_JesuGehVoran	6	16.67	0.0	0.0	15.65	0.003219	33.33	0.0	0.0	24.66	0.00079
piece_id	Gesius_BefiehlDuDeineWege	6	0.0	0.0	0.0	19.4	0.004431	0.0	16.67	0.0	15.49	0.000422
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	3	66.67	0.0	0.0	11.29	0.0017	0.0	0.0	0.0	7.52	0.000243
piece_id	Jan_DuGrosserSchmerzensmann	9	22.22	0.0	0.0	28.49	0.004681	11.11	12.5	0.0	20.96	0.000666
piece_id	Telemann_DerLiebenSonneLichtUndPracht	6	0.0	0.0	0.0	17.77	0.003488	33.33	0.0	0.0	18.34	0.000527
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	6	50.0	0.0	0.0	15.9	0.00355	50.0	0.0	0.0	20.47	0.000765
is_nota_correct	0	60	25.0	0.0	0.0	170.14	0.034031	16.67	10.0	0.0	174.24	0.005659
is_nota_correct	1	15	33.33	0.0	0.0	44.09	0.008278	46.67	12.5	0.0	49.92	0.001747
meta-question_id	1	9	22.22	0.0	0.0	25.24	0.005147	33.33	0.0	0.0	26.12	0.000834
meta-question_id	10	6	16.67	0.0	0.0	15.48	0.002782	0.0	16.67	0.0	14.92	0.00053
meta-question_id	11	3	0.0	0.0	0.0	9.52	0.001825	0.0	0.0	0.0	5.63	0.000187
meta-question_id	2	6	16.67	0.0	0.0	19.84	0.003119	33.33	0.0	0.0	20.06	0.000587
meta-question_id	3	9	44.44	0.0	0.0	27.45	0.005743	44.44	0.0	0.0	24.13	0.00083
meta-question_id	4	6	33.33	0.0	0.0	18.88	0.004077	16.67	40.0	0.0	17.09	0.000469
meta-question_id	5	9	44.44	0.0	0.0	25.66	0.004904	22.22	0.0	0.0	25.43	0.000849
meta-question_id	6	6	33.33	0.0	0.0	15.62	0.003577	0.0	16.67	0.0	17.07	0.000609
meta-question_id	7	9	11.11	0.0	0.0	26.13	0.005389	33.33	33.33	0.0	35.31	0.001192
meta-question_id	8	6	0.0	0.0	0.0	16.08	0.003206	33.33	0.0	0.0	20.53	0.000717
meta-question_id	9	6	50.0	0.0	0.0	14.32	0.002542	0.0	0.0	0.0	17.87	0.000602
category	harmony	15	26.67	0.0	0.0	39.33	0.007148	0.0	6.67	0.0	38.42	0.001319
category	pitch	30	30.0	0.0	0.0	91.41	0.018085	33.33	10.0	0.0	87.4	0.00272
category	rhythm	30	23.33	0.0	0.0	83.49	0.017075	23.33	13.04	0.0	98.34	0.003367
subcategory	harmonic-recognition	15	26.67	0.0	0.0	39.33	0.007148	0.0	6.67	0.0	38.42	0.001319
subcategory	interval-recognition	15	40.0	0.0	0.0	46.33	0.00982	33.33	20.0	0.0	41.22	0.001299
subcategory	pitch-recognition	15	20.0	0.0	0.0	45.08	0.008265	33.33	0.0	0.0	46.18	0.001421
subcategory	proportion-recognition	15	6.67	0.0	0.0	42.21	0.008594	33.33	20.0	0.0	55.84	0.001909
subcategory	rhythmic-recognition	15	40.0	0.0	0.0	41.28	0.008481	13.33	7.69	0.0	42.5	0.001458
skill	cadence recognition	3	0.0	0.0	0.0	9.52	0.001825	0.0	0.0	0.0	5.63	0.000187
skill	chord recognition	6	16.67	0.0	0.0	15.48	0.002782	0.0	16.67	0.0	14.92	0.00053
skill	interval recognition	9	44.44	0.0	0.0	27.45	0.005743	44.44	0.0	0.0	24.13	0.00083
skill	interval statistics	6	33.33	0.0	0.0	18.88	0.004077	16.67	40.0	0.0	17.09	0.000469
skill	note length	9	44.44	0.0	0.0	25.66	0.004904	22.22	0.0	0.0	25.43	0.000849
skill	note length statistics	6	33.33	0.0	0.0	15.62	0.003577	0.0	16.67	0.0	17.07	0.000609
skill	pitch recognition	9	22.22	0.0	0.0	25.24	0.005147	33.33	0.0	0.0	26.12	0.000834
skill	pitch statistics	6	16.67	0.0	0.0	19.84	0.003119	33.33	0.0	0.0	20.06	0.000587
skill	rhythm pattern	9	11.11	0.0	0.0	26.13	0.005389	33.33	33.33	0.0	35.31	0.001192
skill	rhythm pattern statistics	6	0.0	0.0	0.0	16.08	0.003206	33.33	0.0	0.0	20.53	0.000717
skill	tonality recognition	6	50.0	0.0	0.0	14.32	0.002542	0.0	0.0	0.0	17.87	0.000602
