Criterion_Type	Criterion_Value	google_gemini-2.0-flash-lite-001_Mean_Accuracy_(10_runs)	google_gemini-2.0-flash-lite-001_Mean_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Mean_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Sum_Total_Time_s	google_gemini-2.0-flash-lite-001_Sum_Total_Price	google_gemini-3.1-flash-lite-preview_Mean_Accuracy_(10_runs)	google_gemini-3.1-flash-lite-preview_Mean_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Mean_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Sum_Total_Time_s	google_gemini-3.1-flash-lite-preview_Sum_Total_Price	aggregate-mistral_Mean_Accuracy_(10_runs)	aggregate-mistral_Mean_Unparsable_Percent	aggregate-mistral_Mean_Model_Error_Percent	aggregate-mistral_Sum_Total_Time_s	aggregate-mistral_Sum_Total_Price
OVERALL	ALL	35.279	0.102	0.0	24148.07	1.0548	45.268	0.0	0.0	25710.21	7.4255	32.24	4.261	0.249	71796.42	12.1429
submodality	audio.mastermix.wav	29.12	0.165	0.0	9885.26	0.2594	33.28	0.0	0.0	7939.54	1.7931	27.8	0.384	0.703	21026.44	10.617
submodality	symbolic.abc.txt	43.2	0.077	0.0	8242.8	0.458	59.72	0.0	0.0	8811.42	2.9151	42.04	0.0	0.0	17566.24	0.6207
submodality	visual.short.png	33.52	0.06	0.0	6020.01	0.3373	42.8	0.0	0.0	8959.26	2.7173	26.88	11.402	0.0	33203.77	0.9051
piece_id	Anonymous_AusMeinesHerzensGrunde	33.311	0.0	0.0	2801.11	0.1302	40.545	0.0	0.0	2899.84	0.8858	29.621	3.701	0.641	10828.15	1.8296
piece_id	Bach_IchStehAnDeinerKrippe	32.866	0.335	0.0	2442.5	0.1063	39.937	0.0	0.0	2676.36	0.768	30.864	4.457	0.0	6480.47	1.2851
piece_id	Crueger_AufAufMeinHerzMitFreuden	31.148	0.0	0.0	2852.67	0.1344	42.433	0.0	0.0	3093.91	0.9141	30.23	3.051	0.156	7890.77	1.6139
piece_id	Drese_JesuGehVoran	37.645	0.0	0.0	2020.31	0.0793	46.472	0.0	0.0	2079.71	0.5815	31.878	4.178	0.0	4354.71	0.797
piece_id	Gesius_BefiehlDuDeineWege	35.616	0.2	0.0	2472.02	0.1062	47.394	0.0	0.0	2711.31	0.7975	31.969	4.188	0.0	7642.86	1.4046
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	35.667	0.0	0.0	2231.44	0.0993	49.195	0.0	0.0	2305.67	0.6684	29.775	5.312	0.363	7276.96	0.9885
piece_id	Jan_DuGrosserSchmerzensmann	30.743	0.0	0.0	2562.52	0.1179	40.612	0.0	0.0	2668.03	0.7688	27.58	3.811	0.0	6781.7	1.2274
piece_id	Telemann_DerLiebenSonneLichtUndPracht	42.343	0.0	0.0	2467.55	0.1098	52.714	0.0	0.0	2609.9	0.7949	42.747	6.84	0.534	8030.67	1.6656
piece_id	Vulpius_ChristusDerIstMeinLeben	37.658	0.645	0.0	2148.59	0.0861	50.375	0.0	0.0	2362.83	0.6301	34.518	5.108	0.518	6378.22	0.7913
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	36.46	0.0	0.0	2149.34	0.0853	45.187	0.0	0.0	2302.68	0.6166	33.031	2.843	0.139	6131.98	0.5399
is_nota_correct	0	37.018	0.104	0.0	19204.89	0.8371	44.817	0.0	0.0	20480.04	5.898	31.516	4.338	0.262	59824.25	9.8373
is_nota_correct	1	28.334	0.096	0.0	4943.17	0.2177	47.067	0.0	0.0	5230.17	1.5275	35.135	4.03	0.198	11972.16	2.3056
meta-question_id	1	30.132	0.0	0.0	2367.19	0.1048	36.8	0.0	0.0	2513.36	0.7544	26.266	0.515	0.34	6798.76	1.2107
meta-question_id	10	37.451	0.0	0.0	1581.38	0.0687	46.47	0.0	0.0	1753.26	0.4867	33.727	5.752	0.0	4100.54	0.8314
meta-question_id	11	24.167	0.0	0.0	1516.15	0.0655	26.042	0.0	0.0	1660.68	0.4647	24.168	5.878	0.0	3786.0	0.7564
meta-question_id	2	32.267	0.0	0.0	2249.89	0.0983	49.066	0.0	0.0	2579.89	0.7501	29.334	3.726	0.0	8132.58	1.2859
meta-question_id	3	27.2	0.182	0.0	2591.57	0.1146	35.867	0.0	0.0	2757.11	0.8235	22.668	4.2	0.169	7108.54	1.1821
meta-question_id	4	42.401	0.652	0.0	2699.18	0.1196	53.866	0.0	0.0	2841.7	0.854	32.0	4.673	0.364	9857.64	1.3026
meta-question_id	5	37.868	0.208	0.0	2373.72	0.0975	61.867	0.0	0.0	2536.79	0.7394	48.001	8.07	0.811	6279.18	1.151
meta-question_id	6	55.2	0.0	0.0	2619.42	0.1153	51.867	0.0	0.0	2584.47	0.7494	43.2	6.07	0.0	7671.21	1.2376
meta-question_id	7	36.401	0.0	0.0	2556.63	0.1142	46.268	0.0	0.0	2528.87	0.7625	39.333	7.08	0.222	6846.1	1.1991
meta-question_id	8	16.8	0.0	0.0	2360.1	0.107	22.267	0.0	0.0	2581.11	0.7126	15.598	1.588	0.636	7594.1	1.2174
meta-question_id	9	49.412	0.0	0.0	1232.78	0.0493	68.433	0.0	0.0	1373.05	0.3283	40.589	1.599	0.0	3621.73	0.7686
category	harmony	37.268	0.0	0.0	4330.33	0.1835	47.4	0.0	0.0	4786.98	1.2797	33.0	4.496	0.0	11508.26	2.3564
category	pitch	33.0	0.195	0.0	9907.84	0.4374	43.9	0.0	0.0	10692.03	3.1819	27.568	3.242	0.215	31897.52	4.9813
category	rhythm	36.565	0.054	0.0	9909.89	0.434	45.568	0.0	0.0	10231.22	2.964	36.533	5.292	0.412	28390.63	4.8052
subcategory	harmonic-recognition	37.268	0.0	0.0	4330.33	0.1835	47.4	0.0	0.0	4786.98	1.2797	33.0	4.496	0.0	11508.26	2.3564
subcategory	interval-recognition	34.801	0.399	0.0	5290.74	0.2342	44.866	0.0	0.0	5598.8	1.6775	27.333	4.369	0.258	16966.22	2.4847
subcategory	pitch-recognition	31.201	0.0	0.0	4617.1	0.2032	42.935	0.0	0.0	5093.24	1.5044	27.8	2.099	0.17	14931.3	2.4966
subcategory	proportion-recognition	26.602	0.0	0.0	4916.74	0.2212	34.267	0.0	0.0	5109.96	1.4751	27.468	3.894	0.456	14440.23	2.4166
subcategory	rhythmic-recognition	46.533	0.13	0.0	4993.16	0.2128	56.865	0.0	0.0	5121.24	1.4889	45.6	7.134	0.361	13950.41	2.3886
skill	cadence recognition	24.167	0.0	0.0	1516.15	0.0655	26.042	0.0	0.0	1660.68	0.4647	24.168	5.878	0.0	3786.0	0.7564
skill	chord recognition	37.451	0.0	0.0	1581.38	0.0687	46.47	0.0	0.0	1753.26	0.4867	33.727	5.752	0.0	4100.54	0.8314
skill	interval recognition	27.2	0.182	0.0	2591.57	0.1146	35.867	0.0	0.0	2757.11	0.8235	22.668	4.2	0.169	7108.54	1.1821
skill	interval statistics	42.401	0.652	0.0	2699.18	0.1196	53.866	0.0	0.0	2841.7	0.854	32.0	4.673	0.364	9857.64	1.3026
