Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price	Qwen_Qwen3-Omni-30B-A3B-Thinking_Accuracy_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Unparsable_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Model_Error_Percent	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Time_s	Qwen_Qwen3-Omni-30B-A3B-Thinking_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price
OVERALL	ALL	750	45.47	0.0	0.0	2535.13	0.737177	32.8	6.55	0.0	6238.71	1.178106	39.6	0.0	0.0	16318.71	0.0	36.0	0.0	0.0	2397.19	0.106178
submodality	audio.mastermix.wav	250	34.4	0.0	0.0	778.98	0.177651	29.6	0.57	0.0	2508.33	1.063429	29.2	0.0	0.0	3376.22	0.0	31.6	0.0	0.0	980.27	0.025946
submodality	symbolic.abc.txt	250	58.0	0.0	0.0	856.41	0.286781	42.0	0.0	0.0	1664.12	0.055914	56.4	0.0	0.0	8520.86	0.0	42.0	0.0	0.0	835.95	0.046827
submodality	visual.short.png	250	44.0	0.0	0.0	899.74	0.272745	26.8	17.49	0.0	2066.26	0.058764	33.2	0.0	0.0	4421.63	0.0	34.4	0.0	0.0	580.97	0.033406
piece_id	Anonymous_AusMeinesHerzensGrunde	78	32.05	0.0	0.0	274.89	0.08446	21.79	4.92	0.0	521.3	0.16117	41.03	0.0	0.0	1938.64	0.0	26.92	0.0	0.0	261.9	0.012577
piece_id	Bach_IchStehAnDeinerKrippe	75	33.33	0.0	0.0	262.88	0.075476	26.67	10.91	0.0	539.03	0.122211	28.0	0.0	0.0	1648.57	0.0	29.33	0.0	0.0	262.06	0.011313
piece_id	Crueger_AufAufMeinHerzMitFreuden	81	53.09	0.0	0.0	277.67	0.082749	32.1	7.27	0.0	1093.35	0.162071	43.21	0.0	0.0	1752.43	0.0	29.63	0.0	0.0	238.36	0.011687
piece_id	Drese_JesuGehVoran	81	48.15	0.0	0.0	267.75	0.077685	39.51	6.12	0.0	478.99	0.100289	37.04	0.0	0.0	1472.6	0.0	38.27	0.0	0.0	249.2	0.010427
piece_id	Gesius_BefiehlDuDeineWege	72	43.06	0.0	0.0	249.09	0.074768	29.17	3.92	0.0	904.22	0.139557	40.28	0.0	0.0	1278.05	0.0	34.72	0.0	0.0	226.69	0.009898
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	75	54.67	0.0	0.0	235.71	0.069166	40.0	4.44	0.0	579.8	0.100337	38.67	0.0	0.0	1717.67	0.0	48.0	0.0	0.0	221.16	0.009745
piece_id	Jan_DuGrosserSchmerzensmann	75	42.67	0.0	0.0	265.34	0.074692	21.33	8.47	0.0	511.08	0.115354	29.33	0.0	0.0	2048.01	0.0	30.67	0.0	0.0	235.26	0.01136
piece_id	Telemann_DerLiebenSonneLichtUndPracht	69	53.62	0.0	0.0	242.33	0.072479	50.72	8.82	0.0	703.27	0.150109	42.03	0.0	0.0	1484.92	0.0	53.62	0.0	0.0	246.2	0.010416
piece_id	Vulpius_ChristusDerIstMeinLeben	72	45.83	0.0	0.0	235.44	0.06376	31.94	6.12	0.0	344.38	0.072292	45.83	0.0	0.0	1409.73	0.0	37.5	0.0	0.0	202.34	0.008151
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	72	48.61	0.0	0.0	224.04	0.061941	36.11	4.35	0.0	563.31	0.054717	51.39	0.0	0.0	1568.1	0.0	33.33	0.0	0.0	254.02	0.010603
is_nota_correct	0	600	44.0	0.0	0.0	2035.93	0.583008	32.5	7.41	0.0	4913.45	0.969738	38.33	0.0	0.0	12463.94	0.0	38.17	0.0	0.0	1912.28	0.083846
is_nota_correct	1	150	51.33	0.0	0.0	499.21	0.154169	34.0	3.03	0.0	1325.26	0.208368	44.67	0.0	0.0	3854.77	0.0	27.33	0.0	0.0	484.91	0.022332
meta-question_id	1	75	41.33	0.0	0.0	265.8	0.081005	28.0	0.0	0.0	1052.86	0.140495	36.0	0.0	0.0	1561.3	0.0	25.33	0.0	0.0	241.45	0.010795
meta-question_id	10	51	33.33	0.0	0.0	162.63	0.047338	25.49	10.53	0.0	378.94	0.084729	23.53	0.0	0.0	1238.0	0.0	29.41	0.0	0.0	146.54	0.006544
meta-question_id	11	48	29.17	0.0	0.0	154.46	0.046561	22.92	8.11	0.0	293.73	0.077054	29.17	0.0	0.0	977.56	0.0	25.0	0.0	0.0	150.75	0.006938
meta-question_id	2	75	50.67	0.0	0.0	263.97	0.077885	25.33	3.57	0.0	544.07	0.120681	41.33	0.0	0.0	810.84	0.0	30.67	0.0	0.0	222.58	0.01018
meta-question_id	3	75	40.0	0.0	0.0	267.4	0.078866	22.67	3.45	0.0	371.7	0.101743	34.67	0.0	0.0	1840.95	0.0	25.33	0.0	0.0	253.59	0.01183
meta-question_id	4	75	61.33	0.0	0.0	287.67	0.08335	42.67	13.95	0.0	953.58	0.124013	44.0	0.0	0.0	2908.21	0.0	49.33	0.0	0.0	286.19	0.011637
meta-question_id	5	75	52.0	0.0	0.0	250.91	0.071184	50.67	10.81	0.0	587.8	0.105069	46.67	0.0	0.0	1578.33	0.0	34.67	0.0	0.0	215.03	0.009168
meta-question_id	6	75	50.67	0.0	0.0	258.44	0.075994	40.0	8.89	0.0	447.25	0.112506	61.33	0.0	0.0	1561.16	0.0	53.33	0.0	0.0	276.79	0.012947
meta-question_id	7	75	41.33	0.0	0.0	238.02	0.072587	44.0	11.9	0.0	676.27	0.11651	37.33	0.0	0.0	1840.92	0.0	36.0	0.0	0.0	240.41	0.010651
meta-question_id	8	75	26.67	0.0	0.0	257.57	0.069771	13.33	3.08	0.0	632.35	0.120754	21.33	0.0	0.0	1701.04	0.0	21.33	0.0	0.0	236.95	0.010466
