Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_normal	google_gemini-3.1-flash-lite-preview_text-only	google_gemini-3.1-flash-lite-preview_white-noise	aggregate-mistral_normal	Qwen_Qwen3-Omni-30B-A3B-Thinking_normal	google_gemini-2.0-flash-lite-001_normal	google_gemini-2.0-flash-lite-001_text-only	google_gemini-2.0-flash-lite-001_white-noise
OVERALL	ALL	750	46.67	32.13	28.27	28.4	39.73	35.2	24.93	27.73
submodality	audio.mastermix.wav	250	38.4	30.8	32.0	23.6	34.0	29.6	24.8	31.6
submodality	symbolic.abc.txt	250	57.6	31.2	28.8	37.6	56.8	41.6	23.2	26.4
submodality	visual.short.png	250	44.0	34.4	24.0	24.0	28.4	34.4	26.8	25.2
piece_id	Anonymous_AusMeinesHerzensGrunde	84	35.71	25.0	22.62	22.62	35.71	30.95	23.81	25.0
piece_id	Bach_IchStehAnDeinerKrippe	66	42.42	37.88	37.88	33.33	37.88	40.91	28.79	33.33
piece_id	Crueger_AufAufMeinHerzMitFreuden	84	36.9	27.38	22.62	23.81	32.14	32.14	17.86	29.76
piece_id	Drese_JesuGehVoran	63	42.86	28.57	33.33	23.81	38.1	38.1	30.16	26.98
piece_id	Gesius_BefiehlDuDeineWege	81	48.15	24.69	24.69	35.8	38.27	35.8	24.69	29.63
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	90	46.67	36.67	28.89	21.11	41.11	28.89	18.89	22.22
piece_id	Jan_DuGrosserSchmerzensmann	72	54.17	33.33	26.39	25.0	38.89	34.72	26.39	31.94
piece_id	Telemann_DerLiebenSonneLichtUndPracht	66	65.15	53.03	42.42	51.52	56.06	45.45	30.3	25.76
piece_id	Vulpius_ChristusDerIstMeinLeben	81	44.44	20.99	20.99	18.52	34.57	27.16	22.22	20.99
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	63	55.56	39.68	28.57	34.92	49.21	44.44	31.75	34.92
is_nota_correct	0	600	47.17	36.5	25.83	27.5	37.83	38.5	21.33	21.17
is_nota_correct	1	150	44.67	14.67	38.0	32.0	47.33	22.0	39.33	54.0
meta-question_id	1	75	38.67	26.67	24.0	17.33	36.0	28.0	26.67	25.33
meta-question_id	10	51	49.02	35.29	33.33	27.45	43.14	43.14	17.65	23.53
meta-question_id	11	48	31.25	20.83	22.92	25.0	20.83	39.58	20.83	27.08
meta-question_id	2	75	53.33	25.33	29.33	25.33	40.0	25.33	22.67	34.67
meta-question_id	3	75	30.67	41.33	29.33	14.67	26.67	25.33	17.33	20.0
meta-question_id	4	75	45.33	41.33	37.33	25.33	41.33	38.67	24.0	29.33
meta-question_id	5	75	66.67	38.67	26.67	50.67	52.0	41.33	28.0	24.0
meta-question_id	6	75	52.0	37.33	37.33	38.67	40.0	46.67	41.33	50.67
meta-question_id	7	75	46.67	34.67	26.67	29.33	52.0	38.67	28.0	25.33
meta-question_id	8	75	28.0	12.0	12.0	17.33	22.67	22.67	16.0	17.33
meta-question_id	9	51	76.47	39.22	33.33	45.1	64.71	45.1	29.41	25.49
category	harmony	150	52.67	32.0	30.0	32.67	43.33	42.67	22.67	25.33
category	pitch	300	42.0	33.67	30.0	20.67	36.0	29.33	22.67	27.33
category	rhythm	300	48.33	30.67	25.67	34.0	41.67	37.33	28.33	29.33
subcategory	harmonic-recognition	150	52.67	32.0	30.0	32.67	43.33	42.67	22.67	25.33
subcategory	interval-recognition	150	38.0	41.33	33.33	20.0	34.0	32.0	20.67	24.67
subcategory	pitch-recognition	150	46.0	26.0	26.67	21.33	38.0	26.67	24.67	30.0
subcategory	proportion-recognition	150	37.33	23.33	19.33	23.33	37.33	30.67	22.0	21.33
subcategory	rhythmic-recognition	150	59.33	38.0	32.0	44.67	46.0	44.0	34.67	37.33
skill	cadence recognition	48	31.25	20.83	22.92	25.0	20.83	39.58	20.83	27.08
skill	chord recognition	51	49.02	35.29	33.33	27.45	43.14	43.14	17.65	23.53
skill	interval recognition	75	30.67	41.33	29.33	14.67	26.67	25.33	17.33	20.0
skill	interval statistics	75	45.33	41.33	37.33	25.33	41.33	38.67	24.0	29.33
skill	note length	75	66.67	38.67	26.67	50.67	52.0	41.33	28.0	24.0
skill	note length statistics	75	52.0	37.33	37.33	38.67	40.0	46.67	41.33	50.67
skill	pitch recognition	75	38.67	26.67	24.0	17.33	36.0	28.0	26.67	25.33
skill	pitch statistics	75	53.33	25.33	29.33	25.33	40.0	25.33	22.67	34.67
skill	rhythm pattern	75	46.67	34.67	26.67	29.33	52.0	38.67	28.0	25.33
skill	rhythm pattern statistics	75	28.0	12.0	12.0	17.33	22.67	22.67	16.0	17.33
skill	tonality recognition	51	76.47	39.22	33.33	45.1	64.71	45.1	29.41	25.49
rel/abs	absolute	351	52.14	32.48	29.91	32.19	42.17	36.47	27.92	32.19
rel/abs	relative	399	41.85	31.83	26.82	25.06	37.59	34.09	22.31	23.81
specification	harmony-absolute	51	49.02	35.29	33.33	27.45	43.14	43.14	17.65	23.53
specification	harmony-relative	99	54.55	30.3	28.28	35.35	43.43	42.42	25.25	26.26
specification	pitch-absolute	150	46.0	26.0	26.67	21.33	38.0	26.67	24.67	30.0
specification	pitch-relative	150	38.0	41.33	33.33	20.0	34.0	32.0	20.67	24.67
specification	rhythm-absolute	150	59.33	38.0	32.0	44.67	46.0	44.0	34.67	37.33
specification	rhythm-relative	150	37.33	23.33	19.33	23.33	37.33	30.67	22.0	21.33
