Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	aggregate-mistral	Qwen_Qwen3-Omni-30B-A3B-Thinking	google_gemini-2.0-flash-lite-001
OVERALL	ALL	750	44.13	30.67	39.87	35.73
submodality	audio.mastermix.wav	250	32.8	27.6	31.2	29.2
submodality	symbolic.abc.txt	250	58.4	39.6	60.8	44.0
submodality	visual.short.png	250	41.2	24.8	27.6	34.0
piece_id	Anonymous_AusMeinesHerzensGrunde	102	40.2	36.27	47.06	39.22
piece_id	Bach_IchStehAnDeinerKrippe	66	37.88	27.27	36.36	27.27
piece_id	Crueger_AufAufMeinHerzMitFreuden	90	36.67	30.0	42.22	26.67
piece_id	Drese_JesuGehVoran	66	53.03	40.91	39.39	40.91
piece_id	Gesius_BefiehlDuDeineWege	72	47.22	20.83	29.17	41.67
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	63	58.73	28.57	42.86	39.68
piece_id	Jan_DuGrosserSchmerzensmann	78	34.62	20.51	28.21	25.64
piece_id	Telemann_DerLiebenSonneLichtUndPracht	96	51.04	38.54	43.75	46.88
piece_id	Vulpius_ChristusDerIstMeinLeben	54	46.3	33.33	48.15	33.33
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	63	39.68	26.98	39.68	33.33
is_nota_correct	0	600	43.17	29.67	37.5	36.67
is_nota_correct	1	150	48.0	34.67	49.33	32.0
meta-question_id	1	75	33.33	24.0	30.67	41.33
meta-question_id	10	51	50.98	41.18	31.37	47.06
meta-question_id	11	48	25.0	22.92	16.67	12.5
meta-question_id	2	75	46.67	24.0	48.0	30.67
meta-question_id	3	75	34.67	26.67	40.0	21.33
meta-question_id	4	75	52.0	33.33	41.33	48.0
meta-question_id	5	75	57.33	44.0	49.33	36.0
meta-question_id	6	75	56.0	37.33	61.33	58.67
meta-question_id	7	75	46.67	40.0	42.67	42.67
meta-question_id	8	75	18.67	12.0	20.0	13.33
meta-question_id	9	51	66.67	33.33	49.02	37.25
category	harmony	150	48.0	32.67	32.67	32.67
category	pitch	300	41.67	27.0	40.0	35.33
category	rhythm	300	44.67	33.33	43.33	37.67
subcategory	harmonic-recognition	150	48.0	32.67	32.67	32.67
subcategory	interval-recognition	150	43.33	30.0	40.67	34.67
subcategory	pitch-recognition	150	40.0	24.0	39.33	36.0
subcategory	proportion-recognition	150	32.67	26.0	31.33	28.0
subcategory	rhythmic-recognition	150	56.67	40.67	55.33	47.33
skill	cadence recognition	48	25.0	22.92	16.67	12.5
skill	chord recognition	51	50.98	41.18	31.37	47.06
skill	interval recognition	75	34.67	26.67	40.0	21.33
skill	interval statistics	75	52.0	33.33	41.33	48.0
skill	note length	75	57.33	44.0	49.33	36.0
skill	note length statistics	75	56.0	37.33	61.33	58.67
skill	pitch recognition	75	33.33	24.0	30.67	41.33
skill	pitch statistics	75	46.67	24.0	48.0	30.67
skill	rhythm pattern	75	46.67	40.0	42.67	42.67
skill	rhythm pattern statistics	75	18.67	12.0	20.0	13.33
skill	tonality recognition	51	66.67	33.33	49.02	37.25
rel/abs	absolute	351	48.72	33.62	45.01	42.45
rel/abs	relative	399	40.1	28.07	35.34	29.82
specification	harmony-absolute	51	50.98	41.18	31.37	47.06
specification	harmony-relative	99	46.46	28.28	33.33	25.25
specification	pitch-absolute	150	40.0	24.0	39.33	36.0
specification	pitch-relative	150	43.33	30.0	40.67	34.67
specification	rhythm-absolute	150	56.67	40.67	55.33	47.33
specification	rhythm-relative	150	32.67	26.0	31.33	28.0
