Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview	aggregate-mistral	google_gemini-2.0-flash-lite-001
OVERALL	ALL	750	45.07	34.27	34.53
submodality	audio.mastermix.wav	250	32.0	29.2	28.0
submodality	symbolic.abc.txt	250	58.8	44.0	42.0
submodality	visual.short.png	250	44.4	29.6	33.6
piece_id	Anonymous_AusMeinesHerzensGrunde	78	43.59	20.51	33.33
piece_id	Bach_IchStehAnDeinerKrippe	66	42.42	33.33	24.24
piece_id	Crueger_AufAufMeinHerzMitFreuden	93	40.86	32.26	32.26
piece_id	Drese_JesuGehVoran	60	35.0	25.0	21.67
piece_id	Gesius_BefiehlDuDeineWege	96	53.12	43.75	48.96
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	66	37.88	21.21	18.18
piece_id	Jan_DuGrosserSchmerzensmann	75	48.0	37.33	41.33
piece_id	Telemann_DerLiebenSonneLichtUndPracht	63	53.97	41.27	36.51
piece_id	Vulpius_ChristusDerIstMeinLeben	84	50.0	39.29	44.05
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	69	42.03	44.93	34.78
is_nota_correct	0	600	45.5	34.33	36.17
is_nota_correct	1	150	43.33	34.0	28.0
meta-question_id	1	75	37.33	25.33	30.67
meta-question_id	10	51	39.22	39.22	27.45
meta-question_id	11	48	25.0	35.42	31.25
meta-question_id	2	75	52.0	38.67	34.67
meta-question_id	3	75	36.0	25.33	18.67
meta-question_id	4	75	46.67	29.33	40.0
meta-question_id	5	75	72.0	57.33	26.67
meta-question_id	6	75	48.0	34.67	60.0
meta-question_id	7	75	42.67	32.0	29.33
meta-question_id	8	75	24.0	21.33	28.0
meta-question_id	9	51	72.55	43.14	56.86
category	harmony	150	46.0	39.33	38.67
category	pitch	300	43.0	29.67	31.0
category	rhythm	300	46.67	36.33	36.0
subcategory	harmonic-recognition	150	46.0	39.33	38.67
subcategory	interval-recognition	150	41.33	27.33	29.33
subcategory	pitch-recognition	150	44.67	32.0	32.67
subcategory	proportion-recognition	150	33.33	26.67	28.67
subcategory	rhythmic-recognition	150	60.0	46.0	43.33
skill	cadence recognition	48	25.0	35.42	31.25
skill	chord recognition	51	39.22	39.22	27.45
skill	interval recognition	75	36.0	25.33	18.67
skill	interval statistics	75	46.67	29.33	40.0
skill	note length	75	72.0	57.33	26.67
skill	note length statistics	75	48.0	34.67	60.0
skill	pitch recognition	75	37.33	25.33	30.67
skill	pitch statistics	75	52.0	38.67	34.67
skill	rhythm pattern	75	42.67	32.0	29.33
skill	rhythm pattern statistics	75	24.0	21.33	28.0
skill	tonality recognition	51	72.55	43.14	56.86
rel/abs	absolute	351	50.43	39.03	36.47
rel/abs	relative	399	40.35	30.08	32.83
specification	harmony-absolute	51	39.22	39.22	27.45
specification	harmony-relative	99	49.49	39.39	44.44
specification	pitch-absolute	150	44.67	32.0	32.67
specification	pitch-relative	150	41.33	27.33	29.33
specification	rhythm-absolute	150	60.0	46.0	43.33
specification	rhythm-relative	150	33.33	26.67	28.67
