Criterion_Type	Criterion_Value	Total_Items	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price
OVERALL	ALL	750	43.47	0.0	0.0	2662.4	0.750075	32.53	6.32	0.0	6490.82	1.228585	30.67	0.19	0.0	2463.82	0.106098
submodality	audio.mastermix.wav	250	30.8	0.0	0.0	826.33	0.181174	30.8	0.58	0.0	895.74	1.070116	28.4	0.56	0.0	1002.31	0.026036
submodality	symbolic.abc.txt	250	59.2	0.0	0.0	903.11	0.294222	42.4	0.0	0.0	1474.43	0.051496	36.0	0.0	0.0	830.84	0.045492
submodality	visual.short.png	250	40.4	0.0	0.0	932.96	0.274678	24.4	16.4	0.0	4120.65	0.106973	27.6	0.0	0.0	630.66	0.03457
piece_id	Anonymous_AusMeinesHerzensGrunde	72	43.06	0.0	0.0	258.07	0.080653	37.5	11.11	0.0	1181.9	0.176484	20.83	0.0	0.0	248.55	0.011354
piece_id	Bach_IchStehAnDeinerKrippe	105	50.48	0.0	0.0	384.98	0.102486	33.33	4.29	0.0	959.34	0.180736	29.52	1.35	0.0	331.22	0.014396
piece_id	Crueger_AufAufMeinHerzMitFreuden	111	37.84	0.0	0.0	423.62	0.119947	27.93	7.5	0.0	725.1	0.202038	33.33	0.0	0.0	399.63	0.018002
piece_id	Drese_JesuGehVoran	45	46.67	0.0	0.0	149.87	0.04292	28.89	6.25	0.0	328.28	0.058107	26.67	0.0	0.0	134.97	0.005433
piece_id	Gesius_BefiehlDuDeineWege	75	30.67	0.0	0.0	279.63	0.0774	32.0	3.92	0.0	396.94	0.12426	29.33	0.0	0.0	231.51	0.010033
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	57	49.12	0.0	0.0	184.15	0.053941	24.56	11.63	0.0	842.77	0.086357	36.84	0.0	0.0	176.68	0.00746
piece_id	Jan_DuGrosserSchmerzensmann	93	37.63	0.0	0.0	325.18	0.092525	26.88	4.41	0.0	518.32	0.141733	25.81	0.0	0.0	333.35	0.015292
piece_id	Telemann_DerLiebenSonneLichtUndPracht	66	45.45	0.0	0.0	239.55	0.0701	39.39	7.5	0.0	668.34	0.148624	33.33	0.0	0.0	216.93	0.009304
piece_id	Vulpius_ChristusDerIstMeinLeben	57	59.65	0.0	0.0	187.16	0.051591	45.61	9.68	0.0	555.53	0.064751	36.84	0.0	0.0	158.84	0.006317
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	69	42.03	0.0	0.0	230.17	0.058511	33.33	0.0	0.0	314.3	0.045496	36.23	0.0	0.0	232.15	0.008507
is_nota_correct	0	600	42.5	0.0	0.0	2110.28	0.59069	30.5	5.04	0.0	5073.33	0.978223	31.83	0.24	0.0	1940.4	0.0835
is_nota_correct	1	150	47.33	0.0	0.0	552.11	0.159384	40.67	12.36	0.0	1417.49	0.250362	26.0	0.0	0.0	523.42	0.022598
meta-question_id	1	75	42.67	0.0	0.0	269.08	0.078373	33.33	0.0	0.0	217.33	0.113719	25.33	0.0	0.0	250.91	0.010047
meta-question_id	10	51	37.25	0.0	0.0	193.29	0.048242	41.18	6.67	0.0	485.88	0.079541	31.37	0.0	0.0	154.9	0.006655
meta-question_id	11	48	25.0	0.0	0.0	181.94	0.047112	33.33	12.5	0.0	495.34	0.080902	22.92	0.0	0.0	155.52	0.006464
meta-question_id	2	75	50.67	0.0	0.0	258.98	0.077268	33.33	0.0	0.0	258.46	0.115557	36.0	0.0	0.0	209.15	0.009456
meta-question_id	3	75	29.33	0.0	0.0	279.79	0.081816	22.67	3.45	0.0	745.12	0.117859	26.67	1.82	0.0	274.62	0.011908
meta-question_id	4	75	57.33	0.0	0.0	284.26	0.087458	29.33	7.55	0.0	786.26	0.131272	30.67	0.0	0.0	265.9	0.012495
meta-question_id	5	75	62.67	0.0	0.0	256.93	0.074425	38.67	13.04	0.0	790.08	0.11874	38.67	0.0	0.0	229.88	0.009437
meta-question_id	6	75	41.33	0.0	0.0	257.89	0.077108	36.0	10.42	0.0	1008.12	0.135275	42.67	0.0	0.0	269.29	0.011514
meta-question_id	7	75	40.0	0.0	0.0	261.82	0.072458	40.0	11.11	0.0	615.24	0.12377	24.0	0.0	0.0	298.89	0.012247
meta-question_id	8	75	24.0	0.0	0.0	274.61	0.072897	17.33	4.84	0.0	715.68	0.133418	10.67	0.0	0.0	242.53	0.010989
meta-question_id	9	51	66.67	0.0	0.0	143.82	0.032918	37.25	3.12	0.0	373.31	0.078533	52.94	0.0	0.0	112.23	0.004885
category	harmony	150	43.33	0.0	0.0	519.05	0.128271	37.33	7.45	0.0	1354.53	0.238976	36.0	0.0	0.0	422.65	0.018004
category	pitch	300	45.0	0.0	0.0	1092.1	0.324916	29.67	2.84	0.0	2007.16	0.478407	29.67	0.47	0.0	1000.58	0.043905
category	rhythm	300	42.0	0.0	0.0	1051.25	0.296888	33.0	9.45	0.0	3129.13	0.511202	29.0	0.0	0.0	1040.59	0.044188
subcategory	harmonic-recognition	150	43.33	0.0	0.0	519.05	0.128271	37.33	7.45	0.0	1354.53	0.238976	36.0	0.0	0.0	422.65	0.018004
subcategory	interval-recognition	150	43.33	0.0	0.0	564.04	0.169274	26.0	5.41	0.0	1531.38	0.249132	28.67	0.93	0.0	540.52	0.024403
subcategory	pitch-recognition	150	46.67	0.0	0.0	528.06	0.155642	33.33	0.0	0.0	475.78	0.229275	30.67	0.0	0.0	460.06	0.019503
subcategory	proportion-recognition	150	32.0	0.0	0.0	536.43	0.145355	28.67	7.48	0.0	1330.92	0.257188	17.33	0.0	0.0	541.42	0.023236
subcategory	rhythmic-recognition	150	52.0	0.0	0.0	514.81	0.151534	37.33	11.7	0.0	1798.21	0.254014	40.67	0.0	0.0	499.18	0.020952
skill	cadence recognition	48	25.0	0.0	0.0	181.94	0.047112	33.33	12.5	0.0	495.34	0.080902	22.92	0.0	0.0	155.52	0.006464
skill	chord recognition	51	37.25	0.0	0.0	193.29	0.048242	41.18	6.67	0.0	485.88	0.079541	31.37	0.0	0.0	154.9	0.006655
skill	interval recognition	75	29.33	0.0	0.0	279.79	0.081816	22.67	3.45	0.0	745.12	0.117859	26.67	1.82	0.0	274.62	0.011908
skill	interval statistics	75	57.33	0.0	0.0	284.26	0.087458	29.33	7.55	0.0	786.26	0.131272	30.67	0.0	0.0	265.9	0.012495
skill	note length	75	62.67	0.0	0.0	256.93	0.074425	38.67	13.04	0.0	790.08	0.11874	38.67	0.0	0.0	229.88	0.009437
skill	note length statistics	75	41.33	0.0	0.0	257.89	0.077108	36.0	10.42	0.0	1008.12	0.135275	42.67	0.0	0.0	269.29	0.011514
skill	pitch recognition	75	42.67	0.0	0.0	269.08	0.078373	33.33	0.0	0.0	217.33	0.113719	25.33	0.0	0.0	250.91	0.010047
skill	pitch statistics	75	50.67	0.0	0.0	258.98	0.077268	33.33	0.0	0.0	258.46	0.115557	36.0	0.0	0.0	209.15	0.009456
skill	rhythm pattern	75	40.0	0.0	0.0	261.82	0.072458	40.0	11.11	0.0	615.24	0.12377	24.0	0.0	0.0	298.89	0.012247
skill	rhythm pattern statistics	75	24.0	0.0	0.0	274.61	0.072897	17.33	4.84	0.0	715.68	0.133418	10.67	0.0	0.0	242.53	0.010989
skill	tonality recognition	51	66.67	0.0	0.0	143.82	0.032918	37.25	3.12	0.0	373.31	0.078533	52.94	0.0	0.0	112.23	0.004885
rel/abs	absolute	351	47.58	0.0	0.0	1236.17	0.355417	36.18	5.8	0.0	2759.87	0.562831	35.04	0.0	0.0	1114.13	0.047109
rel/abs	relative	399	39.85	0.0	0.0	1426.23	0.394658	29.32	6.74	0.0	3730.95	0.665754	26.82	0.34	0.0	1349.68	0.058988
specification	harmony-absolute	51	37.25	0.0	0.0	193.29	0.048242	41.18	6.67	0.0	485.88	0.079541	31.37	0.0	0.0	154.9	0.006655
specification	harmony-relative	99	46.46	0.0	0.0	325.76	0.080029	35.35	7.81	0.0	868.65	0.159434	38.38	0.0	0.0	267.75	0.01135
specification	pitch-absolute	150	46.67	0.0	0.0	528.06	0.155642	33.33	0.0	0.0	475.78	0.229275	30.67	0.0	0.0	460.06	0.019503
specification	pitch-relative	150	43.33	0.0	0.0	564.04	0.169274	26.0	5.41	0.0	1531.38	0.249132	28.67	0.93	0.0	540.52	0.024403
specification	rhythm-absolute	150	52.0	0.0	0.0	514.81	0.151534	37.33	11.7	0.0	1798.21	0.254014	40.67	0.0	0.0	499.18	0.020952
specification	rhythm-relative	150	32.0	0.0	0.0	536.43	0.145355	28.67	7.48	0.0	1330.92	0.257188	17.33	0.0	0.0	541.42	0.023236
