Model	Acc.	Time	Price ($)
Gemini 3.1 Pro	59.0	12h	58.4
Qwen3 Omni 30B	46.3	2h	0.0
Gemini 3.1 FL	45.7	18m	0.3
GPT-5	42.0	91m	1.3
GPT-4o	41.0	21m	2.6
Gemini 2.5 FL	41.0	90m	0.6
Gemini 2.0 FL	40.3	16m	0.0
Mistral	39.3	89m	0.5
GPT-5 Full	37.0	17m	1.9
Mistral	35.3	11m	0.0
Gemini 3.1 FL	34.7	13m	0.2
Llama 4 Scout	30.7	33m	0.1
Gemini 2.5 FL	29.0	38m	0.3
Gemini 2.0 FL	25.7	13m	0.0
DeepSeek V3.2	24.3	95m	0.1
Qwen3 Omni 30B	24.0	72m	0.0
Gemma 3 27B	20.7	45m	0.0
GPT-4o	8.7	8h	0.5
GPT-5	8.3	8h	0.6
Gemini 2.0 FL	30.7	13m	0.1
Mistral	30.3	2h	0.9
Gemini 3.1 FL	28.7	14m	0.4
Qwen3 Omni 30B	25.7	68m	0.0
Gemini 2.5 FL	25.3	49m	0.4
GPT-5	22.7	42m	2.5
GPT-4o	21.7	15m	4.6
Random Baseline	20.0	N/A	0.0
