Model	Criterion_Type	Criterion_Value	Mean_Accuracy (2 runs)	StdDev_Accuracy (2 runs)	Mean_Unparsable_Percent	Mean_Model_Error_Percent	Sum_Total_Time_s	Sum_Total_Price
text-only-aggregate-gpt-4o	OVERALL	ALL	12.5	0.6505	31.23	39.68	21994.7	0.3594
text-only-aggregate-gpt-4o	submodality	audio.mastermix.wav	0.0	0.0	0.0	100.0	21223.61	0.0
text-only-aggregate-gpt-4o	submodality	symbolic.musicxml	26.39	1.9658	9.475	0.0	359.61	0.2798
text-only-aggregate-gpt-4o	submodality	visual.short.png	11.43	0.0	87.1	1.615	411.49	0.0796
text-only-aggregate-gpt-4o	piece_id	Anonymous_AusMeinesHerzensGrunde	3.335	4.7164	20.715	34.52	2873.65	0.0533
text-only-aggregate-gpt-4o	piece_id	Bach_IchStehAnDeinerKrippe	19.565	3.0759	34.945	46.055	4892.93	0.0691
text-only-aggregate-gpt-4o	piece_id	Crueger_AufAufMeinHerzMitFreuden	14.29	0.0	29.165	41.67	3356.84	0.0478
text-only-aggregate-gpt-4o	piece_id	Drese_JesuGehVoran	14.29	0.0	25.0	33.33	1144.03	0.029
text-only-aggregate-gpt-4o	piece_id	Gesius_BefiehlDuDeineWege	5.555	7.856	36.11	35.415	1672.68	0.0253
text-only-aggregate-gpt-4o	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	15.625	13.2583	26.665	45.0	3424.65	0.0529
text-only-aggregate-gpt-4o	piece_id	Jan_DuGrosserSchmerzensmann	12.5	17.6777	45.835	29.165	566.73	0.0137
text-only-aggregate-gpt-4o	piece_id	Telemann_DerLiebenSonneLichtUndPracht	33.33	0.0	50.0	50.0	584.42	0.0117
text-only-aggregate-gpt-4o	piece_id	Vulpius_ChristusDerIstMeinLeben	16.665	23.5679	41.665	41.665	570.56	0.0108
text-only-aggregate-gpt-4o	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	3.57	5.0487	36.815	37.085	2908.19	0.0458
text-only-aggregate-gpt-4o	is_nota_correct	0	11.665	2.3547	31.51	38.365	17800.48	0.3066
text-only-aggregate-gpt-4o	is_nota_correct	1	16.665	7.856	29.91	46.875	4194.23	0.0528
text-only-aggregate-gpt-4o	meta-question_id	0	27.27	12.8552	0.0	38.095	1747.79	0.045
text-only-aggregate-gpt-4o	meta-question_id	1	8.335	11.7875	28.335	36.665	1126.53	0.0166
text-only-aggregate-gpt-4o	meta-question_id	2	0.0	0.0	25.0	45.0	2622.24	0.0308
text-only-aggregate-gpt-4o	meta-question_id	3	38.885	7.856	26.665	55.0	1726.04	0.0304
text-only-aggregate-gpt-4o	meta-question_id	4	8.335	3.9244	33.27	36.395	3384.26	0.0639
text-only-aggregate-gpt-4o	meta-question_id	5	15.0	7.0711	34.72	47.22	2337.81	0.0305
text-only-aggregate-gpt-4o	meta-question_id	6	0.0	0.0	14.29	42.86	2134.03	0.0229
text-only-aggregate-gpt-4o	meta-question_id	7	4.165	5.8902	39.39	34.845	2413.33	0.0407
text-only-aggregate-gpt-4o	meta-question_id	8	11.11	0.0	46.875	37.5	3394.3	0.0541
text-only-aggregate-gpt-4o	meta-question_id	9	14.285	20.202	44.285	34.285	1108.38	0.0246
text-only-aggregate-gpt-4o	category	harmony	9.46	1.9092	43.27	35.825	6916.01	0.1194
text-only-aggregate-gpt-4o	category	pitch	19.445	3.9244	19.165	43.095	7222.6	0.1227
text-only-aggregate-gpt-4o	category	rhythm	8.57	0.0	29.685	40.62	7856.1	0.1173
text-only-aggregate-gpt-4o	subcategory	harmony-absolute	11.11	0.0	46.875	37.5	3394.3	0.0541
text-only-aggregate-gpt-4o	subcategory	harmony-relative	7.895	3.7265	40.035	34.31	3521.71	0.0653
text-only-aggregate-gpt-4o	subcategory	pitch-absolute	20.585	12.4804	11.67	37.5	2874.32	0.0615
text-only-aggregate-gpt-4o	subcategory	pitch-relative	18.42	3.7194	25.625	48.54	4348.27	0.0612
text-only-aggregate-gpt-4o	subcategory	rhythm-absolute	8.335	3.9244	33.27	36.395	3384.26	0.0639
text-only-aggregate-gpt-4o	subcategory	rhythm-relative	8.82	4.1578	25.625	45.21	4471.84	0.0534
text-only-aggregate-gpt-4o	skill	cadence recognition	14.285	20.202	44.285	34.285	1108.38	0.0246
text-only-aggregate-gpt-4o	skill	chord recognition	11.11	0.0	46.875	37.5	3394.3	0.0541
text-only-aggregate-gpt-4o	skill	interval recognition	0.0	0.0	25.0	45.0	2622.24	0.0308
text-only-aggregate-gpt-4o	skill	interval statistics	38.885	7.856	26.665	55.0	1726.04	0.0304
text-only-aggregate-gpt-4o	skill	note length	8.335	3.9244	33.27	36.395	3384.26	0.0639
text-only-aggregate-gpt-4o	skill	pitch recognition	27.27	12.8552	0.0	38.095	1747.79	0.045
text-only-aggregate-gpt-4o	skill	pitch statistics	8.335	11.7875	28.335	36.665	1126.53	0.0166
text-only-aggregate-gpt-4o	skill	rhythm pattern	0.0	0.0	14.29	42.86	2134.03	0.0229
text-only-aggregate-gpt-4o	skill	time signature	15.0	7.0711	34.72	47.22	2337.81	0.0305
text-only-aggregate-gpt-4o	skill	tonality recognition	4.165	5.8902	39.39	34.845	2413.33	0.0407
text-only-aggregate-gpt-4o	rel/abs	absolute	13.205	5.3387	31.63	37.03	9652.88	0.1795
text-only-aggregate-gpt-4o	rel/abs	relative	11.82	3.8608	30.83	42.34	12341.82	0.18
