Model	Criterion_Type	Criterion_Value	Mean_Accuracy (10 runs)	StdDev_Accuracy (10 runs)	Mean_Unparsable_Percent	Mean_Model_Error_Percent	Sum_Total_Time_s	Sum_Total_Price
google/gemini-2.0-flash-lite-001	OVERALL	ALL	34.815	2.6918	0.069	1.709	20935.86	3.2342
google/gemini-2.0-flash-lite-001	submodality	audio.mastermix.wav	35.206	4.6908	0.0	2.164	8677.99	0.1495
google/gemini-2.0-flash-lite-001	submodality	symbolic.musicxml	37.263	4.545	0.209	1.278	6372.78	2.9038
google/gemini-2.0-flash-lite-001	submodality	visual.short.png	31.969	2.6284	0.0	1.631	5885.09	0.1809
google/gemini-2.0-flash-lite-001	piece_id	Anonymous_AusMeinesHerzensGrunde	32.243	7.0492	0.333	1.617	2334.04	0.4539
google/gemini-2.0-flash-lite-001	piece_id	Bach_IchStehAnDeinerKrippe	29.176	9.9053	0.222	2.07	2695.89	0.3604
google/gemini-2.0-flash-lite-001	piece_id	Crueger_AufAufMeinHerzMitFreuden	32.906	7.9349	0.0	2.839	2349.84	0.3654
google/gemini-2.0-flash-lite-001	piece_id	Drese_JesuGehVoran	36.633	8.7163	0.0	2.179	2077.57	0.2502
google/gemini-2.0-flash-lite-001	piece_id	Gesius_BefiehlDuDeineWege	35.333	12.9434	0.0	3.03	2116.22	0.3227
google/gemini-2.0-flash-lite-001	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	38.409	7.3672	0.0	0.357	1776.22	0.3211
google/gemini-2.0-flash-lite-001	piece_id	Jan_DuGrosserSchmerzensmann	33.418	8.6964	0.0	1.719	1935.94	0.33
google/gemini-2.0-flash-lite-001	piece_id	Telemann_DerLiebenSonneLichtUndPracht	41.662	11.6447	0.0	0.879	2011.66	0.359
google/gemini-2.0-flash-lite-001	piece_id	Vulpius_ChristusDerIstMeinLeben	35.919	10.6519	0.0	1.581	1977.52	0.2128
google/gemini-2.0-flash-lite-001	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	32.269	8.0208	0.0	0.294	1660.99	0.2586
google/gemini-2.0-flash-lite-001	is_nota_correct	0	36.529	2.94	0.089	1.883	17035.73	2.5619
google/gemini-2.0-flash-lite-001	is_nota_correct	1	28.238	4.171	0.0	1.109	3900.14	0.6723
google/gemini-2.0-flash-lite-001	meta-question_id	0	25.354	5.0273	0.0	0.345	1406.92	0.2796
google/gemini-2.0-flash-lite-001	meta-question_id	1	58.655	6.868	0.769	4.891	1890.21	0.2759
google/gemini-2.0-flash-lite-001	meta-question_id	2	22.731	7.4691	0.0	1.857	1702.42	0.2644
google/gemini-2.0-flash-lite-001	meta-question_id	3	68.893	11.0511	0.0	5.871	2122.05	0.2732
google/gemini-2.0-flash-lite-001	meta-question_id	4	24.334	5.6985	0.185	3.466	4114.47	0.5325
google/gemini-2.0-flash-lite-001	meta-question_id	5	53.711	8.0845	0.0	1.614	1310.21	0.2555
google/gemini-2.0-flash-lite-001	meta-question_id	6	13.042	3.7497	0.0	1.239	1802.4	0.281
google/gemini-2.0-flash-lite-001	meta-question_id	7	29.849	9.3147	0.0	1.1	1537.84	0.2428
google/gemini-2.0-flash-lite-001	meta-question_id	8	41.22	6.157	0.0	0.679	3041.66	0.535
google/gemini-2.0-flash-lite-001	meta-question_id	9	16.955	7.0624	0.0	0.37	2007.63	0.2941
google/gemini-2.0-flash-lite-001	category	harmony	32.074	5.5089	0.0	0.681	6587.13	1.072
google/gemini-2.0-flash-lite-001	category	pitch	43.666	3.4017	0.115	2.101	7121.64	1.0932
