Model	Criterion_Type	Criterion_Value	Mean_Accuracy (10 runs)	StdDev_Accuracy (10 runs)	Mean_Unparsable_Percent	Mean_Model_Error_Percent	Sum_Total_Time_s	Sum_Total_Price
google/gemini-3.1-flash-lite-preview	OVERALL	ALL	42.921	2.6469	0.0	0.0	3939.66	3.3555
google/gemini-3.1-flash-lite-preview	submodality	audio.mastermix.wav	34.736	2.7163	0.0	0.0	1129.0	0.2621
google/gemini-3.1-flash-lite-preview	submodality	symbolic.musicxml	53.242	5.1048	0.0	0.0	1303.84	2.7344
google/gemini-3.1-flash-lite-preview	submodality	visual.short.png	41.053	5.713	0.0	0.0	1506.81	0.359
google/gemini-3.1-flash-lite-preview	piece_id	Anonymous_AusMeinesHerzensGrunde	34.285	9.9891	0.0	0.0	213.79	0.214
google/gemini-3.1-flash-lite-preview	piece_id	Bach_IchStehAnDeinerKrippe	55.458	7.9618	0.0	0.0	345.72	0.3402
google/gemini-3.1-flash-lite-preview	piece_id	Crueger_AufAufMeinHerzMitFreuden	44.8	8.1758	0.0	0.0	891.6	0.8708
google/gemini-3.1-flash-lite-preview	piece_id	Drese_JesuGehVoran	13.335	10.5409	0.0	0.0	217.58	0.1432
google/gemini-3.1-flash-lite-preview	piece_id	Gesius_BefiehlDuDeineWege	54.285	18.8057	0.0	0.0	267.66	0.1883
google/gemini-3.1-flash-lite-preview	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	28.75	11.8585	0.0	0.0	280.52	0.1891
google/gemini-3.1-flash-lite-preview	piece_id	Jan_DuGrosserSchmerzensmann	52.728	6.8445	0.0	0.0	809.16	0.7478
google/gemini-3.1-flash-lite-preview	piece_id	Telemann_DerLiebenSonneLichtUndPracht	27.692	9.0295	0.0	0.0	468.87	0.4108
google/gemini-3.1-flash-lite-preview	piece_id	Vulpius_ChristusDerIstMeinLeben	55.714	14.2063	0.0	0.0	255.16	0.1266
google/gemini-3.1-flash-lite-preview	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	40.0	14.755	0.0	0.0	189.62	0.1247
google/gemini-3.1-flash-lite-preview	is_nota_correct	0	40.777	2.2838	0.0	0.0	3119.11	2.6586
google/gemini-3.1-flash-lite-preview	is_nota_correct	1	51.304	7.3324	0.0	0.0	820.55	0.6969
google/gemini-3.1-flash-lite-preview	meta-question_id	0	40.768	7.2974	0.0	0.0	423.23	0.3968
google/gemini-3.1-flash-lite-preview	meta-question_id	1	47.5	14.1912	0.0	0.0	312.79	0.297
google/gemini-3.1-flash-lite-preview	meta-question_id	2	25.001	7.856	0.0	0.0	445.94	0.3899
google/gemini-3.1-flash-lite-preview	meta-question_id	3	91.427	9.9894	0.0	0.0	270.71	0.2075
google/gemini-3.1-flash-lite-preview	meta-question_id	4	19.446	6.5459	0.0	0.0	588.28	0.4586
google/gemini-3.1-flash-lite-preview	meta-question_id	5	52.223	7.5033	0.0	0.0	248.34	0.2431
google/gemini-3.1-flash-lite-preview	meta-question_id	6	10.002	9.6429	0.0	0.0	234.94	0.2721
google/gemini-3.1-flash-lite-preview	meta-question_id	7	38.178	7.1703	0.0	0.0	339.23	0.2518
google/gemini-3.1-flash-lite-preview	meta-question_id	8	67.618	10.2382	0.0	0.0	807.69	0.5619
google/gemini-3.1-flash-lite-preview	meta-question_id	9	38.572	16.5642	0.0	0.0	268.48	0.2768
google/gemini-3.1-flash-lite-preview	category	harmony	54.103	5.9774	0.0	0.0	1415.43	1.0905
google/gemini-3.1-flash-lite-preview	category	pitch	46.25	4.1248	0.0	0.0	1452.67	1.2912
google/gemini-3.1-flash-lite-preview	category	rhythm	26.176	3.5198	0.0	0.0	1071.6	0.9738
google/gemini-3.1-flash-lite-preview	subcategory	harmony-absolute	67.618	10.2382	0.0	0.0	807.69	0.5619
google/gemini-3.1-flash-lite-preview	subcategory	harmony-relative	38.331	7.1494	0.0	0.0	607.71	0.5286
google/gemini-3.1-flash-lite-preview	subcategory	pitch-absolute	43.334	7.5964	0.0	0.0	736.0	0.6938
google/gemini-3.1-flash-lite-preview	subcategory	pitch-relative	49.474	6.1741	0.0	0.0	716.65	0.5974
google/gemini-3.1-flash-lite-preview	subcategory	rhythm-absolute	19.446	6.5459	0.0	0.0	588.28	0.4586
google/gemini-3.1-flash-lite-preview	subcategory	rhythm-relative	33.75	3.2275	0.0	0.0	483.31	0.5152
google/gemini-3.1-flash-lite-preview	skill	cadence recognition	38.572	16.5642	0.0	0.0	268.48	0.2768
google/gemini-3.1-flash-lite-preview	skill	chord recognition	67.618	10.2382	0.0	0.0	807.69	0.5619
google/gemini-3.1-flash-lite-preview	skill	interval recognition	25.001	7.856	0.0	0.0	445.94	0.3899
google/gemini-3.1-flash-lite-preview	skill	interval statistics	91.427	9.9894	0.0	0.0	270.71	0.2075
google/gemini-3.1-flash-lite-preview	skill	note length	19.446	6.5459	0.0	0.0	588.28	0.4586
google/gemini-3.1-flash-lite-preview	skill	pitch recognition	40.768	7.2974	0.0	0.0	423.23	0.3968
google/gemini-3.1-flash-lite-preview	skill	pitch statistics	47.5	14.1912	0.0	0.0	312.79	0.297
google/gemini-3.1-flash-lite-preview	skill	rhythm pattern	10.002	9.6429	0.0	0.0	234.94	0.2721
google/gemini-3.1-flash-lite-preview	skill	time signature	52.223	7.5033	0.0	0.0	248.34	0.2431
google/gemini-3.1-flash-lite-preview	skill	tonality recognition	38.178	7.1703	0.0	0.0	339.23	0.2518
google/gemini-3.1-flash-lite-preview	rel/abs	absolute	44.668	4.0679	0.0	0.0	2131.97	1.7143
google/gemini-3.1-flash-lite-preview	rel/abs	relative	40.944	2.8195	0.0	0.0	1807.69	1.6412
