Criterion_Type	Criterion_Value	Total_Items	google_gemini-2.0-flash-lite-001_Accuracy_Percent	aggregate-gpt-4o_Accuracy_Percent	google_gemini-2.5-flash-lite_Accuracy_Percent	aggregate-mistral_Accuracy_Percent	aggregate-gpt-5_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	aggregate-gpt-4o_Unparsable_Percent	google_gemini-2.5-flash-lite_Unparsable_Percent	aggregate-mistral_Unparsable_Percent	aggregate-gpt-5_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	aggregate-gpt-4o_Model_Error_Percent	google_gemini-2.5-flash-lite_Model_Error_Percent	aggregate-mistral_Model_Error_Percent	aggregate-gpt-5_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	aggregate-gpt-4o_Total_Time_s	google_gemini-2.5-flash-lite_Total_Time_s	aggregate-mistral_Total_Time_s	aggregate-gpt-5_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price	aggregate-gpt-4o_Total_Price	google_gemini-2.5-flash-lite_Total_Price	aggregate-mistral_Total_Price	aggregate-gpt-5_Total_Price	google_gemini-3.1-flash-lite-preview_Total_Price
OVERALL	ALL	447	33.78	32.66	29.98	33.56	32.89	38.26	0.0	1.99	0.32	0.0	11.33	0.36	0.0	0.0	0.0	0.0	0.0	0.0	1424.79	3933.58	7047.43	3167.53	8583.77	2028.41	0.322856	11.101098	1.005334	0.952859	8.851476	1.291541
submodality	audio.mastermix.wav	149	29.53	26.85	24.16	30.87	18.12	34.9	0.0	0.0	0.0	0.0	27.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	567.87	1245.37	1705.68	947.55	1142.45	598.84	0.015034	2.671887	0.148801	0.634853	0.100903	0.104646
submodality	symbolic.musicxml	151	33.77	39.07	39.07	35.1	51.66	46.36	0.0	0.0	0.0	0.0	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0	503.42	2135.11	2161.45	1296.92	4527.78	724.85	0.290148	8.115062	0.568639	0.303896	8.231772	1.044072
submodality	visual.short.png	147	38.1	31.97	26.53	34.69	28.57	33.33	0.0	6.0	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	353.5	553.1	3180.29	923.05	2913.55	704.72	0.017673	0.314147	0.287893	0.01411	0.518801	0.142822
piece_id	Anonymous_AusMeinesHerzensGrunde	43	30.23	37.21	32.56	32.56	32.56	44.19	0.0	0.0	0.0	0.0	13.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	173.12	396.57	534.95	410.37	808.51	178.52	0.038982	1.340935	0.097174	0.127785	1.041582	0.152516
piece_id	Bach_IchStehAnDeinerKrippe	57	31.58	35.09	29.82	31.58	28.07	33.33	0.0	0.0	0.0	0.0	2.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	175.67	549.8	956.79	449.84	1090.97	267.86	0.043567	1.505448	0.137008	0.126445	1.203258	0.172284
piece_id	Crueger_AufAufMeinHerzMitFreuden	38	42.11	23.68	18.42	28.95	39.47	42.11	0.0	0.0	0.0	0.0	4.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.61	361.68	569.15	589.74	668.71	167.42	0.029879	1.046215	0.085691	0.101649	0.805846	0.11902
piece_id	Drese_JesuGehVoran	29	37.93	48.28	48.28	51.72	48.28	55.17	0.0	0.0	0.0	0.0	6.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.19	223.82	505.21	151.59	539.84	153.4	0.018984	0.637557	0.064021	0.049873	0.529748	0.079036
piece_id	Gesius_BefiehlDuDeineWege	47	40.43	31.91	36.17	34.04	34.04	38.3	0.0	3.12	0.0	0.0	6.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.14	453.13	794.26	327.41	838.48	239.3	0.036313	1.261195	0.11309	0.104736	0.981634	0.145355
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	43	39.53	32.56	25.58	39.53	34.88	32.56	0.0	6.9	0.0	0.0	17.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.47	353.73	666.68	208.23	867.45	162.7	0.028237	0.97637	0.094453	0.081726	0.783815	0.114438
piece_id	Jan_DuGrosserSchmerzensmann	43	25.58	23.26	25.58	20.93	25.58	23.26	0.0	6.06	0.0	0.0	9.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.96	374.31	646.36	232.9	847.53	185.69	0.033959	1.122035	0.098294	0.092319	0.936886	0.134857
piece_id	Telemann_DerLiebenSonneLichtUndPracht	49	38.78	40.82	30.61	44.9	34.69	48.98	0.0	3.45	2.94	0.0	12.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	178.56	507.47	869.69	363.3	983.03	231.92	0.043486	1.525455	0.127886	0.138343	1.164876	0.170096
piece_id	Vulpius_ChristusDerIstMeinLeben	63	31.75	30.16	33.33	28.57	28.57	33.33	0.0	0.0	0.0	0.0	13.33	2.38	0.0	0.0	0.0	0.0	0.0	0.0	161.06	497.88	968.08	277.53	1287.03	289.48	0.031267	1.120228	0.122854	0.093534	0.890552	0.12888
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	35	20.0	25.71	20.0	28.57	31.43	40.0	0.0	0.0	0.0	0.0	29.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.02	215.19	536.26	156.62	652.23	152.13	0.018182	0.56566	0.064861	0.036449	0.513279	0.075058
is_nota_correct	0	360	36.39	33.61	31.67	33.89	30.83	37.22	0.0	1.67	0.0	0.0	11.24	0.44	0.0	0.0	0.0	0.0	0.0	0.0	1143.9	3176.13	5763.85	2599.12	6969.24	1652.16	0.258999	8.954465	0.813559	0.776684	7.119478	1.039067
is_nota_correct	1	87	22.99	28.74	22.99	32.18	41.38	42.53	0.0	3.23	1.49	0.0	11.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	280.89	757.45	1283.57	568.41	1614.54	376.25	0.063856	2.146632	0.191774	0.176175	1.731998	0.252474
meta-question_id	0	38	26.32	26.32	28.95	31.58	23.68	34.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.35	300.39	378.11	252.51	638.48	178.07	0.029202	0.971445	0.068593	0.08223	0.774767	0.115425
meta-question_id	1	36	38.89	55.56	50.0	36.11	58.33	55.56	0.0	0.0	0.0	0.0	13.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.39	307.61	429.17	615.04	624.06	156.75	0.032108	1.086658	0.078261	0.104135	0.859339	0.127617
meta-question_id	2	40	20.0	15.0	17.5	25.0	20.0	15.0	0.0	0.0	0.0	0.0	21.88	2.94	0.0	0.0	0.0	0.0	0.0	0.0	109.37	306.42	733.16	234.74	825.83	175.69	0.027164	0.877243	0.096125	0.06526	0.744907	0.105626
meta-question_id	3	36	58.33	72.22	47.22	55.56	50.0	83.33	0.0	10.0	0.0	0.0	11.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	169.31	286.9	932.29	201.7	1275.57	142.76	0.026162	0.92052	0.124685	0.081297	0.768928	0.111809
meta-question_id	4	72	22.22	18.06	20.83	33.33	26.39	18.06	0.0	0.0	0.0	0.0	11.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	326.86	679.89	847.17	499.25	1209.13	267.17	0.053497	1.867323	0.139038	0.16593	1.43466	0.21516
meta-question_id	5	37	59.46	59.46	62.16	59.46	51.35	59.46	0.0	0.0	0.0	0.0	33.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.88	259.19	298.01	190.31	389.63	141.46	0.023745	0.843928	0.051986	0.080047	0.630366	0.090327
meta-question_id	6	37	13.51	8.11	5.41	8.11	10.81	2.7	0.0	5.88	0.0	0.0	3.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123.27	328.83	419.15	164.82	628.34	200.8	0.028052	0.918925	0.07248	0.070139	0.756684	0.108487
meta-question_id	7	37	51.35	37.84	32.43	24.32	35.14	51.35	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.53	262.28	184.71	175.86	564.64	150.18	0.022782	0.787245	0.039672	0.067912	0.626099	0.088124
meta-question_id	8	78	42.31	34.62	32.05	39.74	32.05	53.85	0.0	3.92	1.89	0.0	7.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	217.84	805.98	1769.4	625.74	1669.82	433.98	0.055998	1.986968	0.213195	0.166721	1.583803	0.229526
meta-question_id	9	36	8.33	13.89	11.11	16.67	30.56	13.89	0.0	3.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.01	396.08	1056.26	207.55	758.28	181.55	0.024144	0.840845	0.121298	0.069188	0.671921	0.099439
category	harmony	151	36.42	30.46	27.15	30.46	32.45	43.71	0.0	2.86	0.91	0.0	9.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	407.38	1464.34	3010.38	1009.16	2992.74	765.71	0.102923	3.615058	0.374165	0.303822	2.881823	0.417089
category	pitch	150	35.33	41.33	35.33	36.67	37.33	46.0	0.0	1.14	0.0	0.0	11.7	1.23	0.0	0.0	0.0	0.0	0.0	0.0	485.41	1201.33	2472.73	1303.98	3363.94	653.27	0.114637	3.855865	0.367664	0.332922	3.147942	0.460478
category	rhythm	146	29.45	26.03	27.4	33.56	28.77	24.66	0.0	1.85	0.0	0.0	12.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	532.0	1267.91	1564.33	854.39	2227.1	609.43	0.105295	3.630175	0.263504	0.316116	2.82171	0.413975
subcategory	harmony-absolute	78	42.31	34.62	32.05	39.74	32.05	53.85	0.0	3.92	1.89	0.0	7.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	217.84	805.98	1769.4	625.74	1669.82	433.98	0.055998	1.986968	0.213195	0.166721	1.583803	0.229526
subcategory	harmony-relative	73	30.14	26.03	21.92	20.55	32.88	32.88	0.0	1.85	0.0	0.0	12.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	189.54	658.36	1240.97	383.41	1322.92	331.73	0.046926	1.62809	0.16097	0.1371	1.298021	0.187562
subcategory	pitch-absolute	74	32.43	40.54	39.19	33.78	40.54	44.59	0.0	0.0	0.0	0.0	4.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	206.73	608.0	807.27	867.55	1262.54	334.82	0.061311	2.058102	0.146854	0.186365	1.634107	0.243043
subcategory	pitch-relative	76	38.16	42.11	31.58	39.47	34.21	47.37	0.0	2.27	0.0	0.0	18.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	278.68	593.33	1665.45	436.43	2101.4	318.45	0.053326	1.797763	0.220811	0.146557	1.513835	0.217435
subcategory	rhythm-absolute	72	22.22	18.06	20.83	33.33	26.39	18.06	0.0	0.0	0.0	0.0	11.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	326.86	679.89	847.17	499.25	1209.13	267.17	0.053497	1.867323	0.139038	0.16593	1.43466	0.21516
subcategory	rhythm-relative	74	36.49	33.78	33.78	33.78	31.08	31.08	0.0	4.08	0.0	0.0	13.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	205.15	588.02	717.16	355.14	1017.97	342.26	0.051798	1.762853	0.124466	0.150186	1.38705	0.198814
