Criterion_Type	Criterion_Value	Total_Items	google_gemini-2.0-flash-lite-001_normal_Accuracy_Percent	google_gemini-2.0-flash-lite-001_normal_Unparsable_Percent	google_gemini-2.0-flash-lite-001_normal_Model_Error_Percent	google_gemini-2.0-flash-lite-001_normal_Total_Time_s	google_gemini-2.0-flash-lite-001_normal_Total_Price	google_gemini-2.0-flash-lite-001_to_Accuracy_Percent	google_gemini-2.0-flash-lite-001_to_Unparsable_Percent	google_gemini-2.0-flash-lite-001_to_Model_Error_Percent	google_gemini-2.0-flash-lite-001_to_Total_Time_s	google_gemini-2.0-flash-lite-001_to_Total_Price	aggregate-gpt-4o_normal_Accuracy_Percent	aggregate-gpt-4o_normal_Unparsable_Percent	aggregate-gpt-4o_normal_Model_Error_Percent	aggregate-gpt-4o_normal_Total_Time_s	aggregate-gpt-4o_normal_Total_Price	aggregate-gpt-4o_to_Accuracy_Percent	aggregate-gpt-4o_to_Unparsable_Percent	aggregate-gpt-4o_to_Model_Error_Percent	aggregate-gpt-4o_to_Total_Time_s	aggregate-gpt-4o_to_Total_Price	google_gemini-2.5-flash-lite_normal_Accuracy_Percent	google_gemini-2.5-flash-lite_normal_Unparsable_Percent	google_gemini-2.5-flash-lite_normal_Model_Error_Percent	google_gemini-2.5-flash-lite_normal_Total_Time_s	google_gemini-2.5-flash-lite_normal_Total_Price	google_gemini-2.5-flash-lite_to_Accuracy_Percent	google_gemini-2.5-flash-lite_to_Unparsable_Percent	google_gemini-2.5-flash-lite_to_Model_Error_Percent	google_gemini-2.5-flash-lite_to_Total_Time_s	google_gemini-2.5-flash-lite_to_Total_Price	aggregate-mistral_normal_Accuracy_Percent	aggregate-mistral_normal_Unparsable_Percent	aggregate-mistral_normal_Model_Error_Percent	aggregate-mistral_normal_Total_Time_s	aggregate-mistral_normal_Total_Price	aggregate-mistral_to_Accuracy_Percent	aggregate-mistral_to_Unparsable_Percent	aggregate-mistral_to_Model_Error_Percent	aggregate-mistral_to_Total_Time_s	aggregate-mistral_to_Total_Price	aggregate-gpt-5_normal_Accuracy_Percent	aggregate-gpt-5_normal_Unparsable_Percent	aggregate-gpt-5_normal_Model_Error_Percent	aggregate-gpt-5_normal_Total_Time_s	aggregate-gpt-5_normal_Total_Price	aggregate-gpt-5_to_Accuracy_Percent	aggregate-gpt-5_to_Unparsable_Percent	aggregate-gpt-5_to_Model_Error_Percent	aggregate-gpt-5_to_Total_Time_s	aggregate-gpt-5_to_Total_Price	xiaomi_mimo-v2-omni_to_Accuracy_Percent	xiaomi_mimo-v2-omni_to_Unparsable_Percent	xiaomi_mimo-v2-omni_to_Model_Error_Percent	xiaomi_mimo-v2-omni_to_Total_Time_s	xiaomi_mimo-v2-omni_to_Total_Price	google_gemini-3.1-flash-lite-preview_normal_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_normal_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_normal_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_normal_Total_Time_s	google_gemini-3.1-flash-lite-preview_normal_Total_Price	google_gemini-3.1-flash-lite-preview_to_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_to_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_to_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_to_Total_Time_s	google_gemini-3.1-flash-lite-preview_to_Total_Price
OVERALL	ALL	447	33.78	0.0	0.0	1424.79	0.322856	27.74	12.69	0.0	1435.19	0.040552	32.66	1.99	0.0	3933.58	11.101098	9.62	30.94	36.88	4756.71	0.765342	29.98	0.32	0.0	7047.43	1.005334	26.62	0.0	0.0	2589.43	0.21593	33.56	0.0	0.0	3167.53	0.952859	30.87	0.32	0.0	1402.53	0.027713	32.89	11.33	0.0	8583.77	8.851476	8.5	33.99	36.43	7090.5	0.82197	24.83	0.0	0.0	6774.05	1.789083	38.26	0.36	0.0	2028.41	1.291541	26.85	0.31	0.0	1414.91	0.219315
submodality	audio.mastermix.wav	149	29.53	0.0	0.0	567.87	0.015034	27.52	2.78	0.0	470.05	0.012437	26.85	0.0	0.0	1245.37	2.671887	0.0	0.0	100.0	3243.07	0.0	24.16	0.0	0.0	1705.68	0.148801	20.13	0.0	0.0	510.87	0.035708	30.87	0.0	0.0	947.55	0.634853	28.86	0.94	0.0	248.14	0.01013	18.12	27.87	0.0	1142.45	0.100903	0.0	0.0	100.0	3127.25	0.0	24.16	0.0	0.0	2071.77	0.540927	34.9	0.0	0.0	598.84	0.104646	24.83	0.0	0.0	421.62	0.061696
submodality	symbolic.musicxml	151	33.77	0.0	0.0	503.42	0.290148	28.48	20.37	0.0	522.25	0.015158	39.07	0.0	0.0	2135.11	8.115062	25.83	6.25	0.0	1170.08	0.605207	39.07	0.0	0.0	2161.45	0.568639	26.49	0.0	0.0	919.05	0.075393	35.1	0.0	0.0	1296.92	0.303896	33.11	0.0	0.0	629.68	0.008675	51.66	0.0	0.0	4527.78	8.231772	15.23	52.34	0.0	2022.74	0.387895	26.49	0.0	0.0	2261.52	0.597691	46.36	1.23	0.0	724.85	1.044072	33.11	0.0	0.0	503.12	0.079549
submodality	visual.short.png	147	38.1	0.0	0.0	353.5	0.017673	27.21	14.95	0.0	442.88	0.012957	31.97	6.0	0.0	553.1	0.314147	2.72	82.52	0.0	343.56	0.160135	26.53	0.93	0.0	3180.29	0.287893	33.33	0.0	0.0	1159.52	0.10483	34.69	0.0	0.0	923.05	0.01411	30.61	0.0	0.0	524.71	0.008908	28.57	0.0	0.0	2913.55	0.518801	10.2	54.55	0.0	1940.51	0.434075	23.81	0.0	0.0	2440.77	0.650465	33.33	0.0	0.0	704.72	0.142822	22.45	0.88	0.0	490.17	0.07807
piece_id	Anonymous_AusMeinesHerzensGrunde	43	30.23	0.0	0.0	173.12	0.038982	25.58	6.25	0.0	148.56	0.003482	37.21	0.0	0.0	396.57	1.340935	11.63	36.84	36.84	426.57	0.066845	32.56	0.0	0.0	534.95	0.097174	16.28	0.0	0.0	164.31	0.011391	32.56	0.0	0.0	410.37	0.127785	23.26	3.03	0.0	134.95	0.002504	32.56	13.79	0.0	808.51	1.041582	6.98	42.5	35.0	630.6	0.069641	13.95	0.0	0.0	568.42	0.143943	44.19	0.0	0.0	178.52	0.152516	23.26	0.0	0.0	144.86	0.019114
piece_id	Bach_IchStehAnDeinerKrippe	57	31.58	0.0	0.0	175.67	0.043567	26.32	14.29	0.0	230.54	0.005829	35.09	0.0	0.0	549.8	1.505448	5.26	38.89	33.33	547.9	0.09377	29.82	0.0	0.0	956.79	0.137008	29.82	0.0	0.0	360.26	0.031439	31.58	0.0	0.0	449.84	0.126445	43.86	0.0	0.0	172.95	0.003741	28.07	2.44	0.0	1090.97	1.203258	8.77	44.23	34.62	894.23	0.097662	19.3	0.0	0.0	879.08	0.230686	33.33	0.0	0.0	267.86	0.172284	33.33	0.0	0.0	188.44	0.027779
piece_id	Crueger_AufAufMeinHerzMitFreuden	38	42.11	0.0	0.0	108.61	0.029879	21.05	16.67	0.0	90.11	0.002871	23.68	0.0	0.0	361.68	1.046215	2.63	21.62	35.14	425.94	0.06182	18.42	0.0	0.0	569.15	0.085691	7.89	0.0	0.0	250.53	0.022573	28.95	0.0	0.0	589.74	0.101649	26.32	0.0	0.0	172.99	0.002476	39.47	4.35	0.0	668.71	0.805846	2.63	21.62	35.14	619.27	0.060767	31.58	0.0	0.0	606.44	0.161141	42.11	0.0	0.0	167.42	0.11902	26.32	0.0	0.0	108.29	0.018014
piece_id	Drese_JesuGehVoran	29	37.93	0.0	0.0	103.19	0.018984	31.03	10.0	0.0	72.0	0.002163	48.28	0.0	0.0	223.82	0.637557	13.79	28.0	36.0	315.77	0.053315	48.28	0.0	0.0	505.21	0.064021	24.14	0.0	0.0	226.17	0.019262	51.72	0.0	0.0	151.59	0.049873	44.83	0.0	0.0	106.21	0.001754	48.28	6.67	0.0	539.84	0.529748	10.34	34.62	34.62	450.6	0.047313	20.69	0.0	0.0	380.42	0.100355	55.17	0.0	0.0	153.4	0.079036	41.38	0.0	0.0	86.59	0.014067
piece_id	Gesius_BefiehlDuDeineWege	47	40.43	0.0	0.0	145.14	0.036313	29.79	12.12	0.0	152.71	0.004352	31.91	3.12	0.0	453.13	1.261195	6.38	29.55	34.09	431.61	0.076952	36.17	0.0	0.0	794.26	0.11309	17.02	0.0	0.0	284.19	0.021939	34.04	0.0	0.0	327.41	0.104736	23.4	0.0	0.0	155.47	0.002721	34.04	6.45	0.0	838.48	0.981634	8.51	30.23	34.88	664.57	0.074179	17.02	0.0	0.0	676.61	0.172646	38.3	0.0	0.0	239.3	0.145355	31.91	0.0	0.0	156.44	0.02319
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	43	39.53	0.0	0.0	144.47	0.028237	37.21	11.11	0.0	147.13	0.003701	32.56	6.9	0.0	353.73	0.97637	13.95	37.84	40.54	467.77	0.066245	25.58	0.0	0.0	666.68	0.094453	34.88	0.0	0.0	291.29	0.022954	39.53	0.0	0.0	208.23	0.081726	37.21	0.0	0.0	123.31	0.002467	34.88	17.86	0.0	867.45	0.783815	4.65	29.27	36.59	683.76	0.071483	32.56	0.0	0.0	619.88	0.164975	32.56	0.0	0.0	162.7	0.114438	27.91	0.0	0.0	138.5	0.019573
