Criterion_Type	Criterion_Value	Total_Items	google_gemini-2.0-flash-lite-001_Accuracy_Percent	aggregate-gpt-4o_Accuracy_Percent	google_gemini-2.5-flash-lite_Accuracy_Percent	aggregate-mistral_Accuracy_Percent	aggregate-gpt-5_Accuracy_Percent	xiaomi_mimo-v2-omni_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	aggregate-gpt-4o_Unparsable_Percent	google_gemini-2.5-flash-lite_Unparsable_Percent	aggregate-mistral_Unparsable_Percent	aggregate-gpt-5_Unparsable_Percent	xiaomi_mimo-v2-omni_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	aggregate-gpt-4o_Model_Error_Percent	google_gemini-2.5-flash-lite_Model_Error_Percent	aggregate-mistral_Model_Error_Percent	aggregate-gpt-5_Model_Error_Percent	xiaomi_mimo-v2-omni_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	aggregate-gpt-4o_Total_Time_s	google_gemini-2.5-flash-lite_Total_Time_s	aggregate-mistral_Total_Time_s	aggregate-gpt-5_Total_Time_s	xiaomi_mimo-v2-omni_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price	aggregate-gpt-4o_Total_Price	google_gemini-2.5-flash-lite_Total_Price	aggregate-mistral_Total_Price	aggregate-gpt-5_Total_Price	xiaomi_mimo-v2-omni_Total_Price	google_gemini-3.1-flash-lite-preview_Total_Price
OVERALL	ALL	447	27.74	9.62	26.62	30.87	8.5	24.83	26.85	12.69	30.94	0.0	0.32	33.99	0.0	0.31	0.0	36.88	0.0	0.0	36.43	0.0	0.0	1435.19	4756.71	2589.43	1402.53	7090.5	6774.05	1414.91	0.040552	0.765342	0.21593	0.027713	0.82197	1.789083	0.219315
submodality	audio.mastermix.wav	149	27.52	0.0	20.13	28.86	0.0	24.16	24.83	2.78	0.0	0.0	0.94	0.0	0.0	0.0	0.0	100.0	0.0	0.0	100.0	0.0	0.0	470.05	3243.07	510.87	248.14	3127.25	2071.77	421.62	0.012437	0.0	0.035708	0.01013	0.0	0.540927	0.061696
submodality	symbolic.musicxml	151	28.48	25.83	26.49	33.11	15.23	26.49	33.11	20.37	6.25	0.0	0.0	52.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	522.25	1170.08	919.05	629.68	2022.74	2261.52	503.12	0.015158	0.605207	0.075393	0.008675	0.387895	0.597691	0.079549
submodality	visual.short.png	147	27.21	2.72	33.33	30.61	10.2	23.81	22.45	14.95	82.52	0.0	0.0	54.55	0.0	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	442.88	343.56	1159.52	524.71	1940.51	2440.77	490.17	0.012957	0.160135	0.10483	0.008908	0.434075	0.650465	0.07807
piece_id	Anonymous_AusMeinesHerzensGrunde	43	25.58	11.63	16.28	23.26	6.98	13.95	23.26	6.25	36.84	0.0	3.03	42.5	0.0	0.0	0.0	36.84	0.0	0.0	35.0	0.0	0.0	148.56	426.57	164.31	134.95	630.6	568.42	144.86	0.003482	0.066845	0.011391	0.002504	0.069641	0.143943	0.019114
piece_id	Bach_IchStehAnDeinerKrippe	57	26.32	5.26	29.82	43.86	8.77	19.3	33.33	14.29	38.89	0.0	0.0	44.23	0.0	0.0	0.0	33.33	0.0	0.0	34.62	0.0	0.0	230.54	547.9	360.26	172.95	894.23	879.08	188.44	0.005829	0.09377	0.031439	0.003741	0.097662	0.230686	0.027779
piece_id	Crueger_AufAufMeinHerzMitFreuden	38	21.05	2.63	7.89	26.32	2.63	31.58	26.32	16.67	21.62	0.0	0.0	21.62	0.0	0.0	0.0	35.14	0.0	0.0	35.14	0.0	0.0	90.11	425.94	250.53	172.99	619.27	606.44	108.29	0.002871	0.06182	0.022573	0.002476	0.060767	0.161141	0.018014
piece_id	Drese_JesuGehVoran	29	31.03	13.79	24.14	44.83	10.34	20.69	41.38	10.0	28.0	0.0	0.0	34.62	0.0	0.0	0.0	36.0	0.0	0.0	34.62	0.0	0.0	72.0	315.77	226.17	106.21	450.6	380.42	86.59	0.002163	0.053315	0.019262	0.001754	0.047313	0.100355	0.014067
piece_id	Gesius_BefiehlDuDeineWege	47	29.79	6.38	17.02	23.4	8.51	17.02	31.91	12.12	29.55	0.0	0.0	30.23	0.0	0.0	0.0	34.09	0.0	0.0	34.88	0.0	0.0	152.71	431.61	284.19	155.47	664.57	676.61	156.44	0.004352	0.076952	0.021939	0.002721	0.074179	0.172646	0.02319
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	43	37.21	13.95	34.88	37.21	4.65	32.56	27.91	11.11	37.84	0.0	0.0	29.27	0.0	0.0	0.0	40.54	0.0	0.0	36.59	0.0	0.0	147.13	467.77	291.29	123.31	683.76	619.88	138.5	0.003701	0.066245	0.022954	0.002467	0.071483	0.164975	0.019573
piece_id	Jan_DuGrosserSchmerzensmann	43	20.93	4.65	27.91	23.26	2.33	23.26	16.28	5.88	24.39	0.0	0.0	23.81	0.0	0.0	0.0	34.15	0.0	0.0	33.33	0.0	0.0	136.63	467.82	176.4	109.06	687.7	714.65	119.2	0.004208	0.071802	0.01386	0.00258	0.111574	0.189877	0.02086
piece_id	Telemann_DerLiebenSonneLichtUndPracht	49	36.73	18.37	30.61	46.94	20.41	46.94	28.57	9.68	30.0	0.0	0.0	41.03	0.0	0.0	0.0	40.0	0.0	0.0	41.03	0.0	0.0	142.96	525.3	257.44	157.35	829.91	775.78	152.93	0.004367	0.092753	0.020582	0.003235	0.123801	0.207671	0.025125
piece_id	Vulpius_ChristusDerIstMeinLeben	63	26.98	11.11	41.27	22.22	9.52	22.22	20.63	17.39	28.57	0.0	0.0	29.82	0.0	2.0	0.0	41.07	0.0	0.0	40.35	0.0	0.0	205.36	766.42	299.76	167.22	1060.35	1130.55	213.07	0.00587	0.11439	0.027862	0.003869	0.107292	0.304749	0.033856
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	35	20.0	8.57	25.71	17.14	8.57	20.0	22.86	21.43	31.25	0.0	0.0	43.75	0.0	0.0	0.0	37.5	0.0	0.0	37.5	0.0	0.0	109.19	381.61	279.09	103.03	569.51	422.24	106.58	0.003709	0.06745	0.024066	0.002366	0.05826	0.11304	0.017737
is_nota_correct	0	360	24.44	7.5	21.94	29.44	7.78	9.17	28.61	11.76	30.93	0.0	0.39	32.83	0.0	0.39	0.0	36.04	0.0	0.0	36.14	0.0	0.0	1133.8	3809.53	2113.26	1103.25	5764.75	5504.36	1145.1	0.031863	0.608242	0.174296	0.02236	0.680983	1.454597	0.17601
is_nota_correct	1	87	41.38	18.39	45.98	36.78	11.49	89.66	19.54	17.65	30.99	0.0	0.0	38.96	0.0	0.0	0.0	40.85	0.0	0.0	37.66	0.0	0.0	301.38	947.18	476.18	299.28	1325.75	1269.69	269.81	0.008689	0.1571	0.041635	0.005353	0.140987	0.334487	0.043305
meta-question_id	0	38	28.95	5.26	13.16	23.68	5.26	18.42	23.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.33	0.0	0.0	33.33	0.0	0.0	91.18	367.59	154.46	99.56	622.64	529.17	91.5	0.002888	0.059152	0.012611	0.001814	0.066075	0.136794	0.016934
meta-question_id	1	36	33.33	11.11	13.89	16.67	16.67	25.0	41.67	0.0	15.62	0.0	3.33	16.67	0.0	0.0	0.0	37.5	0.0	0.0	40.0	0.0	0.0	87.74	353.14	85.59	102.24	576.22	557.19	108.63	0.002867	0.05775	0.006438	0.001821	0.059554	0.141627	0.017173
