Criterion_Type	Criterion_Value	Total_Items	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price	aggregate-gpt-4o_Accuracy_Percent	aggregate-gpt-4o_Unparsable_Percent	aggregate-gpt-4o_Model_Error_Percent	aggregate-gpt-4o_Total_Time_s	aggregate-gpt-4o_Total_Price	google_gemini-2.5-flash-lite_Accuracy_Percent	google_gemini-2.5-flash-lite_Unparsable_Percent	google_gemini-2.5-flash-lite_Model_Error_Percent	google_gemini-2.5-flash-lite_Total_Time_s	google_gemini-2.5-flash-lite_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price	aggregate-gpt-5_Accuracy_Percent	aggregate-gpt-5_Unparsable_Percent	aggregate-gpt-5_Model_Error_Percent	aggregate-gpt-5_Total_Time_s	aggregate-gpt-5_Total_Price	xiaomi_mimo-v2-omni_Accuracy_Percent	xiaomi_mimo-v2-omni_Unparsable_Percent	xiaomi_mimo-v2-omni_Model_Error_Percent	xiaomi_mimo-v2-omni_Total_Time_s	xiaomi_mimo-v2-omni_Total_Price	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price
OVERALL	ALL	447	27.74	12.69	0.0	1435.19	0.040552	9.62	30.94	36.88	4756.71	0.765342	26.62	0.0	0.0	2589.43	0.21593	30.87	0.32	0.0	1402.53	0.027713	8.5	33.99	36.43	7090.5	0.82197	24.83	0.0	0.0	6774.05	1.789083	26.85	0.31	0.0	1414.91	0.219315
submodality	audio.mastermix.wav	149	27.52	2.78	0.0	470.05	0.012437	0.0	0.0	100.0	3243.07	0.0	20.13	0.0	0.0	510.87	0.035708	28.86	0.94	0.0	248.14	0.01013	0.0	0.0	100.0	3127.25	0.0	24.16	0.0	0.0	2071.77	0.540927	24.83	0.0	0.0	421.62	0.061696
submodality	symbolic.musicxml	151	28.48	20.37	0.0	522.25	0.015158	25.83	6.25	0.0	1170.08	0.605207	26.49	0.0	0.0	919.05	0.075393	33.11	0.0	0.0	629.68	0.008675	15.23	52.34	0.0	2022.74	0.387895	26.49	0.0	0.0	2261.52	0.597691	33.11	0.0	0.0	503.12	0.079549
submodality	visual.short.png	147	27.21	14.95	0.0	442.88	0.012957	2.72	82.52	0.0	343.56	0.160135	33.33	0.0	0.0	1159.52	0.10483	30.61	0.0	0.0	524.71	0.008908	10.2	54.55	0.0	1940.51	0.434075	23.81	0.0	0.0	2440.77	0.650465	22.45	0.88	0.0	490.17	0.07807
piece_id	Anonymous_AusMeinesHerzensGrunde	43	25.58	6.25	0.0	148.56	0.003482	11.63	36.84	36.84	426.57	0.066845	16.28	0.0	0.0	164.31	0.011391	23.26	3.03	0.0	134.95	0.002504	6.98	42.5	35.0	630.6	0.069641	13.95	0.0	0.0	568.42	0.143943	23.26	0.0	0.0	144.86	0.019114
piece_id	Bach_IchStehAnDeinerKrippe	57	26.32	14.29	0.0	230.54	0.005829	5.26	38.89	33.33	547.9	0.09377	29.82	0.0	0.0	360.26	0.031439	43.86	0.0	0.0	172.95	0.003741	8.77	44.23	34.62	894.23	0.097662	19.3	0.0	0.0	879.08	0.230686	33.33	0.0	0.0	188.44	0.027779
piece_id	Crueger_AufAufMeinHerzMitFreuden	38	21.05	16.67	0.0	90.11	0.002871	2.63	21.62	35.14	425.94	0.06182	7.89	0.0	0.0	250.53	0.022573	26.32	0.0	0.0	172.99	0.002476	2.63	21.62	35.14	619.27	0.060767	31.58	0.0	0.0	606.44	0.161141	26.32	0.0	0.0	108.29	0.018014
piece_id	Drese_JesuGehVoran	29	31.03	10.0	0.0	72.0	0.002163	13.79	28.0	36.0	315.77	0.053315	24.14	0.0	0.0	226.17	0.019262	44.83	0.0	0.0	106.21	0.001754	10.34	34.62	34.62	450.6	0.047313	20.69	0.0	0.0	380.42	0.100355	41.38	0.0	0.0	86.59	0.014067
piece_id	Gesius_BefiehlDuDeineWege	47	29.79	12.12	0.0	152.71	0.004352	6.38	29.55	34.09	431.61	0.076952	17.02	0.0	0.0	284.19	0.021939	23.4	0.0	0.0	155.47	0.002721	8.51	30.23	34.88	664.57	0.074179	17.02	0.0	0.0	676.61	0.172646	31.91	0.0	0.0	156.44	0.02319
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	43	37.21	11.11	0.0	147.13	0.003701	13.95	37.84	40.54	467.77	0.066245	34.88	0.0	0.0	291.29	0.022954	37.21	0.0	0.0	123.31	0.002467	4.65	29.27	36.59	683.76	0.071483	32.56	0.0	0.0	619.88	0.164975	27.91	0.0	0.0	138.5	0.019573
