Criterion_Type	Criterion_Value	Total_Items	google_gemini-2.0-flash-lite-001	aggregate-gpt-4o	google_gemini-2.5-flash-lite	aggregate-mistral	aggregate-gpt-5	xiaomi_mimo-v2-omni	google_gemini-3.1-flash-lite-preview
OVERALL	ALL	447	33.78	32.66	29.98	33.56	32.89	36.91	38.26
submodality	audio.mastermix.wav	149	29.53	26.85	24.16	30.87	18.12	24.83	34.9
submodality	symbolic.musicxml	151	33.77	39.07	39.07	35.1	51.66	50.33	46.36
submodality	visual.short.png	147	38.1	31.97	26.53	34.69	28.57	35.37	33.33
piece_id	Anonymous_AusMeinesHerzensGrunde	43	30.23	37.21	32.56	32.56	32.56	44.19	44.19
piece_id	Bach_IchStehAnDeinerKrippe	57	31.58	35.09	29.82	31.58	28.07	31.58	33.33
piece_id	Crueger_AufAufMeinHerzMitFreuden	38	42.11	23.68	18.42	28.95	39.47	44.74	42.11
piece_id	Drese_JesuGehVoran	29	37.93	48.28	48.28	51.72	48.28	58.62	55.17
piece_id	Gesius_BefiehlDuDeineWege	47	40.43	31.91	36.17	34.04	34.04	40.43	38.3
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	43	39.53	32.56	25.58	39.53	34.88	37.21	32.56
piece_id	Jan_DuGrosserSchmerzensmann	43	25.58	23.26	25.58	20.93	25.58	27.91	23.26
piece_id	Telemann_DerLiebenSonneLichtUndPracht	49	38.78	40.82	30.61	44.9	34.69	40.82	48.98
piece_id	Vulpius_ChristusDerIstMeinLeben	63	31.75	30.16	33.33	28.57	28.57	25.4	33.33
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	35	20.0	25.71	20.0	28.57	31.43	31.43	40.0
is_nota_correct	0	360	36.39	33.61	31.67	33.89	30.83	33.06	37.22
is_nota_correct	1	87	22.99	28.74	22.99	32.18	41.38	52.87	42.53
meta-question_id	0	38	26.32	26.32	28.95	31.58	23.68	23.68	34.21
meta-question_id	1	36	38.89	55.56	50.0	36.11	58.33	61.11	55.56
meta-question_id	2	40	20.0	15.0	17.5	25.0	20.0	25.0	15.0
meta-question_id	3	36	58.33	72.22	47.22	55.56	50.0	72.22	83.33
meta-question_id	4	72	22.22	18.06	20.83	33.33	26.39	16.67	18.06
meta-question_id	5	37	59.46	59.46	62.16	59.46	51.35	56.76	59.46
meta-question_id	6	37	13.51	8.11	5.41	8.11	10.81	10.81	2.7
meta-question_id	7	37	51.35	37.84	32.43	24.32	35.14	32.43	51.35
meta-question_id	8	78	42.31	34.62	32.05	39.74	32.05	52.56	53.85
meta-question_id	9	36	8.33	13.89	11.11	16.67	30.56	22.22	13.89
category	harmony	151	36.42	30.46	27.15	30.46	32.45	40.4	43.71
category	pitch	150	35.33	41.33	35.33	36.67	37.33	44.67	46.0
category	rhythm	146	29.45	26.03	27.4	33.56	28.77	25.34	24.66
subcategory	harmony-absolute	78	42.31	34.62	32.05	39.74	32.05	52.56	53.85
subcategory	harmony-relative	73	30.14	26.03	21.92	20.55	32.88	27.4	32.88
subcategory	pitch-absolute	74	32.43	40.54	39.19	33.78	40.54	41.89	44.59
subcategory	pitch-relative	76	38.16	42.11	31.58	39.47	34.21	47.37	47.37
subcategory	rhythm-absolute	72	22.22	18.06	20.83	33.33	26.39	16.67	18.06
subcategory	rhythm-relative	74	36.49	33.78	33.78	33.78	31.08	33.78	31.08
skill	cadence recognition	36	8.33	13.89	11.11	16.67	30.56	22.22	13.89
skill	chord recognition	78	42.31	34.62	32.05	39.74	32.05	52.56	53.85
skill	interval recognition	40	20.0	15.0	17.5	25.0	20.0	25.0	15.0
skill	interval statistics	36	58.33	72.22	47.22	55.56	50.0	72.22	83.33
skill	note length	72	22.22	18.06	20.83	33.33	26.39	16.67	18.06
skill	pitch recognition	38	26.32	26.32	28.95	31.58	23.68	23.68	34.21
skill	pitch statistics	36	38.89	55.56	50.0	36.11	58.33	61.11	55.56
skill	rhythm pattern	37	13.51	8.11	5.41	8.11	10.81	10.81	2.7
skill	time signature	37	59.46	59.46	62.16	59.46	51.35	56.76	59.46
skill	tonality recognition	37	51.35	37.84	32.43	24.32	35.14	32.43	51.35
rel/abs	absolute	224	32.59	31.25	30.8	35.71	33.04	37.5	39.29
rel/abs	relative	223	34.98	34.08	29.15	31.39	32.74	36.32	37.22
