Criterion_Type	Criterion_Value	Total_Items	google_gemini-2.0-flash-lite-001_Accuracy_Percent	google_gemini-2.0-flash-lite-001_Unparsable_Percent	google_gemini-2.0-flash-lite-001_Model_Error_Percent	google_gemini-2.0-flash-lite-001_Total_Time_s	google_gemini-2.0-flash-lite-001_Total_Price	aggregate-gpt-4o_Accuracy_Percent	aggregate-gpt-4o_Unparsable_Percent	aggregate-gpt-4o_Model_Error_Percent	aggregate-gpt-4o_Total_Time_s	aggregate-gpt-4o_Total_Price	google_gemini-2.5-flash-lite_Accuracy_Percent	google_gemini-2.5-flash-lite_Unparsable_Percent	google_gemini-2.5-flash-lite_Model_Error_Percent	google_gemini-2.5-flash-lite_Total_Time_s	google_gemini-2.5-flash-lite_Total_Price	aggregate-mistral_Accuracy_Percent	aggregate-mistral_Unparsable_Percent	aggregate-mistral_Model_Error_Percent	aggregate-mistral_Total_Time_s	aggregate-mistral_Total_Price	aggregate-gpt-5_Accuracy_Percent	aggregate-gpt-5_Unparsable_Percent	aggregate-gpt-5_Model_Error_Percent	aggregate-gpt-5_Total_Time_s	aggregate-gpt-5_Total_Price	xiaomi_mimo-v2-omni_Accuracy_Percent	xiaomi_mimo-v2-omni_Unparsable_Percent	xiaomi_mimo-v2-omni_Model_Error_Percent	xiaomi_mimo-v2-omni_Total_Time_s	xiaomi_mimo-v2-omni_Total_Price	google_gemini-3.1-flash-lite-preview_Accuracy_Percent	google_gemini-3.1-flash-lite-preview_Unparsable_Percent	google_gemini-3.1-flash-lite-preview_Model_Error_Percent	google_gemini-3.1-flash-lite-preview_Total_Time_s	google_gemini-3.1-flash-lite-preview_Total_Price
OVERALL	ALL	447	33.78	0.0	0.0	1424.79	0.322856	32.66	1.99	0.0	3933.58	11.101098	29.98	0.32	0.0	7047.43	1.005334	33.56	0.0	0.0	3167.53	0.952859	32.89	11.33	0.0	8583.77	8.851476	36.91	11.7	0.35	17608.81	6.80316	38.26	0.36	0.0	2028.41	1.291541
submodality	audio.mastermix.wav	149	29.53	0.0	0.0	567.87	0.015034	26.85	0.0	0.0	1245.37	2.671887	24.16	0.0	0.0	1705.68	0.148801	30.87	0.0	0.0	947.55	0.634853	18.12	27.87	0.0	1142.45	0.100903	24.83	28.57	0.0	8886.17	2.959227	34.9	0.0	0.0	598.84	0.104646
submodality	symbolic.musicxml	151	33.77	0.0	0.0	503.42	0.290148	39.07	0.0	0.0	2135.11	8.115062	39.07	0.0	0.0	2161.45	0.568639	35.1	0.0	0.0	1296.92	0.303896	51.66	0.0	0.0	4527.78	8.231772	50.33	0.0	1.33	5035.3	2.822895	46.36	1.23	0.0	724.85	1.044072
submodality	visual.short.png	147	38.1	0.0	0.0	353.5	0.017673	31.97	6.0	0.0	553.1	0.314147	26.53	0.93	0.0	3180.29	0.287893	34.69	0.0	0.0	923.05	0.01411	28.57	0.0	0.0	2913.55	0.518801	35.37	1.05	0.0	3687.34	1.021038	33.33	0.0	0.0	704.72	0.142822
piece_id	Anonymous_AusMeinesHerzensGrunde	43	30.23	0.0	0.0	173.12	0.038982	37.21	0.0	0.0	396.57	1.340935	32.56	0.0	0.0	534.95	0.097174	32.56	0.0	0.0	410.37	0.127785	32.56	13.79	0.0	808.51	1.041582	44.19	16.67	0.0	1556.35	0.636841	44.19	0.0	0.0	178.52	0.152516
piece_id	Bach_IchStehAnDeinerKrippe	57	31.58	0.0	0.0	175.67	0.043567	35.09	0.0	0.0	549.8	1.505448	29.82	0.0	0.0	956.79	0.137008	31.58	0.0	0.0	449.84	0.126445	28.07	2.44	0.0	1090.97	1.203258	31.58	12.82	0.0	2215.97	0.899722	33.33	0.0	0.0	267.86	0.172284
piece_id	Crueger_AufAufMeinHerzMitFreuden	38	42.11	0.0	0.0	108.61	0.029879	23.68	0.0	0.0	361.68	1.046215	18.42	0.0	0.0	569.15	0.085691	28.95	0.0	0.0	589.74	0.101649	39.47	4.35	0.0	668.71	0.805846	44.74	14.29	0.0	1786.94	0.68322	42.11	0.0	0.0	167.42	0.11902
piece_id	Drese_JesuGehVoran	29	37.93	0.0	0.0	103.19	0.018984	48.28	0.0	0.0	223.82	0.637557	48.28	0.0	0.0	505.21	0.064021	51.72	0.0	0.0	151.59	0.049873	48.28	6.67	0.0	539.84	0.529748	58.62	8.33	0.0	1201.07	0.457511	55.17	0.0	0.0	153.4	0.079036
piece_id	Gesius_BefiehlDuDeineWege	47	40.43	0.0	0.0	145.14	0.036313	31.91	3.12	0.0	453.13	1.261195	36.17	0.0	0.0	794.26	0.11309	34.04	0.0	0.0	327.41	0.104736	34.04	6.45	0.0	838.48	0.981634	40.43	10.71	0.0	1672.54	0.654937	38.3	0.0	0.0	239.3	0.145355
piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	43	39.53	0.0	0.0	144.47	0.028237	32.56	6.9	0.0	353.73	0.97637	25.58	0.0	0.0	666.68	0.094453	39.53	0.0	0.0	208.23	0.081726	34.88	17.86	0.0	867.45	0.783815	37.21	11.11	0.0	1470.44	0.577915	32.56	0.0	0.0	162.7	0.114438
piece_id	Jan_DuGrosserSchmerzensmann	43	25.58	0.0	0.0	139.96	0.033959	23.26	6.06	0.0	374.31	1.122035	25.58	0.0	0.0	646.36	0.098294	20.93	0.0	0.0	232.9	0.092319	25.58	9.38	0.0	847.53	0.936886	27.91	19.35	0.0	2250.02	0.857702	23.26	0.0	0.0	185.69	0.134857
piece_id	Telemann_DerLiebenSonneLichtUndPracht	49	38.78	0.0	0.0	178.56	0.043486	40.82	3.45	0.0	507.47	1.525455	30.61	2.94	0.0	869.69	0.127886	44.9	0.0	0.0	363.3	0.138343	34.69	12.5	0.0	983.03	1.164876	40.82	3.45	3.45	1854.45	0.681718	48.98	0.0	0.0	231.92	0.170096
piece_id	Vulpius_ChristusDerIstMeinLeben	63	31.75	0.0	0.0	161.06	0.031267	30.16	0.0	0.0	497.88	1.120228	33.33	0.0	0.0	968.08	0.122854	28.57	0.0	0.0	277.53	0.093534	28.57	13.33	0.0	1287.03	0.890552	25.4	10.64	0.0	2246.65	0.846806	33.33	2.38	0.0	289.48	0.12888
piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	35	20.0	0.0	0.0	95.02	0.018182	25.71	0.0	0.0	215.19	0.56566	20.0	0.0	0.0	536.26	0.064861	28.57	0.0	0.0	156.62	0.036449	31.43	29.17	0.0	652.23	0.513279	31.43	8.33	0.0	1354.38	0.506787	40.0	0.0	0.0	152.13	0.075058
is_nota_correct	0	360	36.39	0.0	0.0	1143.9	0.258999	33.61	1.67	0.0	3176.13	8.954465	31.67	0.0	0.0	5763.85	0.813559	33.89	0.0	0.0	2599.12	0.776684	30.83	11.24	0.0	6969.24	7.119478	33.06	11.2	0.41	14361.02	5.516034	37.22	0.44	0.0	1652.16	1.039067
is_nota_correct	1	87	22.99	0.0	0.0	280.89	0.063856	28.74	3.23	0.0	757.45	2.146632	22.99	1.49	0.0	1283.57	0.191774	32.18	0.0	0.0	568.41	0.176175	41.38	11.76	0.0	1614.54	1.731998	52.87	14.63	0.0	3247.78	1.287126	42.53	0.0	0.0	376.25	0.252474
meta-question_id	0	38	26.32	0.0	0.0	105.35	0.029202	26.32	0.0	0.0	300.39	0.971445	28.95	0.0	0.0	378.11	0.068593	31.58	0.0	0.0	252.51	0.08223	23.68	0.0	0.0	638.48	0.774767	23.68	10.34	0.0	1454.36	0.571147	34.21	0.0	0.0	178.07	0.115425
meta-question_id	1	36	38.89	0.0	0.0	101.39	0.032108	55.56	0.0	0.0	307.61	1.086658	50.0	0.0	0.0	429.17	0.078261	36.11	0.0	0.0	615.04	0.104135	58.33	13.33	0.0	624.06	0.859339	61.11	28.57	0.0	1590.35	0.629158	55.56	0.0	0.0	156.75	0.127617
