Model	Criterion_Type	Criterion_Value	Mean_Accuracy (10 runs)	StdDev_Accuracy (10 runs)	Mean_Unparsable_Percent	Mean_Model_Error_Percent	Sum_Total_Time_s	Sum_Total_Price
aggregate-mistral	OVERALL	ALL	34.481	1.7417	0.173	0.0	25417.44	9.5229
aggregate-mistral	submodality	audio.mastermix.wav	30.874	4.6559	0.515	0.0	6984.12	6.2761
aggregate-mistral	submodality	symbolic.musicxml	41.375	3.5856	0.0	0.0	10182.67	3.0428
aggregate-mistral	submodality	visual.short.png	31.19	3.133	0.0	0.0	8250.61	0.2041
aggregate-mistral	piece_id	Anonymous_AusMeinesHerzensGrunde	32.166	7.3817	0.0	0.0	3511.12	1.4448
aggregate-mistral	piece_id	Bach_IchStehAnDeinerKrippe	30.547	7.4184	0.278	0.0	3148.8	1.1071
aggregate-mistral	piece_id	Crueger_AufAufMeinHerzMitFreuden	37.277	6.4839	0.0	0.0	2392.86	1.1021
aggregate-mistral	piece_id	Drese_JesuGehVoran	35.281	8.9241	0.0	0.0	2015.36	0.7542
aggregate-mistral	piece_id	Gesius_BefiehlDuDeineWege	38.216	6.4992	0.82	0.0	2252.79	1.0088
aggregate-mistral	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	30.907	7.5751	0.222	0.0	2904.96	0.854
aggregate-mistral	piece_id	Jan_DuGrosserSchmerzensmann	34.569	8.0765	0.286	0.0	2329.65	0.8766
aggregate-mistral	piece_id	Telemann_DerLiebenSonneLichtUndPracht	38.609	8.9005	0.0	0.0	2693.36	1.2241
aggregate-mistral	piece_id	Vulpius_ChristusDerIstMeinLeben	33.594	9.6998	0.0	0.0	2088.03	0.6306
aggregate-mistral	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	32.456	7.0598	0.0	0.0	2080.54	0.5207
aggregate-mistral	is_nota_correct	0	36.057	2.0223	0.173	0.0	20496.24	7.6091
aggregate-mistral	is_nota_correct	1	28.41	3.5084	0.185	0.0	4921.19	1.9139
aggregate-mistral	meta-question_id	0	22.045	6.385	0.0	0.0	1640.58	0.7705
aggregate-mistral	meta-question_id	1	50.803	7.8319	0.0	0.0	2172.6	0.8234
aggregate-mistral	meta-question_id	2	25.509	6.9745	1.098	0.0	1982.05	0.7988
aggregate-mistral	meta-question_id	3	49.693	11.2258	0.476	0.0	4300.0	0.873
aggregate-mistral	meta-question_id	4	36.413	7.5008	0.0	0.0	3737.61	1.5657
aggregate-mistral	meta-question_id	5	53.732	6.7846	0.0	0.0	1332.63	0.7393
aggregate-mistral	meta-question_id	6	8.157	4.7436	0.0	0.0	2051.78	0.8414
aggregate-mistral	meta-question_id	7	29.796	8.6038	0.0	0.0	1432.98	0.7125
aggregate-mistral	meta-question_id	8	39.314	6.531	0.244	0.0	4294.0	1.5787
aggregate-mistral	meta-question_id	9	24.302	5.6696	0.0	0.0	2473.2	0.8196
aggregate-mistral	category	harmony	33.067	3.942	0.11	0.0	8200.19	3.1108
aggregate-mistral	category	pitch	36.911	3.5251	0.441	0.0	10095.25	3.2657
aggregate-mistral	category	rhythm	33.431	4.136	0.0	0.0	7122.04	3.1464
aggregate-mistral	subcategory	harmony-absolute	39.314	6.531	0.244	0.0	4294.0	1.5787
aggregate-mistral	subcategory	harmony-relative	26.921	5.003	0.0	0.0	3906.17	1.5321
aggregate-mistral	subcategory	pitch-absolute	36.305	6.0884	0.0	0.0	3813.15	1.5939
aggregate-mistral	subcategory	pitch-relative	37.617	4.108	0.808	0.0	6282.08	1.6718
aggregate-mistral	subcategory	rhythm-absolute	36.413	7.5008	0.0	0.0	3737.61	1.5657
aggregate-mistral	subcategory	rhythm-relative	30.616	4.6014	0.0	0.0	3384.41	1.5807
aggregate-mistral	skill	cadence recognition	24.302	5.6696	0.0	0.0	2473.2	0.8196
aggregate-mistral	skill	chord recognition	39.314	6.531	0.244	0.0	4294.0	1.5787
aggregate-mistral	skill	interval recognition	25.509	6.9745	1.098	0.0	1982.05	0.7988
aggregate-mistral	skill	interval statistics	49.693	11.2258	0.476	0.0	4300.0	0.873
aggregate-mistral	skill	note length	36.413	7.5008	0.0	0.0	3737.61	1.5657
aggregate-mistral	skill	pitch recognition	22.045	6.385	0.0	0.0	1640.58	0.7705
aggregate-mistral	skill	pitch statistics	50.803	7.8319	0.0	0.0	2172.6	0.8234
aggregate-mistral	skill	rhythm pattern	8.157	4.7436	0.0	0.0	2051.78	0.8414
aggregate-mistral	skill	time signature	53.732	6.7846	0.0	0.0	1332.63	0.7393
aggregate-mistral	skill	tonality recognition	29.796	8.6038	0.0	0.0	1432.98	0.7125
aggregate-mistral	rel/abs	absolute	37.324	3.5507	0.069	0.0	11844.79	4.7383
aggregate-mistral	rel/abs	relative	31.708	2.6792	0.253	0.0	13572.65	4.7847
