Model	Criterion_Type	Criterion_Value	Mean_Accuracy (10 runs)	StdDev_Accuracy (10 runs)	Mean_Unparsable_Percent	Mean_Model_Error_Percent	Sum_Total_Time_s	Sum_Total_Price
text-only-google/gemini-2.0-flash-lite-001	OVERALL	ALL	25.524	1.5003	9.685	1.102	38197.78	1.0077
text-only-google/gemini-2.0-flash-lite-001	submodality	audio.mastermix.wav	26.51	2.8093	4.917	1.359	12220.2	0.3077
text-only-google/gemini-2.0-flash-lite-001	submodality	symbolic.musicxml	25.0	2.4033	13.353	1.031	13602.27	0.3777
text-only-google/gemini-2.0-flash-lite-001	submodality	visual.short.png	25.028	2.1213	10.806	0.922	12375.33	0.3222
text-only-google/gemini-2.0-flash-lite-001	piece_id	Anonymous_AusMeinesHerzensGrunde	24.747	2.807	9.315	1.182	3929.95	0.1055
text-only-google/gemini-2.0-flash-lite-001	piece_id	Bach_IchStehAnDeinerKrippe	27.577	4.3881	9.658	0.54	3659.0	0.0982
text-only-google/gemini-2.0-flash-lite-001	piece_id	Crueger_AufAufMeinHerzMitFreuden	24.715	2.6082	13.222	1.126	3661.49	0.0944
text-only-google/gemini-2.0-flash-lite-001	piece_id	Drese_JesuGehVoran	28.224	4.3064	10.08	1.445	4206.14	0.1065
text-only-google/gemini-2.0-flash-lite-001	piece_id	Gesius_BefiehlDuDeineWege	24.852	3.8807	8.498	1.521	3857.73	0.098
text-only-google/gemini-2.0-flash-lite-001	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	25.431	5.3149	8.775	1.421	3943.12	0.1019
text-only-google/gemini-2.0-flash-lite-001	piece_id	Jan_DuGrosserSchmerzensmann	24.732	4.319	9.523	1.157	3932.1	0.1022
text-only-google/gemini-2.0-flash-lite-001	piece_id	Telemann_DerLiebenSonneLichtUndPracht	25.562	5.809	9.454	0.765	3659.9	0.1014
text-only-google/gemini-2.0-flash-lite-001	piece_id	Vulpius_ChristusDerIstMeinLeben	25.676	3.4747	9.895	0.878	3815.88	0.1039
text-only-google/gemini-2.0-flash-lite-001	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	24.251	4.1957	8.941	1.095	3532.47	0.0957
text-only-google/gemini-2.0-flash-lite-001	is_nota_correct	0	21.646	1.6234	9.204	1.073	30498.54	0.8018
text-only-google/gemini-2.0-flash-lite-001	is_nota_correct	1	40.959	1.6984	12.232	1.272	7699.26	0.2059
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	0	24.213	5.358	0.0	0.864	3201.04	0.0687
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	1	30.419	4.5978	1.516	1.583	2833.52	0.0666
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	2	17.981	5.0718	21.055	1.159	2993.28	0.0813
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	3	38.538	7.1554	4.398	0.0	2263.23	0.0742
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	4	23.107	3.2499	6.348	1.137	5987.74	0.1594
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	5	44.468	4.6903	4.582	1.053	1176.29	0.0293
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	6	20.605	3.772	2.966	1.333	5809.0	0.1543
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	7	29.405	5.4556	6.977	0.141	3454.34	0.1101
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	8	26.968	2.8207	20.535	1.601	7240.31	0.1902
text-only-google/gemini-2.0-flash-lite-001	meta-question_id	9	15.404	3.2511	18.971	1.319	3239.05	0.0736
text-only-google/gemini-2.0-flash-lite-001	category	harmony	24.64	2.161	16.928	1.194	13933.67	0.3739
text-only-google/gemini-2.0-flash-lite-001	category	pitch	27.762	2.8612	7.31	0.899	11291.03	0.2907
text-only-google/gemini-2.0-flash-lite-001	category	rhythm	24.185	1.3724	4.752	1.207	12973.04	0.343
text-only-google/gemini-2.0-flash-lite-001	subcategory	harmony-absolute	26.968	2.8207	20.535	1.601	7240.31	0.1902
text-only-google/gemini-2.0-flash-lite-001	subcategory	harmony-relative	22.368	2.7722	13.566	0.839	6693.37	0.1837
text-only-google/gemini-2.0-flash-lite-001	subcategory	pitch-absolute	27.336	4.062	0.714	1.172	6034.55	0.1353
text-only-google/gemini-2.0-flash-lite-001	subcategory	pitch-relative	28.17	2.8736	13.984	0.656	5256.46	0.1555
text-only-google/gemini-2.0-flash-lite-001	subcategory	rhythm-absolute	23.107	3.2499	6.348	1.137	5987.74	0.1594
text-only-google/gemini-2.0-flash-lite-001	subcategory	rhythm-relative	25.186	2.9018	3.163	1.278	6985.31	0.1836
text-only-google/gemini-2.0-flash-lite-001	skill	cadence recognition	15.404	3.2511	18.971	1.319	3239.05	0.0736
text-only-google/gemini-2.0-flash-lite-001	skill	chord recognition	26.968	2.8207	20.535	1.601	7240.31	0.1902
text-only-google/gemini-2.0-flash-lite-001	skill	interval recognition	17.981	5.0718	21.055	1.159	2993.28	0.0813
text-only-google/gemini-2.0-flash-lite-001	skill	interval statistics	38.538	7.1554	4.398	0.0	2263.23	0.0742
text-only-google/gemini-2.0-flash-lite-001	skill	note length	23.107	3.2499	6.348	1.137	5987.74	0.1594
text-only-google/gemini-2.0-flash-lite-001	skill	pitch recognition	24.213	5.358	0.0	0.864	3201.04	0.0687
text-only-google/gemini-2.0-flash-lite-001	skill	pitch statistics	30.419	4.5978	1.516	1.583	2833.52	0.0666
text-only-google/gemini-2.0-flash-lite-001	skill	rhythm pattern	20.605	3.772	2.966	1.333	5809.0	0.1543
text-only-google/gemini-2.0-flash-lite-001	skill	time signature	44.468	4.6903	4.582	1.053	1176.29	0.0293
text-only-google/gemini-2.0-flash-lite-001	skill	tonality recognition	29.405	5.4556	6.977	0.141	3454.34	0.1101
text-only-google/gemini-2.0-flash-lite-001	rel/abs	absolute	25.786	2.2597	9.146	1.297	19262.61	0.4849
text-only-google/gemini-2.0-flash-lite-001	rel/abs	relative	25.254	1.4935	10.208	0.915	18935.17	0.5227
