Model	Criterion_Type	Criterion_Value	Mean_Accuracy (10 runs)	StdDev_Accuracy (10 runs)	Mean_Unparsable_Percent	Mean_Model_Error_Percent	Sum_Total_Time_s	Sum_Total_Price
google/gemini-3.1-flash-lite-preview	OVERALL	ALL	41.273	3.4671	0.0	0.0	8008.34	6.4477
google/gemini-3.1-flash-lite-preview	submodality	audio.mastermix.wav	35.121	5.7729	0.0	0.0	2273.04	0.4982
google/gemini-3.1-flash-lite-preview	submodality	symbolic.musicxml	45.85	6.2503	0.0	0.0	2761.72	5.2325
google/gemini-3.1-flash-lite-preview	submodality	visual.short.png	42.712	5.814	0.0	0.0	2973.57	0.717
google/gemini-3.1-flash-lite-preview	piece_id	Anonymous_AusMeinesHerzensGrunde	41.066	19.7409	0.0	0.0	915.03	0.891
google/gemini-3.1-flash-lite-preview	piece_id	Bach_IchStehAnDeinerKrippe	43.749	18.3605	0.0	0.0	805.45	0.6764
google/gemini-3.1-flash-lite-preview	piece_id	Crueger_AufAufMeinHerzMitFreuden	35.336	16.4489	0.0	0.0	769.05	0.6729
google/gemini-3.1-flash-lite-preview	piece_id	Drese_JesuGehVoran	43.966	12.6521	0.0	0.0	784.76	0.5617
google/gemini-3.1-flash-lite-preview	piece_id	Gesius_BefiehlDuDeineWege	42.504	13.4636	0.0	0.0	896.13	0.733
google/gemini-3.1-flash-lite-preview	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	48.606	11.726	0.0	0.0	770.13	0.5778
google/gemini-3.1-flash-lite-preview	piece_id	Jan_DuGrosserSchmerzensmann	33.726	12.3449	0.0	0.0	939.37	0.7542
google/gemini-3.1-flash-lite-preview	piece_id	Telemann_DerLiebenSonneLichtUndPracht	38.465	18.8111	0.0	0.0	670.75	0.6509
google/gemini-3.1-flash-lite-preview	piece_id	Vulpius_ChristusDerIstMeinLeben	37.774	15.1209	0.0	0.0	778.59	0.4977
google/gemini-3.1-flash-lite-preview	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	46.207	12.5651	0.0	0.0	679.06	0.4322
