Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
google/gemini-3.1-flash-lite-preview	OVERALL	ALL	106	40	66	0	0	37.74	0.0	0.0	423.33	0.303935
google/gemini-3.1-flash-lite-preview	submodality	audio.mastermix.wav	38	12	26	0	0	31.58	0.0	0.0	128.99	0.025844
google/gemini-3.1-flash-lite-preview	submodality	symbolic.musicxml	35	14	21	0	0	40.0	0.0	0.0	153.37	0.246274
google/gemini-3.1-flash-lite-preview	submodality	visual.short.png	33	14	19	0	0	42.42	0.0	0.0	140.97	0.031818
google/gemini-3.1-flash-lite-preview	piece_id	Anonymous_AusMeinesHerzensGrunde	11	3	8	0	0	27.27	0.0	0.0	46.79	0.034143
google/gemini-3.1-flash-lite-preview	piece_id	Bach_IchStehAnDeinerKrippe	4	3	1	0	0	75.0	0.0	0.0	14.3	0.009137
google/gemini-3.1-flash-lite-preview	piece_id	Crueger_AufAufMeinHerzMitFreuden	12	8	4	0	0	66.67	0.0	0.0	46.06	0.03797
google/gemini-3.1-flash-lite-preview	piece_id	Drese_JesuGehVoran	10	3	7	0	0	30.0	0.0	0.0	37.94	0.021851
google/gemini-3.1-flash-lite-preview	piece_id	Gesius_BefiehlDuDeineWege	16	6	10	0	0	37.5	0.0	0.0	70.13	0.054375
google/gemini-3.1-flash-lite-preview	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	10	3	7	0	0	30.0	0.0	0.0	40.53	0.031011
google/gemini-3.1-flash-lite-preview	piece_id	Jan_DuGrosserSchmerzensmann	14	4	10	0	0	28.57	0.0	0.0	57.69	0.045398
google/gemini-3.1-flash-lite-preview	piece_id	Telemann_DerLiebenSonneLichtUndPracht	9	2	7	0	0	22.22	0.0	0.0	35.59	0.029337
google/gemini-3.1-flash-lite-preview	piece_id	Vulpius_ChristusDerIstMeinLeben	14	5	9	0	0	35.71	0.0	0.0	50.83	0.026464
google/gemini-3.1-flash-lite-preview	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	6	3	3	0	0	50.0	0.0	0.0	23.47	0.014249
google/gemini-3.1-flash-lite-preview	is_nota_correct	0	90	33	57	0	0	36.67	0.0	0.0	356.21	0.25652
google/gemini-3.1-flash-lite-preview	is_nota_correct	1	16	7	9	0	0	43.75	0.0	0.0	67.12	0.047415
google/gemini-3.1-flash-lite-preview	meta-question_id	0	12	5	7	0	0	41.67	0.0	0.0	54.0	0.041093
google/gemini-3.1-flash-lite-preview	meta-question_id	1	7	6	1	0	0	85.71	0.0	0.0	29.97	0.025895
google/gemini-3.1-flash-lite-preview	meta-question_id	2	9	2	7	0	0	22.22	0.0	0.0	39.86	0.024742
google/gemini-3.1-flash-lite-preview	meta-question_id	3	7	7	0	0	0	100.0	0.0	0.0	29.34	0.02036
google/gemini-3.1-flash-lite-preview	meta-question_id	4	18	1	17	0	0	5.56	0.0	0.0	70.02	0.047791
google/gemini-3.1-flash-lite-preview	meta-question_id	5	11	4	7	0	0	36.36	0.0	0.0	37.55	0.026544
