Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
google/gemini-3.1-flash-lite-preview	OVERALL	ALL	113	48	65	0	0	42.48	0.0	0.0	413.31	0.336556
google/gemini-3.1-flash-lite-preview	submodality	audio.mastermix.wav	38	15	23	0	0	39.47	0.0	0.0	107.08	0.026406
google/gemini-3.1-flash-lite-preview	submodality	symbolic.musicxml	37	20	17	0	0	54.05	0.0	0.0	124.3	0.272585
google/gemini-3.1-flash-lite-preview	submodality	visual.short.png	38	13	25	0	0	34.21	0.0	0.0	181.93	0.037565
google/gemini-3.1-flash-lite-preview	piece_id	Anonymous_AusMeinesHerzensGrunde	7	2	5	0	0	28.57	0.0	0.0	17.93	0.021304
google/gemini-3.1-flash-lite-preview	piece_id	Bach_IchStehAnDeinerKrippe	11	7	4	0	0	63.64	0.0	0.0	35.93	0.033958
google/gemini-3.1-flash-lite-preview	piece_id	Crueger_AufAufMeinHerzMitFreuden	25	10	15	0	0	40.0	0.0	0.0	88.42	0.087218
google/gemini-3.1-flash-lite-preview	piece_id	Drese_JesuGehVoran	6	1	5	0	0	16.67	0.0	0.0	23.03	0.014721
google/gemini-3.1-flash-lite-preview	piece_id	Gesius_BefiehlDuDeineWege	7	6	1	0	0	85.71	0.0	0.0	26.37	0.018682
google/gemini-3.1-flash-lite-preview	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	8	1	7	0	0	12.5	0.0	0.0	40.51	0.018861
google/gemini-3.1-flash-lite-preview	piece_id	Jan_DuGrosserSchmerzensmann	22	11	11	0	0	50.0	0.0	0.0	87.4	0.075644
google/gemini-3.1-flash-lite-preview	piece_id	Telemann_DerLiebenSonneLichtUndPracht	13	3	10	0	0	23.08	0.0	0.0	51.39	0.040379
google/gemini-3.1-flash-lite-preview	piece_id	Vulpius_ChristusDerIstMeinLeben	7	5	2	0	0	71.43	0.0	0.0	22.93	0.013232
google/gemini-3.1-flash-lite-preview	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	7	2	5	0	0	28.57	0.0	0.0	19.41	0.012557
google/gemini-3.1-flash-lite-preview	is_nota_correct	0	90	37	53	0	0	41.11	0.0	0.0	319.56	0.267262
google/gemini-3.1-flash-lite-preview	is_nota_correct	1	23	11	12	0	0	47.83	0.0	0.0	93.75	0.069295
google/gemini-3.1-flash-lite-preview	meta-question_id	0	13	6	7	0	0	46.15	0.0	0.0	43.19	0.040552
google/gemini-3.1-flash-lite-preview	meta-question_id	1	8	3	5	0	0	37.5	0.0	0.0	29.59	0.029335
google/gemini-3.1-flash-lite-preview	meta-question_id	2	12	2	10	0	0	16.67	0.0	0.0	51.25	0.038746
google/gemini-3.1-flash-lite-preview	meta-question_id	3	7	6	1	0	0	85.71	0.0	0.0	31.15	0.020933
google/gemini-3.1-flash-lite-preview	meta-question_id	4	18	3	15	0	0	16.67	0.0	0.0	59.75	0.046032
google/gemini-3.1-flash-lite-preview	meta-question_id	5	9	5	4	0	0	55.56	0.0	0.0	22.03	0.024006
google/gemini-3.1-flash-lite-preview	meta-question_id	6	7	0	7	0	0	0.0	0.0	0.0	22.93	0.027735
google/gemini-3.1-flash-lite-preview	meta-question_id	7	11	5	6	0	0	45.45	0.0	0.0	36.5	0.025072
google/gemini-3.1-flash-lite-preview	meta-question_id	8	21	15	6	0	0	71.43	0.0	0.0	89.04	0.05653
google/gemini-3.1-flash-lite-preview	meta-question_id	9	7	3	4	0	0	42.86	0.0	0.0	27.87	0.027616
google/gemini-3.1-flash-lite-preview	category	harmony	39	23	16	0	0	58.97	0.0	0.0	153.42	0.109218
google/gemini-3.1-flash-lite-preview	category	pitch	40	17	23	0	0	42.5	0.0	0.0	155.18	0.129566
google/gemini-3.1-flash-lite-preview	category	rhythm	34	8	26	0	0	23.53	0.0	0.0	104.71	0.097772
google/gemini-3.1-flash-lite-preview	subcategory	harmony-absolute	21	15	6	0	0	71.43	0.0	0.0	89.04	0.05653
google/gemini-3.1-flash-lite-preview	subcategory	harmony-relative	18	8	10	0	0	44.44	0.0	0.0	64.38	0.052687
google/gemini-3.1-flash-lite-preview	subcategory	pitch-absolute	21	9	12	0	0	42.86	0.0	0.0	72.78	0.069887
google/gemini-3.1-flash-lite-preview	subcategory	pitch-relative	19	8	11	0	0	42.11	0.0	0.0	82.4	0.059679
google/gemini-3.1-flash-lite-preview	subcategory	rhythm-absolute	18	3	15	0	0	16.67	0.0	0.0	59.75	0.046032
google/gemini-3.1-flash-lite-preview	subcategory	rhythm-relative	16	5	11	0	0	31.25	0.0	0.0	44.96	0.051741
google/gemini-3.1-flash-lite-preview	skill	cadence recognition	7	3	4	0	0	42.86	0.0	0.0	27.87	0.027616
google/gemini-3.1-flash-lite-preview	skill	chord recognition	21	15	6	0	0	71.43	0.0	0.0	89.04	0.05653
google/gemini-3.1-flash-lite-preview	skill	interval recognition	12	2	10	0	0	16.67	0.0	0.0	51.25	0.038746
google/gemini-3.1-flash-lite-preview	skill	interval statistics	7	6	1	0	0	85.71	0.0	0.0	31.15	0.020933
google/gemini-3.1-flash-lite-preview	skill	note length	18	3	15	0	0	16.67	0.0	0.0	59.75	0.046032
google/gemini-3.1-flash-lite-preview	skill	pitch recognition	13	6	7	0	0	46.15	0.0	0.0	43.19	0.040552
google/gemini-3.1-flash-lite-preview	skill	pitch statistics	8	3	5	0	0	37.5	0.0	0.0	29.59	0.029335
google/gemini-3.1-flash-lite-preview	skill	rhythm pattern	7	0	7	0	0	0.0	0.0	0.0	22.93	0.027735
