Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
xiaomi/mimo-v2-omni	OVERALL	ALL	447	165	282	33	1	36.91	11.7	0.35	17608.81	6.80316
xiaomi/mimo-v2-omni	submodality	audio.mastermix.wav	149	37	112	32	0	24.83	28.57	0.0	8886.17	2.959227
xiaomi/mimo-v2-omni	submodality	symbolic.musicxml	151	76	75	0	1	50.33	0.0	1.33	5035.3	2.822895
xiaomi/mimo-v2-omni	submodality	visual.short.png	147	52	95	1	0	35.37	1.05	0.0	3687.34	1.021038
xiaomi/mimo-v2-omni	piece_id	Anonymous_AusMeinesHerzensGrunde	43	19	24	4	0	44.19	16.67	0.0	1556.35	0.636841
xiaomi/mimo-v2-omni	piece_id	Bach_IchStehAnDeinerKrippe	57	18	39	5	0	31.58	12.82	0.0	2215.97	0.899722
xiaomi/mimo-v2-omni	piece_id	Crueger_AufAufMeinHerzMitFreuden	38	17	21	3	0	44.74	14.29	0.0	1786.94	0.68322
xiaomi/mimo-v2-omni	piece_id	Drese_JesuGehVoran	29	17	12	1	0	58.62	8.33	0.0	1201.07	0.457511
xiaomi/mimo-v2-omni	piece_id	Gesius_BefiehlDuDeineWege	47	19	28	3	0	40.43	10.71	0.0	1672.54	0.654937
xiaomi/mimo-v2-omni	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	43	16	27	3	0	37.21	11.11	0.0	1470.44	0.577915
xiaomi/mimo-v2-omni	piece_id	Jan_DuGrosserSchmerzensmann	43	12	31	6	0	27.91	19.35	0.0	2250.02	0.857702
xiaomi/mimo-v2-omni	piece_id	Telemann_DerLiebenSonneLichtUndPracht	49	20	29	1	1	40.82	3.45	3.45	1854.45	0.681718
xiaomi/mimo-v2-omni	piece_id	Vulpius_ChristusDerIstMeinLeben	63	16	47	5	0	25.4	10.64	0.0	2246.65	0.846806
