Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
text-only-xiaomi/mimo-v2-omni	OVERALL	ALL	447	111	336	0	0	24.83	0.0	0.0	6774.05	1.789083
text-only-xiaomi/mimo-v2-omni	submodality	audio.mastermix.wav	149	36	113	0	0	24.16	0.0	0.0	2071.77	0.540927
text-only-xiaomi/mimo-v2-omni	submodality	symbolic.musicxml	151	40	111	0	0	26.49	0.0	0.0	2261.52	0.597691
text-only-xiaomi/mimo-v2-omni	submodality	visual.short.png	147	35	112	0	0	23.81	0.0	0.0	2440.77	0.650465
text-only-xiaomi/mimo-v2-omni	piece_id	Anonymous_AusMeinesHerzensGrunde	43	6	37	0	0	13.95	0.0	0.0	568.42	0.143943
text-only-xiaomi/mimo-v2-omni	piece_id	Bach_IchStehAnDeinerKrippe	57	11	46	0	0	19.3	0.0	0.0	879.08	0.230686
text-only-xiaomi/mimo-v2-omni	piece_id	Crueger_AufAufMeinHerzMitFreuden	38	12	26	0	0	31.58	0.0	0.0	606.44	0.161141
text-only-xiaomi/mimo-v2-omni	piece_id	Drese_JesuGehVoran	29	6	23	0	0	20.69	0.0	0.0	380.42	0.100355
text-only-xiaomi/mimo-v2-omni	piece_id	Gesius_BefiehlDuDeineWege	47	8	39	0	0	17.02	0.0	0.0	676.61	0.172646
text-only-xiaomi/mimo-v2-omni	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	43	14	29	0	0	32.56	0.0	0.0	619.88	0.164975
text-only-xiaomi/mimo-v2-omni	piece_id	Jan_DuGrosserSchmerzensmann	43	10	33	0	0	23.26	0.0	0.0	714.65	0.189877
text-only-xiaomi/mimo-v2-omni	piece_id	Telemann_DerLiebenSonneLichtUndPracht	49	23	26	0	0	46.94	0.0	0.0	775.78	0.207671
text-only-xiaomi/mimo-v2-omni	piece_id	Vulpius_ChristusDerIstMeinLeben	63	14	49	0	0	22.22	0.0	0.0	1130.55	0.304749
text-only-xiaomi/mimo-v2-omni	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	35	7	28	0	0	20.0	0.0	0.0	422.24	0.11304
text-only-xiaomi/mimo-v2-omni	is_nota_correct	0	360	33	327	0	0	9.17	0.0	0.0	5504.36	1.454597
text-only-xiaomi/mimo-v2-omni	is_nota_correct	1	87	78	9	0	0	89.66	0.0	0.0	1269.69	0.334487
text-only-xiaomi/mimo-v2-omni	meta-question_id	0	38	7	31	0	0	18.42	0.0	0.0	529.17	0.136794
text-only-xiaomi/mimo-v2-omni	meta-question_id	1	36	9	27	0	0	25.0	0.0	0.0	557.19	0.141627
text-only-xiaomi/mimo-v2-omni	meta-question_id	2	40	12	28	0	0	30.0	0.0	0.0	589.15	0.15469
text-only-xiaomi/mimo-v2-omni	meta-question_id	3	36	16	20	0	0	44.44	0.0	0.0	579.31	0.149419
text-only-xiaomi/mimo-v2-omni	meta-question_id	4	72	14	58	0	0	19.44	0.0	0.0	923.16	0.236619
text-only-xiaomi/mimo-v2-omni	meta-question_id	5	37	10	27	0	0	27.03	0.0	0.0	379.02	0.093389
text-only-xiaomi/mimo-v2-omni	meta-question_id	6	37	9	28	0	0	24.32	0.0	0.0	916.08	0.258703
text-only-xiaomi/mimo-v2-omni	meta-question_id	7	37	9	28	0	0	24.32	0.0	0.0	485.26	0.130493
text-only-xiaomi/mimo-v2-omni	meta-question_id	8	78	17	61	0	0	21.79	0.0	0.0	1208.44	0.333297
text-only-xiaomi/mimo-v2-omni	meta-question_id	9	36	8	28	0	0	22.22	0.0	0.0	607.25	0.154052
text-only-xiaomi/mimo-v2-omni	category	harmony	151	34	117	0	0	22.52	0.0	0.0	2300.96	0.617842
text-only-xiaomi/mimo-v2-omni	category	pitch	150	44	106	0	0	29.33	0.0	0.0	2254.83	0.58253
text-only-xiaomi/mimo-v2-omni	category	rhythm	146	33	113	0	0	22.6	0.0	0.0	2218.26	0.588711
text-only-xiaomi/mimo-v2-omni	subcategory	harmony-absolute	78	17	61	0	0	21.79	0.0	0.0	1208.44	0.333297
text-only-xiaomi/mimo-v2-omni	subcategory	harmony-relative	73	17	56	0	0	23.29	0.0	0.0	1092.52	0.284545
text-only-xiaomi/mimo-v2-omni	subcategory	pitch-absolute	74	16	58	0	0	21.62	0.0	0.0	1086.36	0.278421
text-only-xiaomi/mimo-v2-omni	subcategory	pitch-relative	76	28	48	0	0	36.84	0.0	0.0	1168.47	0.304109
text-only-xiaomi/mimo-v2-omni	subcategory	rhythm-absolute	72	14	58	0	0	19.44	0.0	0.0	923.16	0.236619
text-only-xiaomi/mimo-v2-omni	subcategory	rhythm-relative	74	19	55	0	0	25.68	0.0	0.0	1295.1	0.352092
text-only-xiaomi/mimo-v2-omni	skill	cadence recognition	36	8	28	0	0	22.22	0.0	0.0	607.25	0.154052
text-only-xiaomi/mimo-v2-omni	skill	chord recognition	78	17	61	0	0	21.79	0.0	0.0	1208.44	0.333297
text-only-xiaomi/mimo-v2-omni	skill	interval recognition	40	12	28	0	0	30.0	0.0	0.0	589.15	0.15469
text-only-xiaomi/mimo-v2-omni	skill	interval statistics	36	16	20	0	0	44.44	0.0	0.0	579.31	0.149419
text-only-xiaomi/mimo-v2-omni	skill	note length	72	14	58	0	0	19.44	0.0	0.0	923.16	0.236619
text-only-xiaomi/mimo-v2-omni	skill	pitch recognition	38	7	31	0	0	18.42	0.0	0.0	529.17	0.136794
text-only-xiaomi/mimo-v2-omni	skill	pitch statistics	36	9	27	0	0	25.0	0.0	0.0	557.19	0.141627
text-only-xiaomi/mimo-v2-omni	skill	rhythm pattern	37	9	28	0	0	24.32	0.0	0.0	916.08	0.258703
text-only-xiaomi/mimo-v2-omni	skill	time signature	37	10	27	0	0	27.03	0.0	0.0	379.02	0.093389
text-only-xiaomi/mimo-v2-omni	skill	tonality recognition	37	9	28	0	0	24.32	0.0	0.0	485.26	0.130493
text-only-xiaomi/mimo-v2-omni	rel/abs	absolute	224	47	177	0	0	20.98	0.0	0.0	3217.96	0.848338
text-only-xiaomi/mimo-v2-omni	rel/abs	relative	223	64	159	0	0	28.7	0.0	0.0	3556.09	0.940745
