piece_id	dataset	name	path
08_Anima_nostra	choral-synth	08_Anima_nostra	data/choral-synth/08_Anima_nostra
136._Benedict_Regius_Cantabant_Sancti_canticum_a_8	choral-synth	136._Benedict_Regius_Cantabant_Sancti_canticum_a_8	data/choral-synth/136._Benedict_Regius_Cantabant_Sancti_canticum_a_8
140._Leoni%2C_L._Audivi_vocem_Angelorum_a_8	choral-synth	140._Leoni%2C_L._Audivi_vocem_Angelorum_a_8	data/choral-synth/140._Leoni%2C_L._Audivi_vocem_Angelorum_a_8
Hail_to_the_Chief_Leslie	choral-synth	Hail_to_the_Chief_Leslie	data/choral-synth/Hail_to_the_Chief_Leslie
Haydnmesse_4stimmig	choral-synth	Haydnmesse_4stimmig	data/choral-synth/Haydnmesse_4stimmig
HempCW-JustJudge	choral-synth	HempCW-JustJudge	data/choral-synth/HempCW-JustJudge
Honour_and_majesty_are_before_him	choral-synth	Honour_and_majesty_are_before_him	data/choral-synth/Honour_and_majesty_are_before_him
Hunting_song_Macfarren_WC	choral-synth	Hunting_song_Macfarren_WC	data/choral-synth/Hunting_song_Macfarren_WC
I_am_the_bread	choral-synth	I_am_the_bread	data/choral-synth/I_am_the_bread
I_am_the_resurrection_Tomkins	choral-synth	I_am_the_resurrection_Tomkins	data/choral-synth/I_am_the_resurrection_Tomkins
I_know_that_my_Redeemer_Tomkins	choral-synth	I_know_that_my_Redeemer_Tomkins	data/choral-synth/I_know_that_my_Redeemer_Tomkins
I_know_whom_I_have_believed_-_MacFarren	choral-synth	I_know_whom_I_have_believed_-_MacFarren	data/choral-synth/I_know_whom_I_have_believed_-_MacFarren
I_will_recount	choral-synth	I_will_recount	data/choral-synth/I_will_recount
If_I_had_but_two_little_wings_Parry	choral-synth	If_I_had_but_two_little_wings_Parry	data/choral-synth/If_I_had_but_two_little_wings_Parry
If_ye_then_be_risen_with_Christ_Foster	choral-synth	If_ye_then_be_risen_with_Christ_Foster	data/choral-synth/If_ye_then_be_risen_with_Christ_Foster
If_you_love_me	choral-synth	If_you_love_me	data/choral-synth/If_you_love_me
India-Circumdederunt_me	choral-synth	India-Circumdederunt_me	data/choral-synth/India-Circumdederunt_me
India-Deus%2C_Deus_meus_respice	choral-synth	India-Deus%2C_Deus_meus_respice	data/choral-synth/India-Deus%2C_Deus_meus_respice
India-Domine_Deus_vite_meae	choral-synth	India-Domine_Deus_vite_meae	data/choral-synth/India-Domine_Deus_vite_meae
India-Domine_prevenisti_eum	choral-synth	India-Domine_prevenisti_eum	data/choral-synth/India-Domine_prevenisti_eum
