Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
white-noise-aggregate-gpt-4o	OVERALL	ALL	300	65	235	82	0	21.67	34.89	0.0	897.6	4.62235
white-noise-aggregate-gpt-4o	submodality	audio.mastermix.wav	100	36	64	0	0	36.0	0.0	0.0	453.26	2.505037
white-noise-aggregate-gpt-4o	submodality	symbolic.abc.txt	100	29	71	4	0	29.0	5.63	0.0	249.99	1.989252
white-noise-aggregate-gpt-4o	submodality	visual.short.png	100	0	100	78	0	0.0	78.0	0.0	194.35	0.12806
white-noise-aggregate-gpt-4o	piece_id	Anonymous_AusMeinesHerzensGrunde	18	2	16	7	0	11.11	43.75	0.0	49.84	0.277088
white-noise-aggregate-gpt-4o	piece_id	Bach_IchStehAnDeinerKrippe	33	5	28	7	0	15.15	25.0	0.0	98.6	0.50884
white-noise-aggregate-gpt-4o	piece_id	Crueger_AufAufMeinHerzMitFreuden	30	4	26	9	0	13.33	34.62	0.0	101.33	0.46201
white-noise-aggregate-gpt-4o	piece_id	Drese_JesuGehVoran	39	11	28	11	0	28.21	39.29	0.0	112.93	0.601012
white-noise-aggregate-gpt-4o	piece_id	Gesius_BefiehlDuDeineWege	24	3	21	6	0	12.5	28.57	0.0	67.25	0.366355
white-noise-aggregate-gpt-4o	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	42	9	33	13	0	21.43	39.39	0.0	125.13	0.647978
white-noise-aggregate-gpt-4o	piece_id	Jan_DuGrosserSchmerzensmann	42	12	30	9	0	28.57	30.0	0.0	137.18	0.652237
white-noise-aggregate-gpt-4o	piece_id	Telemann_DerLiebenSonneLichtUndPracht	27	6	21	8	0	22.22	38.1	0.0	80.29	0.417237
white-noise-aggregate-gpt-4o	piece_id	Vulpius_ChristusDerIstMeinLeben	21	4	17	6	0	19.05	35.29	0.0	57.61	0.322795
white-noise-aggregate-gpt-4o	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	24	9	15	6	0	37.5	40.0	0.0	67.42	0.366798
