Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
text-only-aggregate-gpt-4o	OVERALL	ALL	112	16	96	29	36	14.29	30.21	37.5	10241.65	0.19069
text-only-aggregate-gpt-4o	submodality	audio.mastermix.wav	36	0	36	0	36	0.0	0.0	100.0	10001.25	0.0
text-only-aggregate-gpt-4o	submodality	symbolic.musicxml	38	10	28	2	0	26.32	7.14	0.0	175.63	0.146555
text-only-aggregate-gpt-4o	submodality	visual.short.png	38	6	32	27	0	15.79	84.38	0.0	64.77	0.044135
text-only-aggregate-gpt-4o	piece_id	Anonymous_AusMeinesHerzensGrunde	8	0	8	2	3	0.0	25.0	37.5	857.96	0.007893
text-only-aggregate-gpt-4o	piece_id	Bach_IchStehAnDeinerKrippe	10	4	6	3	2	40.0	50.0	33.33	616.37	0.02265
text-only-aggregate-gpt-4o	piece_id	Crueger_AufAufMeinHerzMitFreuden	11	0	11	4	3	0.0	36.36	27.27	827.69	0.01896
text-only-aggregate-gpt-4o	piece_id	Drese_JesuGehVoran	23	2	21	7	7	8.7	33.33	33.33	1949.61	0.036382
text-only-aggregate-gpt-4o	piece_id	Gesius_BefiehlDuDeineWege	7	1	6	1	3	14.29	16.67	50.0	853.59	0.009965
text-only-aggregate-gpt-4o	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	15	3	12	2	6	20.0	16.67	50.0	1689.15	0.025815
text-only-aggregate-gpt-4o	piece_id	Jan_DuGrosserSchmerzensmann	5	1	4	2	1	20.0	50.0	25.0	312.69	0.012385
text-only-aggregate-gpt-4o	piece_id	Telemann_DerLiebenSonneLichtUndPracht	13	1	12	4	4	7.69	33.33	33.33	1151.87	0.02307
text-only-aggregate-gpt-4o	piece_id	Vulpius_ChristusDerIstMeinLeben	6	1	5	2	2	16.67	40.0	40.0	567.45	0.00963
text-only-aggregate-gpt-4o	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	14	3	11	2	5	21.43	18.18	45.45	1415.27	0.02394
text-only-aggregate-gpt-4o	is_nota_correct	0	90	11	79	23	30	12.22	29.11	37.97	8546.06	0.1487
text-only-aggregate-gpt-4o	is_nota_correct	1	22	5	17	6	6	22.73	35.29	35.29	1695.59	0.04199
text-only-aggregate-gpt-4o	meta-question_id	0	11	3	8	0	5	27.27	0.0	62.5	1420.69	0.014058
text-only-aggregate-gpt-4o	meta-question_id	1	6	0	6	2	2	0.0	33.33	33.33	534.03	0.00842
text-only-aggregate-gpt-4o	meta-question_id	2	9	0	9	3	3	0.0	33.33	33.33	869.0	0.015768
text-only-aggregate-gpt-4o	meta-question_id	3	9	3	6	1	2	33.33	16.67	33.33	606.89	0.019258
text-only-aggregate-gpt-4o	meta-question_id	4	19	1	18	7	5	5.26	38.89	27.78	1407.42	0.032582
text-only-aggregate-gpt-4o	meta-question_id	5	12	3	9	3	4	25.0	33.33	44.44	1089.88	0.015607
text-only-aggregate-gpt-4o	meta-question_id	6	7	0	7	1	3	0.0	14.29	42.86	867.19	0.00654
text-only-aggregate-gpt-4o	meta-question_id	7	13	2	11	2	5	15.38	18.18	45.45	1454.93	0.02651
text-only-aggregate-gpt-4o	meta-question_id	8	18	3	15	7	5	16.67	46.67	33.33	1435.14	0.037115
text-only-aggregate-gpt-4o	meta-question_id	9	8	1	7	3	2	12.5	42.86	28.57	556.48	0.014833
text-only-aggregate-gpt-4o	category	harmony	39	6	33	12	12	15.38	36.36	36.36	3446.55	0.078458
text-only-aggregate-gpt-4o	category	pitch	35	6	29	6	12	17.14	20.69	41.38	3430.61	0.057503
text-only-aggregate-gpt-4o	category	rhythm	38	4	34	11	12	10.53	32.35	35.29	3364.49	0.05473
text-only-aggregate-gpt-4o	subcategory	harmony-absolute	18	3	15	7	5	16.67	46.67	33.33	1435.14	0.037115
text-only-aggregate-gpt-4o	subcategory	harmony-relative	21	3	18	5	7	14.29	27.78	38.89	2011.41	0.041342
text-only-aggregate-gpt-4o	subcategory	pitch-absolute	17	3	14	2	7	17.65	14.29	50.0	1954.72	0.022477
text-only-aggregate-gpt-4o	subcategory	pitch-relative	18	3	15	4	5	16.67	26.67	33.33	1475.89	0.035025
text-only-aggregate-gpt-4o	subcategory	rhythm-absolute	19	1	18	7	5	5.26	38.89	27.78	1407.42	0.032582
text-only-aggregate-gpt-4o	subcategory	rhythm-relative	19	3	16	4	7	15.79	25.0	43.75	1957.07	0.022147
text-only-aggregate-gpt-4o	skill	cadence recognition	8	1	7	3	2	12.5	42.86	28.57	556.48	0.014833
text-only-aggregate-gpt-4o	skill	chord recognition	18	3	15	7	5	16.67	46.67	33.33	1435.14	0.037115
text-only-aggregate-gpt-4o	skill	interval recognition	9	0	9	3	3	0.0	33.33	33.33	869.0	0.015768
text-only-aggregate-gpt-4o	skill	interval statistics	9	3	6	1	2	33.33	16.67	33.33	606.89	0.019258
text-only-aggregate-gpt-4o	skill	note length	19	1	18	7	5	5.26	38.89	27.78	1407.42	0.032582
text-only-aggregate-gpt-4o	skill	pitch recognition	11	3	8	0	5	27.27	0.0	62.5	1420.69	0.014058
text-only-aggregate-gpt-4o	skill	pitch statistics	6	0	6	2	2	0.0	33.33	33.33	534.03	0.00842
text-only-aggregate-gpt-4o	skill	rhythm pattern	7	0	7	1	3	0.0	14.29	42.86	867.19	0.00654
text-only-aggregate-gpt-4o	skill	time signature	12	3	9	3	4	25.0	33.33	44.44	1089.88	0.015607
text-only-aggregate-gpt-4o	skill	tonality recognition	13	2	11	2	5	15.38	18.18	45.45	1454.93	0.02651
text-only-aggregate-gpt-4o	rel/abs	absolute	54	7	47	16	17	12.96	34.04	36.17	4797.29	0.092175
text-only-aggregate-gpt-4o	rel/abs	relative	58	9	49	13	19	15.52	26.53	38.78	5444.36	0.098515
