Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
text-only-aggregate-gpt-5	OVERALL	ALL	300	25	275	81	100	8.33	29.45	36.36	30330.75	0.615847
text-only-aggregate-gpt-5	submodality	audio.mastermix.wav	100	0	100	0	100	0.0	0.0	100.0	28024.36	0.0
text-only-aggregate-gpt-5	submodality	symbolic.abc.txt	100	14	86	40	0	14.0	46.51	0.0	1085.55	0.254789
text-only-aggregate-gpt-5	submodality	visual.short.png	100	11	89	41	0	11.0	46.07	0.0	1220.84	0.361058
text-only-aggregate-gpt-5	piece_id	Anonymous_AusMeinesHerzensGrunde	18	0	18	4	6	0.0	22.22	33.33	1769.03	0.027537
text-only-aggregate-gpt-5	piece_id	Bach_IchStehAnDeinerKrippe	33	0	33	11	11	0.0	33.33	33.33	3448.61	0.05472
text-only-aggregate-gpt-5	piece_id	Crueger_AufAufMeinHerzMitFreuden	30	3	27	10	10	10.0	37.04	37.04	2935.7	0.052752
text-only-aggregate-gpt-5	piece_id	Drese_JesuGehVoran	39	6	33	8	13	15.38	24.24	39.39	3889.8	0.063682
text-only-aggregate-gpt-5	piece_id	Gesius_BefiehlDuDeineWege	24	0	24	11	8	0.0	45.83	33.33	2365.68	0.039874
text-only-aggregate-gpt-5	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	42	2	40	14	14	4.76	35.0	35.0	4329.59	0.109605
text-only-aggregate-gpt-5	piece_id	Jan_DuGrosserSchmerzensmann	42	4	38	11	14	9.52	28.95	36.84	4238.72	0.108765
text-only-aggregate-gpt-5	piece_id	Telemann_DerLiebenSonneLichtUndPracht	27	3	24	5	9	11.11	20.83	37.5	2709.46	0.046193
text-only-aggregate-gpt-5	piece_id	Vulpius_ChristusDerIstMeinLeben	21	4	17	3	7	19.05	17.65	41.18	2153.4	0.070917
text-only-aggregate-gpt-5	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	24	3	21	4	8	12.5	19.05	38.1	2490.76	0.041804
text-only-aggregate-gpt-5	is_nota_correct	0	240	18	222	66	82	7.5	29.73	36.94	24741.15	0.505109
text-only-aggregate-gpt-5	is_nota_correct	1	60	7	53	15	18	11.67	28.3	33.96	5589.6	0.110738
text-only-aggregate-gpt-5	meta-question_id	1	30	1	29	0	10	3.33	0.0	34.48	3101.35	0.08665
text-only-aggregate-gpt-5	meta-question_id	10	21	1	20	8	7	4.76	40.0	35.0	2145.07	0.03566
text-only-aggregate-gpt-5	meta-question_id	11	18	1	17	9	6	5.56	52.94	35.29	1742.24	0.029218
text-only-aggregate-gpt-5	meta-question_id	2	30	3	27	7	10	10.0	25.93	37.04	3052.66	0.050017
text-only-aggregate-gpt-5	meta-question_id	3	30	1	29	15	10	3.33	51.72	34.48	2987.46	0.050884
text-only-aggregate-gpt-5	meta-question_id	4	30	6	24	8	10	20.0	33.33	41.67	3032.26	0.051784
text-only-aggregate-gpt-5	meta-question_id	5	30	2	28	13	10	6.67	46.43	35.71	3082.76	0.04916
text-only-aggregate-gpt-5	meta-question_id	6	30	6	24	8	10	20.0	33.33	41.67	3036.87	0.046913
text-only-aggregate-gpt-5	meta-question_id	7	30	0	30	9	10	0.0	30.0	33.33	2980.87	0.052895
text-only-aggregate-gpt-5	meta-question_id	8	30	2	28	1	10	6.67	3.57	35.71	3023.58	0.089132
text-only-aggregate-gpt-5	meta-question_id	9	21	2	19	3	7	9.52	15.79	36.84	2145.63	0.073535
text-only-aggregate-gpt-5	category	harmony	60	4	56	20	20	6.67	35.71	35.71	6032.94	0.138412
text-only-aggregate-gpt-5	category	pitch	120	11	109	30	40	9.17	27.52	36.7	12173.74	0.239335
text-only-aggregate-gpt-5	category	rhythm	120	10	110	31	40	8.33	28.18	36.36	12124.07	0.238099
text-only-aggregate-gpt-5	subcategory	harmonic-recognition	60	4	56	20	20	6.67	35.71	35.71	6032.94	0.138412
text-only-aggregate-gpt-5	subcategory	interval-recognition	60	7	53	23	20	11.67	43.4	37.74	6019.73	0.102668
text-only-aggregate-gpt-5	subcategory	pitch-recognition	60	4	56	7	20	6.67	12.5	35.71	6154.01	0.136667
text-only-aggregate-gpt-5	subcategory	proportion-recognition	60	2	58	10	20	3.33	17.24	34.48	6004.45	0.142026
text-only-aggregate-gpt-5	subcategory	rhythmic-recognition	60	8	52	21	20	13.33	40.38	38.46	6119.63	0.096073
text-only-aggregate-gpt-5	skill	cadence recognition	18	1	17	9	6	5.56	52.94	35.29	1742.24	0.029218
text-only-aggregate-gpt-5	skill	chord recognition	21	1	20	8	7	4.76	40.0	35.0	2145.07	0.03566
text-only-aggregate-gpt-5	skill	interval recognition	30	1	29	15	10	3.33	51.72	34.48	2987.46	0.050884
text-only-aggregate-gpt-5	skill	interval statistics	30	6	24	8	10	20.0	33.33	41.67	3032.26	0.051784
text-only-aggregate-gpt-5	skill	note length	30	2	28	13	10	6.67	46.43	35.71	3082.76	0.04916
text-only-aggregate-gpt-5	skill	note length statistics	30	6	24	8	10	20.0	33.33	41.67	3036.87	0.046913
text-only-aggregate-gpt-5	skill	pitch recognition	30	1	29	0	10	3.33	0.0	34.48	3101.35	0.08665
text-only-aggregate-gpt-5	skill	pitch statistics	30	3	27	7	10	10.0	25.93	37.04	3052.66	0.050017
text-only-aggregate-gpt-5	skill	rhythm pattern	30	0	30	9	10	0.0	30.0	33.33	2980.87	0.052895
text-only-aggregate-gpt-5	skill	rhythm pattern statistics	30	2	28	1	10	6.67	3.57	35.71	3023.58	0.089132
text-only-aggregate-gpt-5	skill	tonality recognition	21	2	19	3	7	9.52	15.79	36.84	2145.63	0.073535
text-only-aggregate-gpt-5	rel/abs	absolute	141	13	128	36	47	9.22	28.12	36.72	14418.71	0.268399
text-only-aggregate-gpt-5	rel/abs	relative	159	12	147	45	53	7.55	30.61	36.05	15912.04	0.347447
text-only-aggregate-gpt-5	specification	harmony-absolute	21	1	20	8	7	4.76	40.0	35.0	2145.07	0.03566
text-only-aggregate-gpt-5	specification	harmony-relative	39	3	36	12	13	7.69	33.33	36.11	3887.87	0.102753
text-only-aggregate-gpt-5	specification	pitch-absolute	60	4	56	7	20	6.67	12.5	35.71	6154.01	0.136667
text-only-aggregate-gpt-5	specification	pitch-relative	60	7	53	23	20	11.67	43.4	37.74	6019.73	0.102668
text-only-aggregate-gpt-5	specification	rhythm-absolute	60	8	52	21	20	13.33	40.38	38.46	6119.63	0.096073
text-only-aggregate-gpt-5	specification	rhythm-relative	60	2	58	10	20	3.33	17.24	34.48	6004.45	0.142026
