Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
white-noise-aggregate-gpt-5	OVERALL	ALL	300	68	232	42	0	22.67	18.1	0.0	2536.34	2.455079
white-noise-aggregate-gpt-5	submodality	audio.mastermix.wav	100	11	89	42	0	11.0	47.19	0.0	359.49	0.075304
white-noise-aggregate-gpt-5	submodality	symbolic.abc.txt	100	34	66	0	0	34.0	0.0	0.0	1200.92	2.096911
white-noise-aggregate-gpt-5	submodality	visual.short.png	100	23	77	0	0	23.0	0.0	0.0	975.92	0.282864
white-noise-aggregate-gpt-5	piece_id	Anonymous_AusMeinesHerzensGrunde	18	1	17	4	0	5.56	23.53	0.0	133.87	0.146198
white-noise-aggregate-gpt-5	piece_id	Bach_IchStehAnDeinerKrippe	33	3	30	3	0	9.09	10.0	0.0	272.57	0.27034
white-noise-aggregate-gpt-5	piece_id	Crueger_AufAufMeinHerzMitFreuden	30	4	26	2	0	13.33	7.69	0.0	290.14	0.252756
white-noise-aggregate-gpt-5	piece_id	Drese_JesuGehVoran	39	12	27	7	0	30.77	25.93	0.0	335.91	0.316181
white-noise-aggregate-gpt-5	piece_id	Gesius_BefiehlDuDeineWege	24	5	19	4	0	20.83	21.05	0.0	239.08	0.202789
white-noise-aggregate-gpt-5	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	42	9	33	9	0	21.43	27.27	0.0	395.18	0.348016
white-noise-aggregate-gpt-5	piece_id	Jan_DuGrosserSchmerzensmann	42	15	27	4	0	35.71	14.81	0.0	295.67	0.335763
white-noise-aggregate-gpt-5	piece_id	Telemann_DerLiebenSonneLichtUndPracht	27	7	20	3	0	25.93	15.0	0.0	222.78	0.22013
white-noise-aggregate-gpt-5	piece_id	Vulpius_ChristusDerIstMeinLeben	21	6	15	2	0	28.57	13.33	0.0	158.03	0.168527
white-noise-aggregate-gpt-5	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	24	6	18	4	0	25.0	22.22	0.0	193.12	0.194378
white-noise-aggregate-gpt-5	is_nota_correct	0	240	28	212	38	0	11.67	17.92	0.0	1993.35	1.868725
white-noise-aggregate-gpt-5	is_nota_correct	1	60	40	20	4	0	66.67	20.0	0.0	542.99	0.586354
white-noise-aggregate-gpt-5	meta-question_id	1	30	6	24	0	0	20.0	0.0	0.0	264.81	0.244971
white-noise-aggregate-gpt-5	meta-question_id	10	21	3	18	5	0	14.29	27.78	0.0	143.87	0.166465
white-noise-aggregate-gpt-5	meta-question_id	11	18	3	15	3	0	16.67	20.0	0.0	135.8	0.145072
white-noise-aggregate-gpt-5	meta-question_id	2	30	9	21	5	0	30.0	23.81	0.0	366.17	0.259983
white-noise-aggregate-gpt-5	meta-question_id	3	30	7	23	5	0	23.33	21.74	0.0	259.11	0.242698
white-noise-aggregate-gpt-5	meta-question_id	4	30	7	23	5	0	23.33	21.74	0.0	208.33	0.240891
white-noise-aggregate-gpt-5	meta-question_id	5	30	6	24	3	0	20.0	12.5	0.0	258.33	0.247908
white-noise-aggregate-gpt-5	meta-question_id	6	30	15	15	5	0	50.0	33.33	0.0	223.38	0.240738
white-noise-aggregate-gpt-5	meta-question_id	7	30	4	26	6	0	13.33	23.08	0.0	227.74	0.24635
white-noise-aggregate-gpt-5	meta-question_id	8	30	4	26	2	0	13.33	7.69	0.0	264.68	0.247904
white-noise-aggregate-gpt-5	meta-question_id	9	21	4	17	3	0	19.05	17.65	0.0	184.11	0.172099
white-noise-aggregate-gpt-5	category	harmony	60	10	50	11	0	16.67	22.0	0.0	463.78	0.483636
white-noise-aggregate-gpt-5	category	pitch	120	29	91	15	0	24.17	16.48	0.0	1098.42	0.988543
white-noise-aggregate-gpt-5	category	rhythm	120	29	91	16	0	24.17	17.58	0.0	974.14	0.9829
white-noise-aggregate-gpt-5	subcategory	harmonic-recognition	60	10	50	11	0	16.67	22.0	0.0	463.78	0.483636
white-noise-aggregate-gpt-5	subcategory	interval-recognition	60	14	46	10	0	23.33	21.74	0.0	467.44	0.483589
white-noise-aggregate-gpt-5	subcategory	pitch-recognition	60	15	45	5	0	25.0	11.11	0.0	630.98	0.504954
white-noise-aggregate-gpt-5	subcategory	proportion-recognition	60	8	52	8	0	13.33	15.38	0.0	492.43	0.494254
white-noise-aggregate-gpt-5	subcategory	rhythmic-recognition	60	21	39	8	0	35.0	20.51	0.0	481.71	0.488646
white-noise-aggregate-gpt-5	skill	cadence recognition	18	3	15	3	0	16.67	20.0	0.0	135.8	0.145072
white-noise-aggregate-gpt-5	skill	chord recognition	21	3	18	5	0	14.29	27.78	0.0	143.87	0.166465
white-noise-aggregate-gpt-5	skill	interval recognition	30	7	23	5	0	23.33	21.74	0.0	259.11	0.242698
white-noise-aggregate-gpt-5	skill	interval statistics	30	7	23	5	0	23.33	21.74	0.0	208.33	0.240891
white-noise-aggregate-gpt-5	skill	note length	30	6	24	3	0	20.0	12.5	0.0	258.33	0.247908
white-noise-aggregate-gpt-5	skill	note length statistics	30	15	15	5	0	50.0	33.33	0.0	223.38	0.240738
white-noise-aggregate-gpt-5	skill	pitch recognition	30	6	24	0	0	20.0	0.0	0.0	264.81	0.244971
white-noise-aggregate-gpt-5	skill	pitch statistics	30	9	21	5	0	30.0	23.81	0.0	366.17	0.259983
white-noise-aggregate-gpt-5	skill	rhythm pattern	30	4	26	6	0	13.33	23.08	0.0	227.74	0.24635
white-noise-aggregate-gpt-5	skill	rhythm pattern statistics	30	4	26	2	0	13.33	7.69	0.0	264.68	0.247904
white-noise-aggregate-gpt-5	skill	tonality recognition	21	4	17	3	0	19.05	17.65	0.0	184.11	0.172099
white-noise-aggregate-gpt-5	rel/abs	absolute	141	39	102	18	0	27.66	17.65	0.0	1256.56	1.160065
white-noise-aggregate-gpt-5	rel/abs	relative	159	29	130	24	0	18.24	18.46	0.0	1279.78	1.295014
white-noise-aggregate-gpt-5	specification	harmony-absolute	21	3	18	5	0	14.29	27.78	0.0	143.87	0.166465
white-noise-aggregate-gpt-5	specification	harmony-relative	39	7	32	6	0	17.95	18.75	0.0	319.91	0.317171
white-noise-aggregate-gpt-5	specification	pitch-absolute	60	15	45	5	0	25.0	11.11	0.0	630.98	0.504954
white-noise-aggregate-gpt-5	specification	pitch-relative	60	14	46	10	0	23.33	21.74	0.0	467.44	0.483589
white-noise-aggregate-gpt-5	specification	rhythm-absolute	60	21	39	8	0	35.0	20.51	0.0	481.71	0.488646
white-noise-aggregate-gpt-5	specification	rhythm-relative	60	8	52	8	0	13.33	15.38	0.0	492.43	0.494254
