Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
white-noise-aggregate-mistral	OVERALL	ALL	300	91	209	20	0	30.33	9.57	0.0	7544.47	0.851184
white-noise-aggregate-mistral	submodality	audio.mastermix.wav	100	35	65	0	0	35.0	0.0	0.0	227.5	0.605147
white-noise-aggregate-mistral	submodality	symbolic.abc.txt	100	28	72	0	0	28.0	0.0	0.0	225.84	0.078433
white-noise-aggregate-mistral	submodality	visual.short.png	100	28	72	20	0	28.0	27.78	0.0	7091.13	0.167604
white-noise-aggregate-mistral	piece_id	Anonymous_AusMeinesHerzensGrunde	18	2	16	4	0	11.11	25.0	0.0	817.78	0.06009
white-noise-aggregate-mistral	piece_id	Bach_IchStehAnDeinerKrippe	33	7	26	2	0	21.21	7.69	0.0	804.07	0.092272
white-noise-aggregate-mistral	piece_id	Crueger_AufAufMeinHerzMitFreuden	30	6	24	1	0	20.0	4.17	0.0	697.1	0.083754
white-noise-aggregate-mistral	piece_id	Drese_JesuGehVoran	39	14	25	3	0	35.9	12.0	0.0	1188.91	0.116913
white-noise-aggregate-mistral	piece_id	Gesius_BefiehlDuDeineWege	24	5	19	2	0	20.83	10.53	0.0	789.7	0.072773
white-noise-aggregate-mistral	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	42	9	33	3	0	21.43	9.09	0.0	1192.08	0.123962
white-noise-aggregate-mistral	piece_id	Jan_DuGrosserSchmerzensmann	42	18	24	3	0	42.86	12.5	0.0	1018.5	0.116674
white-noise-aggregate-mistral	piece_id	Telemann_DerLiebenSonneLichtUndPracht	27	10	17	2	0	37.04	11.76	0.0	707.08	0.07682
white-noise-aggregate-mistral	piece_id	Vulpius_ChristusDerIstMeinLeben	21	10	11	0	0	47.62	0.0	0.0	264.85	0.052279
white-noise-aggregate-mistral	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	24	10	14	0	0	41.67	0.0	0.0	64.41	0.055648
white-noise-aggregate-mistral	is_nota_correct	0	240	57	183	18	0	23.75	9.84	0.0	6103.5	0.690844
white-noise-aggregate-mistral	is_nota_correct	1	60	34	26	2	0	56.67	7.69	0.0	1440.97	0.16034
white-noise-aggregate-mistral	meta-question_id	1	30	6	24	0	0	20.0	0.0	0.0	535.22	0.078257
white-noise-aggregate-mistral	meta-question_id	10	21	6	15	3	0	28.57	20.0	0.0	677.47	0.064823
white-noise-aggregate-mistral	meta-question_id	11	18	5	13	1	0	27.78	7.69	0.0	376.28	0.051381
white-noise-aggregate-mistral	meta-question_id	2	30	12	18	2	0	40.0	11.11	0.0	1069.21	0.090612
white-noise-aggregate-mistral	meta-question_id	3	30	6	24	3	0	20.0	12.5	0.0	847.54	0.085639
white-noise-aggregate-mistral	meta-question_id	4	30	11	19	0	0	36.67	0.0	0.0	75.96	0.068947
white-noise-aggregate-mistral	meta-question_id	5	30	9	21	3	0	30.0	14.29	0.0	757.08	0.084538
white-noise-aggregate-mistral	meta-question_id	6	30	13	17	4	0	43.33	23.53	0.0	1285.52	0.097761
white-noise-aggregate-mistral	meta-question_id	7	30	11	19	3	0	36.67	15.79	0.0	537.27	0.080603
white-noise-aggregate-mistral	meta-question_id	8	30	3	27	1	0	10.0	3.7	0.0	1142.13	0.095268
white-noise-aggregate-mistral	meta-question_id	9	21	9	12	0	0	42.86	0.0	0.0	240.79	0.053355
white-noise-aggregate-mistral	category	harmony	60	20	40	4	0	33.33	10.0	0.0	1294.54	0.169559
white-noise-aggregate-mistral	category	pitch	120	35	85	5	0	29.17	5.88	0.0	2527.93	0.323454
white-noise-aggregate-mistral	category	rhythm	120	36	84	11	0	30.0	13.1	0.0	3722.0	0.35817
white-noise-aggregate-mistral	subcategory	harmonic-recognition	60	20	40	4	0	33.33	10.0	0.0	1294.54	0.169559
white-noise-aggregate-mistral	subcategory	interval-recognition	60	17	43	3	0	28.33	6.98	0.0	923.51	0.154586
white-noise-aggregate-mistral	subcategory	pitch-recognition	60	18	42	2	0	30.0	4.76	0.0	1604.42	0.168869
white-noise-aggregate-mistral	subcategory	proportion-recognition	60	14	46	4	0	23.33	8.7	0.0	1679.4	0.175871
white-noise-aggregate-mistral	subcategory	rhythmic-recognition	60	22	38	7	0	36.67	18.42	0.0	2042.6	0.182299
