Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
white-noise-google/gemini-2.5-flash-lite	OVERALL	ALL	300	76	224	1	0	25.33	0.45	0.0	2964.01	0.40157
white-noise-google/gemini-2.5-flash-lite	submodality	audio.mastermix.wav	100	23	77	1	0	23.0	1.3	0.0	906.9	0.116822
white-noise-google/gemini-2.5-flash-lite	submodality	symbolic.abc.txt	100	30	70	0	0	30.0	0.0	0.0	1797.38	0.265667
white-noise-google/gemini-2.5-flash-lite	submodality	visual.short.png	100	23	77	0	0	23.0	0.0	0.0	259.72	0.019082
white-noise-google/gemini-2.5-flash-lite	piece_id	Anonymous_AusMeinesHerzensGrunde	18	2	16	0	0	11.11	0.0	0.0	114.92	0.016441
white-noise-google/gemini-2.5-flash-lite	piece_id	Bach_IchStehAnDeinerKrippe	33	8	25	0	0	24.24	0.0	0.0	319.89	0.043589
white-noise-google/gemini-2.5-flash-lite	piece_id	Crueger_AufAufMeinHerzMitFreuden	30	7	23	0	0	23.33	0.0	0.0	192.7	0.028343
white-noise-google/gemini-2.5-flash-lite	piece_id	Drese_JesuGehVoran	39	12	27	0	0	30.77	0.0	0.0	380.96	0.059785
white-noise-google/gemini-2.5-flash-lite	piece_id	Gesius_BefiehlDuDeineWege	24	5	19	0	0	20.83	0.0	0.0	228.18	0.028062
white-noise-google/gemini-2.5-flash-lite	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	42	10	32	1	0	23.81	3.12	0.0	619.45	0.077622
white-noise-google/gemini-2.5-flash-lite	piece_id	Jan_DuGrosserSchmerzensmann	42	11	31	0	0	26.19	0.0	0.0	312.36	0.043323
white-noise-google/gemini-2.5-flash-lite	piece_id	Telemann_DerLiebenSonneLichtUndPracht	27	9	18	0	0	33.33	0.0	0.0	373.68	0.050077
white-noise-google/gemini-2.5-flash-lite	piece_id	Vulpius_ChristusDerIstMeinLeben	21	6	15	0	0	28.57	0.0	0.0	155.83	0.022338
white-noise-google/gemini-2.5-flash-lite	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	24	6	18	0	0	25.0	0.0	0.0	266.03	0.03199
white-noise-google/gemini-2.5-flash-lite	is_nota_correct	0	240	46	194	1	0	19.17	0.52	0.0	2390.17	0.324718
white-noise-google/gemini-2.5-flash-lite	is_nota_correct	1	60	30	30	0	0	50.0	0.0	0.0	573.84	0.076853
white-noise-google/gemini-2.5-flash-lite	meta-question_id	1	30	10	20	0	0	33.33	0.0	0.0	328.47	0.041519
white-noise-google/gemini-2.5-flash-lite	meta-question_id	10	21	5	16	0	0	23.81	0.0	0.0	147.21	0.021129
white-noise-google/gemini-2.5-flash-lite	meta-question_id	11	18	3	15	0	0	16.67	0.0	0.0	74.45	0.012964
white-noise-google/gemini-2.5-flash-lite	meta-question_id	2	30	8	22	1	0	26.67	4.55	0.0	580.94	0.082091
white-noise-google/gemini-2.5-flash-lite	meta-question_id	3	30	7	23	0	0	23.33	0.0	0.0	365.1	0.046902
white-noise-google/gemini-2.5-flash-lite	meta-question_id	4	30	9	21	0	0	30.0	0.0	0.0	174.91	0.026988
white-noise-google/gemini-2.5-flash-lite	meta-question_id	5	30	7	23	0	0	23.33	0.0	0.0	280.88	0.036736
white-noise-google/gemini-2.5-flash-lite	meta-question_id	6	30	13	17	0	0	43.33	0.0	0.0	289.73	0.036535
