Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
google/gemini-3.1-flash-lite-preview	OVERALL	ALL	150	69	81	0	0	46.0	0.0	0.0	542.85	0.154079
google/gemini-3.1-flash-lite-preview	submodality	audio.mastermix.wav	50	16	34	0	0	32.0	0.0	0.0	166.25	0.036072
google/gemini-3.1-flash-lite-preview	submodality	symbolic.abc.txt	50	32	18	0	0	64.0	0.0	0.0	192.32	0.061459
google/gemini-3.1-flash-lite-preview	submodality	visual.short.png	50	21	29	0	0	42.0	0.0	0.0	184.28	0.056548
google/gemini-3.1-flash-lite-preview	piece_id	Anonymous_AusMeinesHerzensGrunde	3	2	1	0	0	66.67	0.0	0.0	12.85	0.003954
google/gemini-3.1-flash-lite-preview	piece_id	Bach_IchStehAnDeinerKrippe	21	9	12	0	0	42.86	0.0	0.0	76.63	0.022729
google/gemini-3.1-flash-lite-preview	piece_id	Crueger_AufAufMeinHerzMitFreuden	33	11	22	0	0	33.33	0.0	0.0	125.41	0.03407
google/gemini-3.1-flash-lite-preview	piece_id	Drese_JesuGehVoran	12	4	8	0	0	33.33	0.0	0.0	38.93	0.012035
google/gemini-3.1-flash-lite-preview	piece_id	Gesius_BefiehlDuDeineWege	15	9	6	0	0	60.0	0.0	0.0	49.12	0.015672
google/gemini-3.1-flash-lite-preview	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	9	6	3	0	0	66.67	0.0	0.0	30.91	0.008717
google/gemini-3.1-flash-lite-preview	piece_id	Jan_DuGrosserSchmerzensmann	15	5	10	0	0	33.33	0.0	0.0	55.31	0.016715
google/gemini-3.1-flash-lite-preview	piece_id	Telemann_DerLiebenSonneLichtUndPracht	12	7	5	0	0	58.33	0.0	0.0	42.63	0.014194
google/gemini-3.1-flash-lite-preview	piece_id	Vulpius_ChristusDerIstMeinLeben	18	9	9	0	0	50.0	0.0	0.0	67.11	0.015486
google/gemini-3.1-flash-lite-preview	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	12	7	5	0	0	58.33	0.0	0.0	43.94	0.010508
google/gemini-3.1-flash-lite-preview	is_nota_correct	0	120	54	66	0	0	45.0	0.0	0.0	447.7	0.127756
google/gemini-3.1-flash-lite-preview	is_nota_correct	1	30	15	15	0	0	50.0	0.0	0.0	95.15	0.026323
google/gemini-3.1-flash-lite-preview	meta-question_id	1	15	5	10	0	0	33.33	0.0	0.0	55.75	0.016322
google/gemini-3.1-flash-lite-preview	meta-question_id	10	9	6	3	0	0	66.67	0.0	0.0	34.0	0.008386
google/gemini-3.1-flash-lite-preview	meta-question_id	11	9	4	5	0	0	44.44	0.0	0.0	33.81	0.008344
google/gemini-3.1-flash-lite-preview	meta-question_id	2	15	6	9	0	0	40.0	0.0	0.0	56.44	0.015073
google/gemini-3.1-flash-lite-preview	meta-question_id	3	15	10	5	0	0	66.67	0.0	0.0	51.9	0.017575
google/gemini-3.1-flash-lite-preview	meta-question_id	4	15	8	7	0	0	53.33	0.0	0.0	57.64	0.017101
google/gemini-3.1-flash-lite-preview	meta-question_id	5	15	7	8	0	0	46.67	0.0	0.0	56.07	0.017598
google/gemini-3.1-flash-lite-preview	meta-question_id	6	15	7	8	0	0	46.67	0.0	0.0	51.14	0.015277
google/gemini-3.1-flash-lite-preview	meta-question_id	7	15	8	7	0	0	53.33	0.0	0.0	55.06	0.016063
google/gemini-3.1-flash-lite-preview	meta-question_id	8	15	1	14	0	0	6.67	0.0	0.0	49.18	0.014571
google/gemini-3.1-flash-lite-preview	meta-question_id	9	12	7	5	0	0	58.33	0.0	0.0	41.87	0.007769
google/gemini-3.1-flash-lite-preview	category	harmony	30	17	13	0	0	56.67	0.0	0.0	109.68	0.0245
google/gemini-3.1-flash-lite-preview	category	pitch	60	29	31	0	0	48.33	0.0	0.0	221.72	0.066071
google/gemini-3.1-flash-lite-preview	category	rhythm	60	23	37	0	0	38.33	0.0	0.0	211.45	0.063509
google/gemini-3.1-flash-lite-preview	subcategory	harmonic-recognition	30	17	13	0	0	56.67	0.0	0.0	109.68	0.0245
google/gemini-3.1-flash-lite-preview	subcategory	interval-recognition	30	18	12	0	0	60.0	0.0	0.0	109.54	0.034676
google/gemini-3.1-flash-lite-preview	subcategory	pitch-recognition	30	11	19	0	0	36.67	0.0	0.0	112.19	0.031395
google/gemini-3.1-flash-lite-preview	subcategory	proportion-recognition	30	9	21	0	0	30.0	0.0	0.0	104.24	0.030633
google/gemini-3.1-flash-lite-preview	subcategory	rhythmic-recognition	30	14	16	0	0	46.67	0.0	0.0	107.2	0.032876
google/gemini-3.1-flash-lite-preview	skill	cadence recognition	9	4	5	0	0	44.44	0.0	0.0	33.81	0.008344
google/gemini-3.1-flash-lite-preview	skill	chord recognition	9	6	3	0	0	66.67	0.0	0.0	34.0	0.008386
google/gemini-3.1-flash-lite-preview	skill	interval recognition	15	10	5	0	0	66.67	0.0	0.0	51.9	0.017575
google/gemini-3.1-flash-lite-preview	skill	interval statistics	15	8	7	0	0	53.33	0.0	0.0	57.64	0.017101
google/gemini-3.1-flash-lite-preview	skill	note length	15	7	8	0	0	46.67	0.0	0.0	56.07	0.017598
google/gemini-3.1-flash-lite-preview	skill	note length statistics	15	7	8	0	0	46.67	0.0	0.0	51.14	0.015277
google/gemini-3.1-flash-lite-preview	skill	pitch recognition	15	5	10	0	0	33.33	0.0	0.0	55.75	0.016322
google/gemini-3.1-flash-lite-preview	skill	pitch statistics	15	6	9	0	0	40.0	0.0	0.0	56.44	0.015073
google/gemini-3.1-flash-lite-preview	skill	rhythm pattern	15	8	7	0	0	53.33	0.0	0.0	55.06	0.016063
google/gemini-3.1-flash-lite-preview	skill	rhythm pattern statistics	15	1	14	0	0	6.67	0.0	0.0	49.18	0.014571
google/gemini-3.1-flash-lite-preview	skill	tonality recognition	12	7	5	0	0	58.33	0.0	0.0	41.87	0.007769
google/gemini-3.1-flash-lite-preview	rel/abs	absolute	69	31	38	0	0	44.93	0.0	0.0	253.39	0.072657
google/gemini-3.1-flash-lite-preview	rel/abs	relative	81	38	43	0	0	46.91	0.0	0.0	289.46	0.081423
google/gemini-3.1-flash-lite-preview	specification	harmony-absolute	9	6	3	0	0	66.67	0.0	0.0	34.0	0.008386
google/gemini-3.1-flash-lite-preview	specification	harmony-relative	21	11	10	0	0	52.38	0.0	0.0	75.68	0.016113
google/gemini-3.1-flash-lite-preview	specification	pitch-absolute	30	11	19	0	0	36.67	0.0	0.0	112.19	0.031395
google/gemini-3.1-flash-lite-preview	specification	pitch-relative	30	18	12	0	0	60.0	0.0	0.0	109.54	0.034676
google/gemini-3.1-flash-lite-preview	specification	rhythm-absolute	30	14	16	0	0	46.67	0.0	0.0	107.2	0.032876
google/gemini-3.1-flash-lite-preview	specification	rhythm-relative	30	9	21	0	0	30.0	0.0	0.0	104.24	0.030633
