Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
google/gemini-3.1-flash-lite-preview	OVERALL	ALL	229	84	145	0	0	36.68	0.0	0.0	849.56	0.683981
google/gemini-3.1-flash-lite-preview	submodality	audio.mastermix.wav	77	20	57	0	0	25.97	0.0	0.0	246.76	0.05327
google/gemini-3.1-flash-lite-preview	submodality	symbolic.musicxml	77	30	47	0	0	38.96	0.0	0.0	285.51	0.557868
google/gemini-3.1-flash-lite-preview	submodality	visual.short.png	75	34	41	0	0	45.33	0.0	0.0	317.29	0.072843
google/gemini-3.1-flash-lite-preview	piece_id	Anonymous_AusMeinesHerzensGrunde	24	13	11	0	0	54.17	0.0	0.0	98.48	0.096422
google/gemini-3.1-flash-lite-preview	piece_id	Bach_IchStehAnDeinerKrippe	44	15	29	0	0	34.09	0.0	0.0	166.17	0.136051
google/gemini-3.1-flash-lite-preview	piece_id	Crueger_AufAufMeinHerzMitFreuden	10	1	9	0	0	10.0	0.0	0.0	41.44	0.028414
google/gemini-3.1-flash-lite-preview	piece_id	Drese_JesuGehVoran	15	5	10	0	0	33.33	0.0	0.0	45.97	0.031466
google/gemini-3.1-flash-lite-preview	piece_id	Gesius_BefiehlDuDeineWege	34	13	21	0	0	38.24	0.0	0.0	145.25	0.10547
google/gemini-3.1-flash-lite-preview	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	20	8	12	0	0	40.0	0.0	0.0	59.82	0.058959
google/gemini-3.1-flash-lite-preview	piece_id	Jan_DuGrosserSchmerzensmann	34	16	18	0	0	47.06	0.0	0.0	126.64	0.106878
google/gemini-3.1-flash-lite-preview	piece_id	Telemann_DerLiebenSonneLichtUndPracht	22	8	14	0	0	36.36	0.0	0.0	80.92	0.069552
google/gemini-3.1-flash-lite-preview	piece_id	Vulpius_ChristusDerIstMeinLeben	17	1	16	0	0	5.88	0.0	0.0	50.8	0.033856
google/gemini-3.1-flash-lite-preview	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	9	4	5	0	0	44.44	0.0	0.0	34.08	0.016913
google/gemini-3.1-flash-lite-preview	is_nota_correct	0	180	61	119	0	0	33.89	0.0	0.0	669.87	0.532344
google/gemini-3.1-flash-lite-preview	is_nota_correct	1	49	23	26	0	0	46.94	0.0	0.0	179.69	0.151637
google/gemini-3.1-flash-lite-preview	meta-question_id	0	21	4	17	0	0	19.05	0.0	0.0	86.91	0.064056
google/gemini-3.1-flash-lite-preview	meta-question_id	1	18	15	3	0	0	83.33	0.0	0.0	61.49	0.054498
