Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
text-only-google/gemini-3.1-flash-lite-preview	OVERALL	ALL	447	120	327	1	0	26.85	0.31	0.0	1414.91	0.219315
text-only-google/gemini-3.1-flash-lite-preview	submodality	audio.mastermix.wav	149	37	112	0	0	24.83	0.0	0.0	421.62	0.061696
text-only-google/gemini-3.1-flash-lite-preview	submodality	symbolic.musicxml	151	50	101	0	0	33.11	0.0	0.0	503.12	0.079549
text-only-google/gemini-3.1-flash-lite-preview	submodality	visual.short.png	147	33	114	1	0	22.45	0.88	0.0	490.17	0.07807
text-only-google/gemini-3.1-flash-lite-preview	piece_id	Anonymous_AusMeinesHerzensGrunde	43	10	33	0	0	23.26	0.0	0.0	144.86	0.019114
text-only-google/gemini-3.1-flash-lite-preview	piece_id	Bach_IchStehAnDeinerKrippe	57	19	38	0	0	33.33	0.0	0.0	188.44	0.027779
text-only-google/gemini-3.1-flash-lite-preview	piece_id	Crueger_AufAufMeinHerzMitFreuden	38	10	28	0	0	26.32	0.0	0.0	108.29	0.018014
text-only-google/gemini-3.1-flash-lite-preview	piece_id	Drese_JesuGehVoran	29	12	17	0	0	41.38	0.0	0.0	86.59	0.014067
text-only-google/gemini-3.1-flash-lite-preview	piece_id	Gesius_BefiehlDuDeineWege	47	15	32	0	0	31.91	0.0	0.0	156.44	0.02319
text-only-google/gemini-3.1-flash-lite-preview	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	43	12	31	0	0	27.91	0.0	0.0	138.5	0.019573
text-only-google/gemini-3.1-flash-lite-preview	piece_id	Jan_DuGrosserSchmerzensmann	43	7	36	0	0	16.28	0.0	0.0	119.2	0.02086
text-only-google/gemini-3.1-flash-lite-preview	piece_id	Telemann_DerLiebenSonneLichtUndPracht	49	14	35	0	0	28.57	0.0	0.0	152.93	0.025125
text-only-google/gemini-3.1-flash-lite-preview	piece_id	Vulpius_ChristusDerIstMeinLeben	63	13	50	1	0	20.63	2.0	0.0	213.07	0.033856
text-only-google/gemini-3.1-flash-lite-preview	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	35	8	27	0	0	22.86	0.0	0.0	106.58	0.017737
text-only-google/gemini-3.1-flash-lite-preview	is_nota_correct	0	360	103	257	1	0	28.61	0.39	0.0	1145.1	0.17601
text-only-google/gemini-3.1-flash-lite-preview	is_nota_correct	1	87	17	70	0	0	19.54	0.0	0.0	269.81	0.043305
text-only-google/gemini-3.1-flash-lite-preview	meta-question_id	0	38	9	29	0	0	23.68	0.0	0.0	91.5	0.016934
text-only-google/gemini-3.1-flash-lite-preview	meta-question_id	1	36	15	21	0	0	41.67	0.0	0.0	108.63	0.017173
text-only-google/gemini-3.1-flash-lite-preview	meta-question_id	2	40	3	37	0	0	7.5	0.0	0.0	123.71	0.022755
text-only-google/gemini-3.1-flash-lite-preview	meta-question_id	3	36	20	16	0	0	55.56	0.0	0.0	140.0	0.016127
text-only-google/gemini-3.1-flash-lite-preview	meta-question_id	4	72	18	54	0	0	25.0	0.0	0.0	209.02	0.034827
text-only-google/gemini-3.1-flash-lite-preview	meta-question_id	5	37	15	22	1	0	40.54	4.55	0.0	83.68	0.011814
text-only-google/gemini-3.1-flash-lite-preview	meta-question_id	6	37	1	36	0	0	2.7	0.0	0.0	132.96	0.020769
text-only-google/gemini-3.1-flash-lite-preview	meta-question_id	7	37	11	26	0	0	29.73	0.0	0.0	139.19	0.016452
text-only-google/gemini-3.1-flash-lite-preview	meta-question_id	8	78	19	59	0	0	24.36	0.0	0.0	263.31	0.043029
text-only-google/gemini-3.1-flash-lite-preview	meta-question_id	9	36	9	27	0	0	25.0	0.0	0.0	122.91	0.019436
text-only-google/gemini-3.1-flash-lite-preview	category	harmony	151	39	112	0	0	25.83	0.0	0.0	525.41	0.078916
text-only-google/gemini-3.1-flash-lite-preview	category	pitch	150	47	103	0	0	31.33	0.0	0.0	463.84	0.072989
text-only-google/gemini-3.1-flash-lite-preview	category	rhythm	146	34	112	1	0	23.29	0.89	0.0	425.66	0.06741
text-only-google/gemini-3.1-flash-lite-preview	subcategory	harmony-absolute	78	19	59	0	0	24.36	0.0	0.0	263.31	0.043029
text-only-google/gemini-3.1-flash-lite-preview	subcategory	harmony-relative	73	20	53	0	0	27.4	0.0	0.0	262.1	0.035888
text-only-google/gemini-3.1-flash-lite-preview	subcategory	pitch-absolute	74	24	50	0	0	32.43	0.0	0.0	200.13	0.034107
text-only-google/gemini-3.1-flash-lite-preview	subcategory	pitch-relative	76	23	53	0	0	30.26	0.0	0.0	263.71	0.038882
text-only-google/gemini-3.1-flash-lite-preview	subcategory	rhythm-absolute	72	18	54	0	0	25.0	0.0	0.0	209.02	0.034827
text-only-google/gemini-3.1-flash-lite-preview	subcategory	rhythm-relative	74	16	58	1	0	21.62	1.72	0.0	216.64	0.032583
text-only-google/gemini-3.1-flash-lite-preview	skill	cadence recognition	36	9	27	0	0	25.0	0.0	0.0	122.91	0.019436
text-only-google/gemini-3.1-flash-lite-preview	skill	chord recognition	78	19	59	0	0	24.36	0.0	0.0	263.31	0.043029
text-only-google/gemini-3.1-flash-lite-preview	skill	interval recognition	40	3	37	0	0	7.5	0.0	0.0	123.71	0.022755
text-only-google/gemini-3.1-flash-lite-preview	skill	interval statistics	36	20	16	0	0	55.56	0.0	0.0	140.0	0.016127
text-only-google/gemini-3.1-flash-lite-preview	skill	note length	72	18	54	0	0	25.0	0.0	0.0	209.02	0.034827
text-only-google/gemini-3.1-flash-lite-preview	skill	pitch recognition	38	9	29	0	0	23.68	0.0	0.0	91.5	0.016934
text-only-google/gemini-3.1-flash-lite-preview	skill	pitch statistics	36	15	21	0	0	41.67	0.0	0.0	108.63	0.017173
text-only-google/gemini-3.1-flash-lite-preview	skill	rhythm pattern	37	1	36	0	0	2.7	0.0	0.0	132.96	0.020769
text-only-google/gemini-3.1-flash-lite-preview	skill	time signature	37	15	22	1	0	40.54	4.55	0.0	83.68	0.011814
text-only-google/gemini-3.1-flash-lite-preview	skill	tonality recognition	37	11	26	0	0	29.73	0.0	0.0	139.19	0.016452
text-only-google/gemini-3.1-flash-lite-preview	rel/abs	absolute	224	61	163	0	0	27.23	0.0	0.0	672.46	0.111963
text-only-google/gemini-3.1-flash-lite-preview	rel/abs	relative	223	59	164	1	0	26.46	0.61	0.0	742.45	0.107352
