Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
google/gemini-3.1-flash-lite-preview	OVERALL	ALL	113	47	66	0	0	41.59	0.0	0.0	392.97	0.335332
google/gemini-3.1-flash-lite-preview	submodality	audio.mastermix.wav	38	14	24	0	0	36.84	0.0	0.0	105.94	0.02661
google/gemini-3.1-flash-lite-preview	submodality	symbolic.musicxml	37	18	19	0	0	48.65	0.0	0.0	136.34	0.273961
google/gemini-3.1-flash-lite-preview	submodality	visual.short.png	38	15	23	0	0	39.47	0.0	0.0	150.69	0.034761
google/gemini-3.1-flash-lite-preview	piece_id	Anonymous_AusMeinesHerzensGrunde	7	3	4	0	0	42.86	0.0	0.0	23.48	0.021361
google/gemini-3.1-flash-lite-preview	piece_id	Bach_IchStehAnDeinerKrippe	11	6	5	0	0	54.55	0.0	0.0	32.51	0.033879
google/gemini-3.1-flash-lite-preview	piece_id	Crueger_AufAufMeinHerzMitFreuden	25	7	18	0	0	28.0	0.0	0.0	91.06	0.086938
google/gemini-3.1-flash-lite-preview	piece_id	Drese_JesuGehVoran	6	2	4	0	0	33.33	0.0	0.0	13.72	0.014133
google/gemini-3.1-flash-lite-preview	piece_id	Gesius_BefiehlDuDeineWege	7	3	4	0	0	42.86	0.0	0.0	22.14	0.0187
google/gemini-3.1-flash-lite-preview	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	8	2	6	0	0	25.0	0.0	0.0	30.63	0.019171
google/gemini-3.1-flash-lite-preview	piece_id	Jan_DuGrosserSchmerzensmann	22	13	9	0	0	59.09	0.0	0.0	84.76	0.073803
google/gemini-3.1-flash-lite-preview	piece_id	Telemann_DerLiebenSonneLichtUndPracht	13	3	10	0	0	23.08	0.0	0.0	45.31	0.041523
google/gemini-3.1-flash-lite-preview	piece_id	Vulpius_ChristusDerIstMeinLeben	7	4	3	0	0	57.14	0.0	0.0	24.53	0.01286
google/gemini-3.1-flash-lite-preview	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	7	4	3	0	0	57.14	0.0	0.0	24.83	0.012965
google/gemini-3.1-flash-lite-preview	is_nota_correct	0	90	38	52	0	0	42.22	0.0	0.0	324.06	0.266417
google/gemini-3.1-flash-lite-preview	is_nota_correct	1	23	9	14	0	0	39.13	0.0	0.0	68.92	0.068915
google/gemini-3.1-flash-lite-preview	meta-question_id	0	13	5	8	0	0	38.46	0.0	0.0	38.62	0.039547
google/gemini-3.1-flash-lite-preview	meta-question_id	1	8	4	4	0	0	50.0	0.0	0.0	31.62	0.030375
google/gemini-3.1-flash-lite-preview	meta-question_id	2	12	3	9	0	0	25.0	0.0	0.0	48.22	0.038737
google/gemini-3.1-flash-lite-preview	meta-question_id	3	7	6	1	0	0	85.71	0.0	0.0	30.99	0.020774
google/gemini-3.1-flash-lite-preview	meta-question_id	4	18	5	13	0	0	27.78	0.0	0.0	47.59	0.045419
google/gemini-3.1-flash-lite-preview	meta-question_id	5	9	6	3	0	0	66.67	0.0	0.0	35.56	0.024846
google/gemini-3.1-flash-lite-preview	meta-question_id	6	7	0	7	0	0	0.0	0.0	0.0	25.12	0.027316
google/gemini-3.1-flash-lite-preview	meta-question_id	7	11	4	7	0	0	36.36	0.0	0.0	36.71	0.024916
google/gemini-3.1-flash-lite-preview	meta-question_id	8	21	12	9	0	0	57.14	0.0	0.0	69.03	0.056055
google/gemini-3.1-flash-lite-preview	meta-question_id	9	7	2	5	0	0	28.57	0.0	0.0	29.5	0.027349
google/gemini-3.1-flash-lite-preview	category	harmony	39	18	21	0	0	46.15	0.0	0.0	135.24	0.108319
google/gemini-3.1-flash-lite-preview	category	pitch	40	18	22	0	0	45.0	0.0	0.0	149.45	0.129432
google/gemini-3.1-flash-lite-preview	category	rhythm	34	11	23	0	0	32.35	0.0	0.0	108.28	0.097581
google/gemini-3.1-flash-lite-preview	subcategory	harmony-absolute	21	12	9	0	0	57.14	0.0	0.0	69.03	0.056055
google/gemini-3.1-flash-lite-preview	subcategory	harmony-relative	18	6	12	0	0	33.33	0.0	0.0	66.21	0.052264
google/gemini-3.1-flash-lite-preview	subcategory	pitch-absolute	21	9	12	0	0	42.86	0.0	0.0	70.24	0.069921
google/gemini-3.1-flash-lite-preview	subcategory	pitch-relative	19	9	10	0	0	47.37	0.0	0.0	79.21	0.059511
google/gemini-3.1-flash-lite-preview	subcategory	rhythm-absolute	18	5	13	0	0	27.78	0.0	0.0	47.59	0.045419
google/gemini-3.1-flash-lite-preview	subcategory	rhythm-relative	16	6	10	0	0	37.5	0.0	0.0	60.69	0.052162
google/gemini-3.1-flash-lite-preview	skill	cadence recognition	7	2	5	0	0	28.57	0.0	0.0	29.5	0.027349
google/gemini-3.1-flash-lite-preview	skill	chord recognition	21	12	9	0	0	57.14	0.0	0.0	69.03	0.056055
google/gemini-3.1-flash-lite-preview	skill	interval recognition	12	3	9	0	0	25.0	0.0	0.0	48.22	0.038737
google/gemini-3.1-flash-lite-preview	skill	interval statistics	7	6	1	0	0	85.71	0.0	0.0	30.99	0.020774
google/gemini-3.1-flash-lite-preview	skill	note length	18	5	13	0	0	27.78	0.0	0.0	47.59	0.045419
google/gemini-3.1-flash-lite-preview	skill	pitch recognition	13	5	8	0	0	38.46	0.0	0.0	38.62	0.039547
google/gemini-3.1-flash-lite-preview	skill	pitch statistics	8	4	4	0	0	50.0	0.0	0.0	31.62	0.030375
google/gemini-3.1-flash-lite-preview	skill	rhythm pattern	7	0	7	0	0	0.0	0.0	0.0	25.12	0.027316
google/gemini-3.1-flash-lite-preview	skill	time signature	9	6	3	0	0	66.67	0.0	0.0	35.56	0.024846
google/gemini-3.1-flash-lite-preview	skill	tonality recognition	11	4	7	0	0	36.36	0.0	0.0	36.71	0.024916
google/gemini-3.1-flash-lite-preview	rel/abs	absolute	60	26	34	0	0	43.33	0.0	0.0	186.86	0.171395
google/gemini-3.1-flash-lite-preview	rel/abs	relative	53	21	32	0	0	39.62	0.0	0.0	206.11	0.163937
