Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
text-only-google/gemini-3.1-flash-lite-preview	OVERALL	ALL	75	30	45	0	0	40.0	0.0	0.0	220.81	0.039756
text-only-google/gemini-3.1-flash-lite-preview	submodality	audio.mastermix.wav	25	9	16	0	0	36.0	0.0	0.0	59.25	0.01079
text-only-google/gemini-3.1-flash-lite-preview	submodality	symbolic.abc.txt	25	10	15	0	0	40.0	0.0	0.0	93.31	0.013933
text-only-google/gemini-3.1-flash-lite-preview	submodality	visual.short.png	25	11	14	0	0	44.0	0.0	0.0	68.25	0.015033
text-only-google/gemini-3.1-flash-lite-preview	piece_id	Anonymous_AusMeinesHerzensGrunde	6	0	6	0	0	0.0	0.0	0.0	16.34	0.002688
text-only-google/gemini-3.1-flash-lite-preview	piece_id	Bach_IchStehAnDeinerKrippe	3	3	0	0	0	100.0	0.0	0.0	7.51	0.001388
text-only-google/gemini-3.1-flash-lite-preview	piece_id	Crueger_AufAufMeinHerzMitFreuden	18	6	12	0	0	33.33	0.0	0.0	55.46	0.009407
text-only-google/gemini-3.1-flash-lite-preview	piece_id	Drese_JesuGehVoran	6	1	5	0	0	16.67	0.0	0.0	15.13	0.003371
text-only-google/gemini-3.1-flash-lite-preview	piece_id	Gesius_BefiehlDuDeineWege	9	3	6	0	0	33.33	0.0	0.0	23.81	0.004892
text-only-google/gemini-3.1-flash-lite-preview	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	15	10	5	0	0	66.67	0.0	0.0	51.93	0.008358
text-only-google/gemini-3.1-flash-lite-preview	piece_id	Jan_DuGrosserSchmerzensmann	9	2	7	0	0	22.22	0.0	0.0	27.75	0.004933
text-only-google/gemini-3.1-flash-lite-preview	piece_id	Vulpius_ChristusDerIstMeinLeben	3	3	0	0	0	100.0	0.0	0.0	7.37	0.001553
text-only-google/gemini-3.1-flash-lite-preview	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	6	2	4	0	0	33.33	0.0	0.0	15.52	0.003166
text-only-google/gemini-3.1-flash-lite-preview	is_nota_correct	0	60	27	33	0	0	45.0	0.0	0.0	179.4	0.03152
text-only-google/gemini-3.1-flash-lite-preview	is_nota_correct	1	15	3	12	0	0	20.0	0.0	0.0	41.4	0.008236
text-only-google/gemini-3.1-flash-lite-preview	meta-question_id	1	9	3	6	0	0	33.33	0.0	0.0	21.9	0.004952
text-only-google/gemini-3.1-flash-lite-preview	meta-question_id	10	6	3	3	0	0	50.0	0.0	0.0	16.58	0.003331
text-only-google/gemini-3.1-flash-lite-preview	meta-question_id	11	3	0	3	0	0	0.0	0.0	0.0	17.11	0.001449
text-only-google/gemini-3.1-flash-lite-preview	meta-question_id	2	6	3	3	0	0	50.0	0.0	0.0	16.49	0.002681
text-only-google/gemini-3.1-flash-lite-preview	meta-question_id	3	9	2	7	0	0	22.22	0.0	0.0	24.01	0.005195
text-only-google/gemini-3.1-flash-lite-preview	meta-question_id	4	6	6	0	0	0	100.0	0.0	0.0	27.26	0.002818
text-only-google/gemini-3.1-flash-lite-preview	meta-question_id	5	9	5	4	0	0	55.56	0.0	0.0	23.11	0.004791
text-only-google/gemini-3.1-flash-lite-preview	meta-question_id	6	6	2	4	0	0	33.33	0.0	0.0	14.77	0.003206
text-only-google/gemini-3.1-flash-lite-preview	meta-question_id	7	9	3	6	0	0	33.33	0.0	0.0	27.07	0.005588
text-only-google/gemini-3.1-flash-lite-preview	meta-question_id	8	6	0	6	0	0	0.0	0.0	0.0	18.08	0.003214
text-only-google/gemini-3.1-flash-lite-preview	meta-question_id	9	6	3	3	0	0	50.0	0.0	0.0	14.43	0.002531
text-only-google/gemini-3.1-flash-lite-preview	category	harmony	15	6	9	0	0	40.0	0.0	0.0	48.12	0.00731
text-only-google/gemini-3.1-flash-lite-preview	category	pitch	30	14	16	0	0	46.67	0.0	0.0	89.65	0.015646
text-only-google/gemini-3.1-flash-lite-preview	category	rhythm	30	10	20	0	0	33.33	0.0	0.0	83.03	0.0168
text-only-google/gemini-3.1-flash-lite-preview	subcategory	harmonic-recognition	15	6	9	0	0	40.0	0.0	0.0	48.12	0.00731
text-only-google/gemini-3.1-flash-lite-preview	subcategory	interval-recognition	15	8	7	0	0	53.33	0.0	0.0	51.27	0.008013
