Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
text-only-google/gemma-3-27b-it	OVERALL	ALL	300	62	238	12	0	20.67	5.04	0.0	2693.17	0.022026
text-only-google/gemma-3-27b-it	submodality	audio.mastermix.wav	100	19	81	0	0	19.0	0.0	0.0	790.12	0.006355
text-only-google/gemma-3-27b-it	submodality	symbolic.abc.txt	100	19	81	11	0	19.0	13.58	0.0	1035.49	0.008132
text-only-google/gemma-3-27b-it	submodality	visual.short.png	100	24	76	1	0	24.0	1.32	0.0	867.57	0.007539
text-only-google/gemma-3-27b-it	piece_id	Anonymous_AusMeinesHerzensGrunde	18	5	13	0	0	27.78	0.0	0.0	134.01	0.001287
text-only-google/gemma-3-27b-it	piece_id	Bach_IchStehAnDeinerKrippe	33	7	26	1	0	21.21	3.85	0.0	371.5	0.002868
text-only-google/gemma-3-27b-it	piece_id	Crueger_AufAufMeinHerzMitFreuden	30	3	27	2	0	10.0	7.41	0.0	249.84	0.001711
text-only-google/gemma-3-27b-it	piece_id	Drese_JesuGehVoran	39	10	29	2	0	25.64	6.9	0.0	368.66	0.002926
text-only-google/gemma-3-27b-it	piece_id	Gesius_BefiehlDuDeineWege	24	2	22	1	0	8.33	4.55	0.0	157.56	0.001867
text-only-google/gemma-3-27b-it	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	42	7	35	1	0	16.67	2.86	0.0	391.28	0.003638
text-only-google/gemma-3-27b-it	piece_id	Jan_DuGrosserSchmerzensmann	42	7	35	3	0	16.67	8.57	0.0	405.26	0.003021
text-only-google/gemma-3-27b-it	piece_id	Telemann_DerLiebenSonneLichtUndPracht	27	9	18	1	0	33.33	5.56	0.0	214.57	0.001653
text-only-google/gemma-3-27b-it	piece_id	Vulpius_ChristusDerIstMeinLeben	21	5	16	0	0	23.81	0.0	0.0	189.81	0.001321
text-only-google/gemma-3-27b-it	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	24	7	17	1	0	29.17	5.88	0.0	210.68	0.001734
text-only-google/gemma-3-27b-it	is_nota_correct	0	240	57	183	11	0	23.75	6.01	0.0	2165.23	0.017834
text-only-google/gemma-3-27b-it	is_nota_correct	1	60	5	55	1	0	8.33	1.82	0.0	527.94	0.004193
text-only-google/gemma-3-27b-it	meta-question_id	1	30	7	23	0	0	23.33	0.0	0.0	314.2	0.001538
text-only-google/gemma-3-27b-it	meta-question_id	10	21	4	17	1	0	19.05	5.88	0.0	182.4	0.002671
text-only-google/gemma-3-27b-it	meta-question_id	11	18	2	16	2	0	11.11	12.5	0.0	92.4	0.001374
text-only-google/gemma-3-27b-it	meta-question_id	2	30	4	26	0	0	13.33	0.0	0.0	261.1	0.001512
text-only-google/gemma-3-27b-it	meta-question_id	3	30	4	26	3	0	13.33	11.54	0.0	308.96	0.002121
text-only-google/gemma-3-27b-it	meta-question_id	4	30	6	24	2	0	20.0	8.33	0.0	338.18	0.002088
text-only-google/gemma-3-27b-it	meta-question_id	5	30	11	19	1	0	36.67	5.26	0.0	271.22	0.001845
text-only-google/gemma-3-27b-it	meta-question_id	6	30	4	26	0	0	13.33	0.0	0.0	304.84	0.00241
text-only-google/gemma-3-27b-it	meta-question_id	7	30	10	20	2	0	33.33	10.0	0.0	221.35	0.002263
text-only-google/gemma-3-27b-it	meta-question_id	8	30	5	25	0	0	16.67	0.0	0.0	277.18	0.002177
text-only-google/gemma-3-27b-it	meta-question_id	9	21	5	16	1	0	23.81	6.25	0.0	121.33	0.002026
text-only-google/gemma-3-27b-it	category	harmony	60	11	49	4	0	18.33	8.16	0.0	396.13	0.006071
text-only-google/gemma-3-27b-it	category	pitch	120	21	99	5	0	17.5	5.05	0.0	1222.44	0.00726
text-only-google/gemma-3-27b-it	category	rhythm	120	30	90	3	0	25.0	3.33	0.0	1074.6	0.008696
text-only-google/gemma-3-27b-it	subcategory	harmonic-recognition	60	11	49	4	0	18.33	8.16	0.0	396.13	0.006071
text-only-google/gemma-3-27b-it	subcategory	interval-recognition	60	10	50	5	0	16.67	10.0	0.0	647.14	0.004209
text-only-google/gemma-3-27b-it	subcategory	pitch-recognition	60	11	49	0	0	18.33	0.0	0.0	575.3	0.003051
text-only-google/gemma-3-27b-it	subcategory	proportion-recognition	60	15	45	2	0	25.0	4.44	0.0	498.54	0.00444
text-only-google/gemma-3-27b-it	subcategory	rhythmic-recognition	60	15	45	1	0	25.0	2.22	0.0	576.07	0.004256
text-only-google/gemma-3-27b-it	skill	cadence recognition	18	2	16	2	0	11.11	12.5	0.0	92.4	0.001374
text-only-google/gemma-3-27b-it	skill	chord recognition	21	4	17	1	0	19.05	5.88	0.0	182.4	0.002671
text-only-google/gemma-3-27b-it	skill	interval recognition	30	4	26	3	0	13.33	11.54	0.0	308.96	0.002121
text-only-google/gemma-3-27b-it	skill	interval statistics	30	6	24	2	0	20.0	8.33	0.0	338.18	0.002088
text-only-google/gemma-3-27b-it	skill	note length	30	11	19	1	0	36.67	5.26	0.0	271.22	0.001845
text-only-google/gemma-3-27b-it	skill	note length statistics	30	4	26	0	0	13.33	0.0	0.0	304.84	0.00241
text-only-google/gemma-3-27b-it	skill	pitch recognition	30	7	23	0	0	23.33	0.0	0.0	314.2	0.001538
text-only-google/gemma-3-27b-it	skill	pitch statistics	30	4	26	0	0	13.33	0.0	0.0	261.1	0.001512
text-only-google/gemma-3-27b-it	skill	rhythm pattern	30	10	20	2	0	33.33	10.0	0.0	221.35	0.002263
text-only-google/gemma-3-27b-it	skill	rhythm pattern statistics	30	5	25	0	0	16.67	0.0	0.0	277.18	0.002177
text-only-google/gemma-3-27b-it	skill	tonality recognition	21	5	16	1	0	23.81	6.25	0.0	121.33	0.002026
text-only-google/gemma-3-27b-it	rel/abs	absolute	141	30	111	2	0	21.28	1.8	0.0	1333.77	0.009978
text-only-google/gemma-3-27b-it	rel/abs	relative	159	32	127	10	0	20.13	7.87	0.0	1359.41	0.012048
text-only-google/gemma-3-27b-it	specification	harmony-absolute	21	4	17	1	0	19.05	5.88	0.0	182.4	0.002671
text-only-google/gemma-3-27b-it	specification	harmony-relative	39	7	32	3	0	17.95	9.38	0.0	213.73	0.003399
text-only-google/gemma-3-27b-it	specification	pitch-absolute	60	11	49	0	0	18.33	0.0	0.0	575.3	0.003051
text-only-google/gemma-3-27b-it	specification	pitch-relative	60	10	50	5	0	16.67	10.0	0.0	647.14	0.004209
text-only-google/gemma-3-27b-it	specification	rhythm-absolute	60	15	45	1	0	25.0	2.22	0.0	576.07	0.004256
text-only-google/gemma-3-27b-it	specification	rhythm-relative	60	15	45	2	0	25.0	4.44	0.0	498.54	0.00444
