Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
xiaomi/mimo-v2-omni	OVERALL	ALL	112	33	79	9	0	29.46	11.39	0.0	3986.25	1.667792
xiaomi/mimo-v2-omni	submodality	audio.mastermix.wav	36	6	30	8	0	16.67	26.67	0.0	2039.6	0.736826
xiaomi/mimo-v2-omni	submodality	symbolic.musicxml	38	17	21	0	0	44.74	0.0	0.0	1158.26	0.70587
xiaomi/mimo-v2-omni	submodality	visual.short.png	38	10	28	1	0	26.32	3.57	0.0	788.4	0.225096
xiaomi/mimo-v2-omni	piece_id	Anonymous_AusMeinesHerzensGrunde	8	1	7	0	0	12.5	0.0	0.0	298.14	0.121026
xiaomi/mimo-v2-omni	piece_id	Bach_IchStehAnDeinerKrippe	10	8	2	0	0	80.0	0.0	0.0	216.59	0.101007
xiaomi/mimo-v2-omni	piece_id	Crueger_AufAufMeinHerzMitFreuden	11	3	8	0	0	27.27	0.0	0.0	557.9	0.212348
xiaomi/mimo-v2-omni	piece_id	Drese_JesuGehVoran	23	11	12	4	0	47.83	33.33	0.0	971.7	0.398786
xiaomi/mimo-v2-omni	piece_id	Gesius_BefiehlDuDeineWege	7	1	6	0	0	14.29	0.0	0.0	142.22	0.053241
xiaomi/mimo-v2-omni	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	15	2	13	1	0	13.33	7.69	0.0	403.98	0.166944
xiaomi/mimo-v2-omni	piece_id	Jan_DuGrosserSchmerzensmann	5	1	4	0	0	20.0	0.0	0.0	263.42	0.108297
xiaomi/mimo-v2-omni	piece_id	Telemann_DerLiebenSonneLichtUndPracht	13	2	11	1	0	15.38	9.09	0.0	358.66	0.171798
xiaomi/mimo-v2-omni	piece_id	Vulpius_ChristusDerIstMeinLeben	6	3	3	0	0	50.0	0.0	0.0	153.44	0.052243
xiaomi/mimo-v2-omni	piece_id	Vulpius_DieHelleSonnLeuchtJetztHerfuer	14	1	13	3	0	7.14	23.08	0.0	620.22	0.282103
xiaomi/mimo-v2-omni	is_nota_correct	0	90	23	67	6	0	25.56	8.96	0.0	3048.89	1.262183
xiaomi/mimo-v2-omni	is_nota_correct	1	22	10	12	3	0	45.45	25.0	0.0	937.36	0.405609
xiaomi/mimo-v2-omni	meta-question_id	0	11	0	11	2	0	0.0	18.18	0.0	464.65	0.198573
xiaomi/mimo-v2-omni	meta-question_id	1	6	2	4	1	0	33.33	25.0	0.0	245.86	0.110155
xiaomi/mimo-v2-omni	meta-question_id	2	9	0	9	1	0	0.0	11.11	0.0	413.69	0.166218
xiaomi/mimo-v2-omni	meta-question_id	3	9	8	1	1	0	88.89	100.0	0.0	409.31	0.181046
xiaomi/mimo-v2-omni	meta-question_id	4	19	3	16	1	0	15.79	6.25	0.0	530.41	0.247962
xiaomi/mimo-v2-omni	meta-question_id	5	12	5	7	0	0	41.67	0.0	0.0	124.0	0.044314
xiaomi/mimo-v2-omni	meta-question_id	6	7	1	6	0	0	14.29	0.0	0.0	213.55	0.081656
xiaomi/mimo-v2-omni	meta-question_id	7	13	4	9	1	0	30.77	11.11	0.0	328.53	0.146293
xiaomi/mimo-v2-omni	meta-question_id	8	18	7	11	1	0	38.89	9.09	0.0	678.94	0.25976
xiaomi/mimo-v2-omni	meta-question_id	9	8	3	5	1	0	37.5	20.0	0.0	577.32	0.231816
xiaomi/mimo-v2-omni	category	harmony	39	14	25	3	0	35.9	12.0	0.0	1584.78	0.637868
xiaomi/mimo-v2-omni	category	pitch	35	10	25	5	0	28.57	20.0	0.0	1533.51	0.655993
xiaomi/mimo-v2-omni	category	rhythm	38	9	29	1	0	23.68	3.45	0.0	867.96	0.373931
xiaomi/mimo-v2-omni	subcategory	harmony-absolute	18	7	11	1	0	38.89	9.09	0.0	678.94	0.25976
xiaomi/mimo-v2-omni	subcategory	harmony-relative	21	7	14	2	0	33.33	14.29	0.0	905.84	0.378109
xiaomi/mimo-v2-omni	subcategory	pitch-absolute	17	2	15	3	0	11.76	20.0	0.0	710.51	0.308728
xiaomi/mimo-v2-omni	subcategory	pitch-relative	18	8	10	2	0	44.44	20.0	0.0	823.0	0.347264
xiaomi/mimo-v2-omni	subcategory	rhythm-absolute	19	3	16	1	0	15.79	6.25	0.0	530.41	0.247962
xiaomi/mimo-v2-omni	subcategory	rhythm-relative	19	6	13	0	0	31.58	0.0	0.0	337.55	0.12597
xiaomi/mimo-v2-omni	skill	cadence recognition	8	3	5	1	0	37.5	20.0	0.0	577.32	0.231816
xiaomi/mimo-v2-omni	skill	chord recognition	18	7	11	1	0	38.89	9.09	0.0	678.94	0.25976
xiaomi/mimo-v2-omni	skill	interval recognition	9	0	9	1	0	0.0	11.11	0.0	413.69	0.166218
xiaomi/mimo-v2-omni	skill	interval statistics	9	8	1	1	0	88.89	100.0	0.0	409.31	0.181046
xiaomi/mimo-v2-omni	skill	note length	19	3	16	1	0	15.79	6.25	0.0	530.41	0.247962
xiaomi/mimo-v2-omni	skill	pitch recognition	11	0	11	2	0	0.0	18.18	0.0	464.65	0.198573
xiaomi/mimo-v2-omni	skill	pitch statistics	6	2	4	1	0	33.33	25.0	0.0	245.86	0.110155
xiaomi/mimo-v2-omni	skill	rhythm pattern	7	1	6	0	0	14.29	0.0	0.0	213.55	0.081656
xiaomi/mimo-v2-omni	skill	time signature	12	5	7	0	0	41.67	0.0	0.0	124.0	0.044314
xiaomi/mimo-v2-omni	skill	tonality recognition	13	4	9	1	0	30.77	11.11	0.0	328.53	0.146293
xiaomi/mimo-v2-omni	rel/abs	absolute	54	12	42	5	0	22.22	11.9	0.0	1919.86	0.81645
