Model	Criterion_Type	Criterion_Value	Total_Items	Correct_Items	Incorrect_Items	Unparsable_Items	Model_Error_Items	Accuracy_Percent	Unparsable_Percent	Model_Error_Percent	Total_Time_s	Total_Price
text-only-xiaomi/mimo-v2-omni	OVERALL	ALL	112	28	84	0	0	25.0	0.0	0.0	1375.92	0.401917
text-only-xiaomi/mimo-v2-omni	submodality	audio.mastermix.wav	36	9	27	0	0	25.0	0.0	0.0	395.58	0.114277
text-only-xiaomi/mimo-v2-omni	submodality	symbolic.musicxml	38	12	26	0	0	31.58	0.0	0.0	463.33	0.135623
text-only-xiaomi/mimo-v2-omni	submodality	visual.short.png	38	7	31	0	0	18.42	0.0	0.0	517.02	0.152017
text-only-xiaomi/mimo-v2-omni	piece_id	Anonymous_AusMeinesHerzensGrunde	8	2	6	0	0	25.0	0.0	0.0	112.47	0.03405
text-only-xiaomi/mimo-v2-omni	piece_id	Bach_IchStehAnDeinerKrippe	10	7	3	0	0	70.0	0.0	0.0	146.66	0.042442
text-only-xiaomi/mimo-v2-omni	piece_id	Crueger_AufAufMeinHerzMitFreuden	11	1	10	0	0	9.09	0.0	0.0	148.4	0.044663
text-only-xiaomi/mimo-v2-omni	piece_id	Drese_JesuGehVoran	23	8	15	0	0	34.78	0.0	0.0	241.5	0.071701
text-only-xiaomi/mimo-v2-omni	piece_id	Gesius_BefiehlDuDeineWege	7	1	6	0	0	14.29	0.0	0.0	69.47	0.020584
text-only-xiaomi/mimo-v2-omni	piece_id	Gesius_DuFriedensfuerstHerrJesuChrist	15	3	12	0	0	20.0	0.0	0.0	143.43	0.036794
text-only-xiaomi/mimo-v2-omni	piece_id	Jan_DuGrosserSchmerzensmann	5	1	4	0	0	20.0	0.0	0.0	80.94	0.024146
text-only-xiaomi/mimo-v2-omni	piece_id	Telemann_DerLiebenSonneLichtUndPracht	13	3	10	0	0	23.08	0.0	0.0	186.03	0.055327
text-only-xiaomi/mimo-v2-omni	piece_id	Vulpius_ChristusDerIstMeinLeben	6	0	6	0	0	0.0	0.0	0.0	72.82	0.021638
